wave_id,group_id,wave_number,health,attack,war3_armor,enabled
"tier1_68","tier1","68","773713536","32794971","2560","1"
"tier1_69","tier1","69","845668895","35910493","2663","1"
"tier1_70","tier1","70","924316102","39321990","2769","1"
"tier1_71","tier1","71","1010277500","43057579","2880","1"
"tier1_72","tier1","72","1104233307","47148049","2995","1"
"tier1_73","tier1","73","1206927005","51627113","3115","1"
"tier1_74","tier1","74","1319171216","56531689","3240","1"
"tier1_75","tier1","75","1441854139","61902200","3370","1"
"tier1_76","tier1","76","1575946574","67782909","3504","1"
"tier1_77","tier1","77","1722509605","74222285","3645","1"
"tier1_78","tier1","78","1882702999","81273402","3790","1"
"tier1_79","tier1","79","2057794378","88994375","3942","1"
"tier1_80","tier1","80","2249169255","97448841","4100","1"
"tier1_81","tier1","81","2458341995","106706481","4264","1"
"tier1_82","tier1","82","2686967801","116843597","4434","1"
"tier1_83","tier1","83","2936855807","127943738","4612","1"
"tier1_84","tier1","84","3209983397","140098393","4796","1"
"tier1_85","tier1","85","3508511852","153407741","4988","1"
"tier1_86","tier1","86","3834803455","167981476","5188","1"
"tier1_87","tier1","87","4191440176","183939716","5395","1"
"tier1_88","tier1","88","4581244112","201413989","5611","1"
"tier1_89","tier1","89","5007299815","220548318","5835","1"
"tier1_90","tier1","90","5472978698","241500409","6069","1"
"tier1_91","tier1","91","5981965716","264442948","6312","1"
"tier1_92","tier1","92","6538288528","289565028","6564","1"
"tier1_93","tier1","93","7146349361","317073705","6827","1"
"tier1_94","tier1","94","7810959852","347195707","7100","1"
"tier1_95","tier1","95","8537379118","380179299","7384","1"
"tier1_96","tier1","96","9331355376","416296333","7679","1"
"tier1_97","tier1","97","10199171426","455844484","7986","1"
"tier1_98","tier1","98","11147694369","499149710","8306","1"
"tier1_99","tier1","99","12184429945","546568933","8638","1"
"tier1_100","tier1","100","13317581930","598492982","8984","1"
"tier1_101","tier1","101","14556117049","655349815","9343","1"
"tier1_102","tier1","102","15909835935","717608047","9717","1"
"tier1_103","tier1","103","17389450677","785780812","10105","1"
"tier1_104","tier1","104","19006669590","860429989","10510","1"
"tier1_105","tier1","105","20774289861","942170838","10930","1"
"tier1_106","tier1","106","22706298819","1031677067","11367","1"
"tier1_107","tier1","107","24817984609","1129686389","11822","1"
"tier1_108","tier1","108","27126057177","1237006596","12295","1"
"tier1_109","tier1","109","29648780495","1354522222","12787","1"
"tier1_110","tier1","110","32406117081","1483201833","13298","1"
"tier1_111","tier1","111","35419885969","1624106007","13830","1"
"tier1_112","tier1","112","38713935364","1778396078","14383","1"
"tier1_113","tier1","113","42314331353","1947343706","14959","1"
"tier1_114","tier1","114","46249564169","2132341358","15557","1"
"tier1_115","tier1","115","50550773637","2334913787","16179","1"
"tier1_116","tier1","116","55251995585","2556730596","16826","1"
"tier1_117","tier1","117","60390431175","2799620003","17500","1"
"tier1_118","tier1","118","66006741274","3065583903","18200","1"
"tier1_119","tier1","119","72145368212","3356814374","18928","1"
"tier1_120","tier1","120","78854887456","3675711739","19685","1"
"tier1_121","tier1","121","86188391989","4024904355","20472","1"
"tier1_122","tier1","122","94203912444","4407270268","21291","1"
"tier1_123","tier1","123","102964876302","4825960944","22143","1"
"tier1_124","tier1","124","112540609798","5284427234","23028","1"
"tier1_125","tier1","125","123006886509","5786447821","23950","1"
"tier1_126","tier1","126","134446526954","6336160364","24908","1"
"tier1_127","tier1","127","146950053961","6938095598","25904","1"
"tier1_128","tier1","128","160616408979","7597214680","26940","1"
"tier1_129","tier1","129","175553735014","8318950075","28018","1"
"tier1_130","tier1","130","191880232371","9109250332","29138","1"
"tier1_131","tier1","131","209725093981","9974629113","30304","1"
"tier1_132","tier1","132","229229527722","10922218879","31516","1"
"tier1_133","tier1","133","250547873800","11959829673","32777","1"
"tier1_134","tier1","134","273848826063","13096013492","34088","1"
"tier1_135","tier1","135","299316766887","14340134773","35451","1"
"tier1_136","tier1","136","327153226207","15702447577","36869","1"
"tier1_137","tier1","137","357578476245","17194180097","38344","1"
"tier1_138","tier1","138","390833274535","18827627206","39878","1"
"tier1_139","tier1","139","427180769067","20616251790","41473","1"
"tier1_140","tier1","140","466908580590","22574795710","43132","1"
"tier1_141","tier1","141","510331078585","24719401303","44857","1"
"tier1_142","tier1","142","557791868894","27067744427","46652","1"
"tier1_143","tier1","143","609666512701","29639180147","48518","1"
"tier1_144","tier1","144","666365498382","32454902261","50459","1"
"tier1_145","tier1","145","728337489732","35538117976","52477","1"
"tier1_146","tier1","146","796072876277","38914239184","54576","1"
"tier1_147","tier1","147","870107653770","42611091906","56759","1"
"tier1_148","tier1","148","951027665571","46659145637","59029","1"
"tier1_149","tier1","149","1039473238469","51091764473","61391","1"
"tier1_150","tier1","150","1136144249647","55945482098","63846","1"
"tier1_151","tier1","151","1241805664864","61260302897","66400","1"
"tier1_152","tier1","152","1357293591696","67080031672","69056","1"
"tier1_153","tier1","153","1483521895724","73452634681","71818","1"
"tier1_154","tier1","154","1621489432026","80430634976","74691","1"
"tier1_155","tier1","155","1772287949205","88071545298","77679","1"
"tier1_156","tier1","156","1937110728481","96438342102","80786","1"
"tier1_157","tier1","157","2117262026229","105599984601","84018","1"
"tier1_158","tier1","158","2314167394669","115631983139","87378","1"
"tier1_159","tier1","159","2529384962373","126617021537","90873","1"
"tier1_160","tier1","160","2764617763873","138645638583","94508","1"
"tier1_161","tier1","161","3021727215914","151816974248","98289","1"
"tier1_162","tier1","162","3302747846994","166239586802","102220","1"
"tier1_163","tier1","163","3609903396764","182032347548","106309","1"
"tier1_164","tier1","164","3945624412663","199325420565","110562","1"
"tier1_165","tier1","165","4312567483041","218261335519","114984","1"
"tier1_166","tier1","166","4713636258964","238996162393","119583","1"
"tier1_167","tier1","167","5152004431047","261700797820","124367","1"
"tier1_168","tier1","168","5631140843135","286562373613","129341","1"
"tier1_169","tier1","169","6154836941546","313785799106","134515","1"
"tier1_170","tier1","170","6727236777110","343595450021","139896","1"
"tier1_171","tier1","171","7352869797381","376237017773","145492","1"
"tier1_172","tier1","172","8036686688538","411979534462","151311","1"
"tier1_173","tier1","173","8784098550572","451117590236","157364","1"
"tier1_174","tier1","174","9601019715775","493973761308","163658","1"
"tier1_175","tier1","175","10493914549342","540901268632","170205","1"
"tier1_176","tier1","176","11469848602431","592286889152","177013","1"
"tier1_177","tier1","177","12536544522457","648554143622","184093","1"
"tier1_178","tier1","178","13702443163045","710166787266","191457","1"
"tier1_179","tier1","179","14976770377208","777632632056","199115","1"
"tier1_180","tier1","180","16369610022289","851507732102","207080","1"
"tier1_181","tier1","181","17891983754361","932400966651","215363","1"
"tier1_182","tier1","182","19555938243517","1020979058483","223978","1"
"tier1_183","tier1","183","21374640500164","1117972069039","232937","1"
"tier1_184","tier1","184","23362482066679","1224179415598","242255","1"
"tier1_185","tier1","185","25535192898881","1340476460080","251945","1"
"tier1_186","tier1","186","27909965838476","1467821723787","262023","1"
"tier1_187","tier1","187","30505592661455","1607264787547","272503","1"
"tier1_188","tier1","188","33342612778970","1759954942364","283404","1"
"tier1_189","tier1","189","36443475767414","1927150661888","294740","1"
"tier1_190","tier1","190","39832719013784","2110229974768","306529","1"
"tier1_191","tier1","191","43537161882066","2310701822371","318791","1"
"tier1_192","tier1","192","47586117937098","2530218495496","331542","1"
"tier1_193","tier1","193","52011626905248","2770589252568","344804","1"
"tier1_194","tier1","194","56848708207436","3033795231562","358596","1"
"tier1_195","tier1","195","62135638070728","3322005778560","372940","1"
"tier1_196","tier1","196","67914252411305","3637596327524","387858","1"
"tier1_197","tier1","197","74230277885557","3983167978638","403372","1"
"tier1_198","tier1","198","81133693728913","4361568936609","419507","1"
"tier1_199","tier1","199","88679127245702","4775917985587","436287","1"
"tier1_200","tier1","200","96926286079553","5229630194218","453739","1"
"tier1_201","tier1","201","105940430684951","5726445062668","471888","1"
"tier1_202","tier1","202","115792890738651","6270457343622","490764","1"
"tier1_203","tier1","203","126561629577346","6866150791266","510394","1"
"tier1_204","tier1","204","138331861128039","7518435116436","530810","1"
"tier1_205","tier1","205","151196724212947","8232686452497","552043","1"
"tier1_206","tier1","206","165258019564751","9014791665485","574124","1"
"tier1_207","tier1","207","180627015384273","9871196873706","597089","1"
"tier1_208","tier1","208","197425327815010","10808960576708","620973","1"
"tier1_209","tier1","209","215785883301806","11835811831495","645812","1"
"tier1_210","tier1","210","235853970448874","12960213955487","671644","1"
"tier1_211","tier1","211","257788389700619","14191434281258","698510","1"
"tier1_212","tier1","212","281762709942777","15539620537978","726450","1"
"tier1_213","tier1","213","307966641967455","17015884489086","755509","1"
"tier1_214","tier1","214","336607539670428","18632393515549","785729","1"
"tier1_215","tier1","215","367912040859778","20402470899526","817158","1"
"tier1_216","tier1","216","402127860659737","22340705634981","849844","1"
"tier1_217","tier1","217","439525751701093","24463072670304","883838","1"
"tier1_218","tier1","218","480401646609294","26787064573983","919192","1"
"tier1_219","tier1","219","525078999743959","29331835708512","955959","1"
"tier1_220","tier1","220","573911346720147","32118360100820","994198","1"
"tier1_221","tier1","221","627285101965121","35169604310398","1033966","1"
"tier1_222","tier1","222","685622616447877","38510716719886","1075324","1"
"tier1_223","tier1","223","749385519777529","42169234808275","1118337","1"
"tier1_224","tier1","224","819078373116840","46175312115061","1163071","1"
"tier1_225","tier1","225","895252661816706","50561966765992","1209594","1"
"tier1_226","tier1","226","978511159365659","55365353608761","1257978","1"
"tier1_227","tier1","227","1069512697186665","60625062201594","1308297","1"
"tier1_228","tier1","228","1168977378025025","66384443110745","1360629","1"
"tier1_229","tier1","229","1277692274181352","72690965206266","1415054","1"
"tier1_230","tier1","230","1396517655680218","79596606900861","1471656","1"
"tier1_231","tier1","231","1526393797658478","87158284556443","1530522","1"
"tier1_232","tier1","232","1668348420840717","95438321589305","1591743","1"
"tier1_233","tier1","233","1823504823978904","104504962140289","1655413","1"
"tier1_234","tier1","234","1993090772608942","114432933543616","1721629","1"
"tier1_235","tier1","235","2178448214461573","125304062230260","1790495","1"
"tier1_236","tier1","236","2381043898406500","137207948142135","1862114","1"
"tier1_237","tier1","237","2602480980958304","150242703215637","1936599","1"
"tier1_238","tier1","238","2844511712187426","164515760021123","2014063","1"
"tier1_239","tier1","239","3109051301420856","180144757223130","2094625","1"
"tier1_240","tier1","240","3398193072452996","197258509159327","2178410","1"
"tier1_241","tier1","241","3714225028191124","215998067529463","2265547","1"
"tier1_242","tier1","242","4059647955812900","236517883944762","2356169","1"
"tier1_243","tier1","243","4437195215703498","258987082919514","2450416","1"
"tier1_244","tier1","244","4849854370763924","283590855796868","2548432","1"
"tier1_245","tier1","245","5300890827244969","310531987097571","2650370","1"
"tier1_246","tier1","246","5793873674178751","340032525871840","2756384","1"
"tier1_247","tier1","247","6332703925877374","372335615829665","2866640","1"
"tier1_248","tier1","248","6921645390983970","407707499333483","2981305","1"
"tier1_249","tier1","249","7565358412345479","446439711770164","3100558","1"
"tier1_250","tier1","250","8268936744693608","488851484388329","3224580","1"
"tier1_251","tier1","251","9037947861950114","535292375405221","3353563","1"
"tier1_252","tier1","252","9878477013111474","586145151068717","3487706","1"
"tier1_253","tier1","253","10797175375330840","641828940420245","3627214","1"
"tier1_254","tier1","254","11801312685236608","702802689760168","3772303","1"
"tier1_255","tier1","255","12898834764963614","769568945287384","3923195","1"
"tier1_256","tier1","256","14098426398105228","842677995089685","4080122","1"
"tier1_257","tier1","257","15409580053129014","922732404623206","4243327","1"
"tier1_258","tier1","258","16842670998070012","1010391983062410","4413060","1"
"tier1_259","tier1","259","18409039400890520","1106379221453339","4589583","1"
"tier1_260","tier1","260","20121080065173340","1211485247491406","4773166","1"
"tier1_261","tier1","261","21992340511234464","1326576346003090","4964093","1"
"tier1_262","tier1","262","24037628178779268","1452601098873383","5162657","1"
"tier1_263","tier1","263","26273127599405736","1590598203266354","5369163","1"
"tier1_264","tier1","264","28716528466150472","1741705032576658","5583929","1"
"tier1_265","tier1","265","31387165613502460","1907167010671441","5807287","1"
"tier1_266","tier1","266","34306172015558188","2088347876685228","6039578","1"
"tier1_267","tier1","267","37496646013005096","2286740924970324","6281161","1"
"tier1_268","tier1","268","40983834092214568","2503981312842505","6532408","1"
"tier1_269","tier1","269","44795330662790528","2741859537562542","6793704","1"
"tier1_270","tier1","270","48961296414430048","3002336193630984","7065452","1"
"tier1_271","tier1","271","53514696980972040","3287558132025928","7348070","1"
"tier1_272","tier1","272","58491563800202432","3599876154568390","7641993","1"
"tier1_273","tier1","273","63931279233621264","3941864389252388","7947673","1"
"tier1_274","tier1","274","69876888202348040","4316341506231364","8265580","1"
"tier1_275","tier1","275","76375438805166400","4726393949323343","8596203","1"
"tier1_276","tier1","276","83478354614046864","5175401374509061","8940051","1"
"tier1_277","tier1","277","91241841593153232","5667064505087422","9297653","1"
"tier1_278","tier1","278","99727332861316480","6205435633070726","9669560","1"
"tier1_279","tier1","279","109001974817418912","6794952018212446","10056342","1"
"tier1_280","tier1","280","119139158475438864","7440472459942628","10458596","1"
"tier1_281","tier1","281","130219100213654672","8147317343637178","10876939","1"
"tier1_282","tier1","282","142329476533524560","8921312491282709","11312017","1"
"tier1_283","tier1","283","155566117851142336","9768837177954566","11764498","1"
"tier1_284","tier1","284","170033766811298560","10696876709860250","12235078","1"
"tier1_285","tier1","285","185846907124749312","11713079997296972","12724481","1"
"tier1_286","tier1","286","203130669487351008","12825822597040184","13233460","1"
"tier1_287","tier1","287","222021821749674656","14044275743759002","13762799","1"
"tier1_288","tier1","288","242669851172394400","15378481939416108","14313310","1"
"tier1_289","tier1","289","265238147331427072","16839437723660636","14885843","1"
"tier1_290","tier1","290","289905295033249792","18439184307408396","15481277","1"
"tier1_291","tier1","291","316866487471341952","20190906816612196","16100528","1"
"tier1_292","tier1","292","346335070806176768","22109042964190352","16744549","1"
"tier1_293","tier1","293","378544232391151232","24209402045788436","17414331","1"
"tier1_294","tier1","294","413748846003528256","26509295240138332","18110904","1"
"tier1_295","tier1","295","452227488681856384","29027678287951472","18835340","1"
"tier1_296","tier1","296","494284645129269056","31785307725306868","19588754","1"
"tier1_297","tier1","297","540253117126291072","34804911959211016","20372304","1"
"tier1_298","tier1","298","590496657019036032","38111378595336064","21187196","1"
"tier1_299","tier1","299","645412846121806464","41731959561892984","22034684","1"
"tier1_300","tier1","300","705436240811134464","45696495720272816","22916072","1"
"tier1_301","tier1","301","771041811206569856","50037662813698736","23832714","1"
"tier1_302","tier1","302","842748699648780928","54791240781000120","24786023","1"
"tier1_303","tier1","303","921124328716117504","59996408655195128","25777464","1"
"tier1_304","tier1","304","1006788891286716416","65696067477438656","26808563","1"
"tier1_305","tier1","305","1100420258176380928","71937193887795328","27880905","1"
"tier1_306","tier1","306","1202759342186784512","78771227307135888","28996141","1"
"tier1_307","tier1","307","1314615961010155264","86254493901313792","30155987","1"
"tier1_308","tier1","308","1436875245384099584","94448670821938608","31362226","1"
"tier1_309","tier1","309","1570504643204820992","103421294550022768","32616716","1"
"tier1_310","tier1","310","1716561575022869248","113246317532274928","33921384","1"
"tier1_311","tier1","311","1876201801499995904","124004717697841040","35278240","1"
"tier1_312","tier1","312","2050688569039495424","135785165879135936","36689369","1"
"tier1_313","tier1","313","2241402605960168448","148684756637653824","38156944","1"
"tier1_314","tier1","314","2449853048314464256","162809808518230944","39683222","1"
"tier1_315","tier1","315","2677689381807709184","178276740327462880","41270551","1"
"tier1_316","tier1","316","2926714494315826176","195213030658571840","42921373","1"
"tier1_317","tier1","317","3198898942287198208","213758268571136160","44638228","1"
"tier1_318","tier1","318","3496396543919906816","234065304085394144","46423757","1"
"tier1_319","tier1","319","3821561422504458752","256301507973506528","48280707","1"
"tier1_320","tier1","320","4176966634797373440","280650151230989696","50211935","1"
"tier1_321","tier1","321","4565424531833528832","307311915597933696","52220413","1"
"tier1_322","tier1","322","4990009013294046208","336506547579737408","54309229","1"
"tier1_323","tier1","323","5454079851530392576","368474669599812480","56481598","1"
"tier1_324","tier1","324","5961309277722719232","403479763211794560","58740862","1"
"tier1_325","tier1","325","6515711040550932480","441810340716915072","61090497","1"
"tier1_326","tier1","326","7121672167322168320","483782323085022016","63534117","1"
"tier1_327","tier1","327","7783987678883129344","529741643778099008","66075481","1"
"tier1_328","tier1","328","8507898533019260928","580067099937018496","68718501","1"
"tier1_329","tier1","329","9299133096590051328","635173474431035136","71467241","1"
"tier1_330","tier1","330","10163952474572926976","695514954501983488","74325930","1"
"tier1_331","tier1","331","11109200054708207616","761588875179671936","77298968","1"
"tier1_332","tier1","332","12142355659796070400","833939818321740672","80390926","1"
"tier1_333","tier1","333","13271594736157104128","913164101062306048","83606564","1"
"tier1_334","tier1","334","14505853046619715584","999914690663225088","86950826","1"
"tier1_335","tier1","335","15854897379955347456","1094906586276231424","90428859","1"
"tier1_336","tier1","336","17329402836291194880","1198922711972473600","94046014","1"
"tier1_337","tier1","337","18941037300066275328","1312820369609858304","97807854","1"
"tier1_338","tier1","338","20702553768972439552","1437538304722795008","101720168","1"
"tier1_339","tier1","339","22627891269486874624","1574104443671460352","105788975","1"
"tier1_340","tier1","340","24732285157549154304","1723644365820249088","110020534","1"
"tier1_341","tier1","341","27032387677201227776","1887390580573172736","114421355","1"
"tier1_342","tier1","342","29546399731180941312","2066692685727623936","118998210","1"
"tier1_343","tier1","343","32294214906180763648","2263028490871748352","123758138","1"
"tier1_344","tier1","344","35297576892455575552","2478016197504564224","128708464","1"
"tier1_345","tier1","345","38580251543453941760","2713427736267497984","133856802","1"
"tier1_346","tier1","346","42168214936995160064","2971203371212910080","139211074","1"
"tier1_347","tier1","347","46089858926135705600","3253467691478136320","144779517","1"
"tier1_348","tier1","348","50376215806266327040","3562547122168559104","150570698","1"
"tier1_349","tier1","349","55061203876249092096","3900989098774572544","156593526","1"
"tier1_350","tier1","350","60181895836740255744","4271583063158156800","162857267","1"
"tier1_351","tier1","351","65778812149557100544","4677383454158181376","169371558","1"
"tier1_352","tier1","352","71896241679465897984","5121734882303208448","176146420","1"
"tier1_353","tier1","353","78582592155656241152","5608299696122013696","183192277","1"
"tier1_354","tier1","354","85890773226132258816","6141088167253604352","190519968","1"
"tier1_355","tier1","355","93878615136162562048","6724491543142696960","198140767","1"
"tier1_356","tier1","356","102609326343825670144","7363318239741253632","206066397","1"
"tier1_357","tier1","357","112151993693801463808","8062833472516671488","214309053","1"
"tier1_358","tier1","358","122582129107324993536","8828802652405755904","222881415","1"
"tier1_359","tier1","359","133982267114306207744","9667538904384301056","231796672","1"
"tier1_360","tier1","360","146442617955936698368","10585955100300810240","241068539","1"
"tier1_361","tier1","361","160061781425838784512","11591620834829385728","250711281","1"
"tier1_362","tier1","362","174947527098441826304","12692824814138177536","260739732","1"
"tier1_363","tier1","363","191217647118596898816","13898643171481305088","271169321","1"
"tier1_364","tier1","364","209000888300626378752","15219014272772026368","282016094","1"
"tier1_365","tier1","365","228437970912584630272","16664820628685369344","293296738","1"
"tier1_366","tier1","366","249682702207455002624","18247978588410480640","305028607","1"
"tier1_367","tier1","367","272903193512748318720","19981536554309476352","317229752","1"
"tier1_368","tier1","368","298283190509433913344","21879782526968872960","329918942","1"
"tier1_369","tier1","369","326023527226811219968","23958361867030917120","343115699","1"
"tier1_370","tier1","370","356343715258904674304","26234406244398854144","356840327","1"
"tier1_371","tier1","371","389483680777982836736","28726674837616742400","371113940","1"
"tier1_372","tier1","372","425705663090335219712","31455708947190333440","385958498","1"
"tier1_373","tier1","373","465296289757736402944","34444001297173413888","401396838","1"
"tier1_374","tier1","374","508568844705205846016","37716181420404891648","417452712","1"
"tier1_375","tier1","375","555865747262789976064","41299218655343353856","434150820","1"
"tier1_376","tier1","376","607561261758229381120","45222644427600961536","451516853","1"
"tier1_377","tier1","377","664064459101744660480","49518795648223059968","469577527","1"
"tier1_378","tier1","378","725822453798206963712","54223081234804244480","488360628","1"
"tier1_379","tier1","379","793323942001440194560","59374273952110649344","507895053","1"
"tier1_380","tier1","380","867103068607574048768","65014829977561161728","528210855","1"
"tier1_381","tier1","381","947743653988078452736","71191238825429475328","549339290","1"
"tier1_382","tier1","382","1035883813808969613312","77954406513845272576","571312861","1"
"tier1_383","tier1","383","1132221008493203947520","85360075132660580352","594165376","1"
"tier1_384","tier1","384","1237517562283071897600","93469282270263312384","617931991","1"
"tier1_385","tier1","385","1352606695575397597184","102348864085938339840","642649270","1"
"tier1_386","tier1","386","1478399118263909351424","112072006174102470656","668355241","1"
"tier1_387","tier1","387","1615890236262452822016","122718846760642199552","695089451","1"
"tier1_388","tier1","388","1766168028234860986368","134377137202903203840","722893029","1"
"tier1_389","tier1","389","1930421654860702941184","147142965237179006976","751808750","1"
"tier1_390","tier1","390","2109950868762748518400","161121546934711025664","781881100","1"
"tier1_391","tier1","391","2306176299557683724288","176428093893508530176","813156344","1"
"tier1_392","tier1","392","2520650695416548425728","193188762813391863808","845682598","1"
"tier1_393","tier1","393","2755071210090287595520","211541695280664084480","879509902","1"
"tier1_394","tier1","394","3011292832628684095488","231638156332327174144","914690298","1"
"tier1_395","tier1","395","3291343066063151562752","253643781183898222592","951277910","1"
"tier1_396","tier1","396","3597437971207024541696","277739940396368560128","989329026","1"
"tier1_397","tier1","397","3931999702529277952000","304125234734023573504","1028902187","1"
"tier1_398","tier1","398","4297675674864500342784","333017132033755774976","1070058275","1"
"tier1_399","tier1","399","4697359512626898927616","364653759576962629632","1112860606","1"
"tier1_400","tier1","400","5134213947301199609856","399295866736774021120","1157375030","1"
"tier1_401","tier1","401","5611695844400211951616","437228974076767567872","1203670031","1"
"tier1_402","tier1","402","6133583557929431203840","478765726614060466176","1251816833","1"
"tier1_403","tier1","403","6704006828816867524608","524248470642396233728","1301889506","1"
"tier1_404","tier1","404","7327479463896836734976","574052075353423806464","1353965086","1"
"tier1_405","tier1","405","8008935054039243030528","628587022511999156224","1408123690","1"
"tier1_406","tier1","406","8753766014064892313600","688302789650638962688","1464448637","1"
"tier1_407","tier1","407","9567866253372926459904","753691554667449548800","1523026583","1"
"tier1_408","tier1","408","10457677814936608178176","825292252360857354240","1583947646","1"
"tier1_409","tier1","409","11430241851725712457728","903695016335138750464","1647305552","1"
"tier1_410","tier1","410","12493254343936203292672","989546042886976962560","1713197774","1"
"tier1_411","tier1","411","13655126997922268315648","1083552916961239629824","1781725685","1"
"tier1_412","tier1","412","14925053808729040879616","1186490444072557477888","1852994713","1"
"tier1_413","tier1","413","16313083812940842270720","1299207036259450224640","1927114501","1"
"tier1_414","tier1","414","17830200607544338022400","1422631704704098238464","2004199081","1"
"tier1_415","tier1","415","19488409264045963608064","1557781716650987356160","2084367044","1"
"tier1_416","tier1","416","21300831325602235547648","1705770979732831076352","2167741726","1"
"tier1_417","tier1","417","23281808638883240345600","1867819222807450222592","2254451395","1"
"tier1_418","tier1","418","25447016842299384528896","2045262048974157905920","2344629451","1"
"tier1_419","tier1","419","27813589408633227051008","2239561943626702913536","2438414629","1"
"tier1_420","tier1","420","30400253223636117225472","2452320328271239577600","2535951214","1"
"tier1_421","tier1","421","33227476773434273300480","2685290759457006944256","2637389263","1"
"tier1_422","tier1","422","36317632113363658997760","2940393381605422923776","2742884834","1"
"tier1_423","tier1","423","39695171899906479620096","3219730752857937805312","2852600227","1"
"tier1_424","tier1","424","43386822886597775589376","3525605174379441815552","2966704236","1"
"tier1_425","tier1","425","47421797415051373576192","3860537665945488850944","3085372405","1"
"tier1_426","tier1","426","51832024574651147485184","4227288744210310103040","3208787302","1"
"tier1_427","tier1","427","56652402860093702406144","4628881174910289838080","3337138794","1"
"tier1_428","tier1","428","61921076326082417786880","5068624886526767005696","3470624346","1"
"tier1_429","tier1","429","67679736424408085954560","5550144250746808303616","3609449319","1"
"tier1_430","tier1","430","73973951911878027378688","6077407954567755202560","3753827292","1"
"tier1_431","tier1","431","80853529439682691072000","6654761710251692523520","3903980384","1"
"tier1_432","tier1","432","88372907677573158273024","7286964072725604204544","4060139599","1"
"tier1_433","tier1","433","96591588091587479994368","7979225659634535628800","4222545183","1"
"tier1_434","tier1","434","105574605784105101557760","8737252097299816906752","4391446991","1"
"tier1_435","tier1","435","115393044122026891018240","9567291046543298134016","4567104870","1"
"tier1_436","tier1","436","126124597225375370575872","10476183695964913008640","4749789065","1"
