level_id,fragment_id,level,required_total,description,effect_ids,effect_values,enabled
"fragment_05_lv7","fragment_05","7","140","英雄攻击减甲+4","hero_attack_armor_reduction","4","1"
"fragment_05_lv8","fragment_05","8","160","英雄最终伤害+8%","hero_final_damage_bonus_pct","8","1"
"fragment_05_lv9","fragment_05","9","180","英雄造成伤害属性+8","hero_attributes_per_damage","8","1"
"fragment_05_lv10","fragment_05","10","200","英雄造成伤害攻击+8","hero_damage_attack_growth","8","1"
"fragment_05_lv11","fragment_05","11","220","英雄初始属性+10000","hero_initial_attributes","10000","1"
"fragment_05_lv12","fragment_05","12","240","英雄每秒属性+16","hero_attributes_per_second","16","1"
"fragment_05_lv13","fragment_05","13","260","英雄攻击加成+8%","hero_attack_bonus_pct","8","1"
"fragment_05_lv14","fragment_05","14","280","英雄三围加成+8%","hero_attribute_bonus_pct","8","1"
"fragment_05_lv15","fragment_05","15","300","英雄攻击减甲+4","hero_attack_armor_reduction","4","1"
"fragment_05_lv16","fragment_05","16","320","英雄最终伤害+8%","hero_final_damage_bonus_pct","8","1"
"fragment_05_lv17","fragment_05","17","340","英雄造成伤害属性+8","hero_attributes_per_damage","8","1"
"fragment_05_lv18","fragment_05","18","360","英雄造成伤害攻击+8","hero_damage_attack_growth","8","1"
"fragment_06_lv1","fragment_06","1","20","英雄生命加成+9%","hero_health_bonus_pct","9","1"
"fragment_06_lv2","fragment_06","2","40","英雄护甲加成+9%","hero_armor_bonus_pct","9","1"
"fragment_06_lv3","fragment_06","3","60","英雄初始属性+20000","hero_initial_attributes","20000","1"
"fragment_06_lv4","fragment_06","4","80","英雄每秒属性+32","hero_attributes_per_second","32","1"
"fragment_06_lv5","fragment_06","5","100","英雄攻击加成+9%","hero_attack_bonus_pct","9","1"
"fragment_06_lv6","fragment_06","6","120","英雄三围加成+9%","hero_attribute_bonus_pct","9","1"
"fragment_06_lv7","fragment_06","7","140","英雄攻击减甲+5","hero_attack_armor_reduction","5","1"
"fragment_06_lv8","fragment_06","8","160","英雄最终伤害+9%","hero_final_damage_bonus_pct","9","1"
"fragment_06_lv9","fragment_06","9","180","英雄造成伤害属性+9","hero_attributes_per_damage","9","1"
"fragment_06_lv10","fragment_06","10","200","英雄造成伤害攻击+9","hero_damage_attack_growth","9","1"
"fragment_06_lv11","fragment_06","11","220","英雄初始属性+20000","hero_initial_attributes","20000","1"
"fragment_06_lv12","fragment_06","12","240","英雄每秒属性+32","hero_attributes_per_second","32","1"
"fragment_06_lv13","fragment_06","13","260","英雄攻击加成+9%","hero_attack_bonus_pct","9","1"
"fragment_06_lv14","fragment_06","14","280","英雄三围加成+9%","hero_attribute_bonus_pct","9","1"
"fragment_06_lv15","fragment_06","15","300","英雄攻击减甲+5","hero_attack_armor_reduction","5","1"
"fragment_06_lv16","fragment_06","16","320","英雄最终伤害+9%","hero_final_damage_bonus_pct","9","1"
"fragment_06_lv17","fragment_06","17","340","英雄造成伤害属性+9","hero_attributes_per_damage","9","1"
"fragment_06_lv18","fragment_06","18","360","英雄造成伤害攻击+9","hero_damage_attack_growth","9","1"
"fragment_07_lv1","fragment_07","1","20","英雄生命加成+10%","hero_health_bonus_pct","10","1"
"fragment_07_lv2","fragment_07","2","40","英雄护甲加成+10%","hero_armor_bonus_pct","10","1"
"fragment_07_lv3","fragment_07","3","60","英雄初始属性+30000","hero_initial_attributes","30000","1"
"fragment_07_lv4","fragment_07","4","80","英雄每秒属性+64","hero_attributes_per_second","64","1"
"fragment_07_lv5","fragment_07","5","100","英雄攻击加成+10%","hero_attack_bonus_pct","10","1"
"fragment_07_lv6","fragment_07","6","120","英雄三围加成+10%","hero_attribute_bonus_pct","10","1"
"fragment_07_lv7","fragment_07","7","140","英雄攻击减甲+6","hero_attack_armor_reduction","6","1"
"fragment_07_lv8","fragment_07","8","160","英雄最终伤害+10%","hero_final_damage_bonus_pct","10","1"
"fragment_07_lv9","fragment_07","9","180","英雄造成伤害属性+10","hero_attributes_per_damage","10","1"
"fragment_07_lv10","fragment_07","10","200","英雄造成伤害攻击+10","hero_damage_attack_growth","10","1"
"fragment_07_lv11","fragment_07","11","220","英雄初始属性+30000","hero_initial_attributes","30000","1"
"fragment_07_lv12","fragment_07","12","240","英雄每秒属性+64","hero_attributes_per_second","64","1"
"fragment_07_lv13","fragment_07","13","260","英雄攻击加成+10%","hero_attack_bonus_pct","10","1"
"fragment_07_lv14","fragment_07","14","280","英雄三围加成+10%","hero_attribute_bonus_pct","10","1"
"fragment_07_lv15","fragment_07","15","300","英雄攻击减甲+6","hero_attack_armor_reduction","6","1"
"fragment_07_lv16","fragment_07","16","320","英雄最终伤害+10%","hero_final_damage_bonus_pct","10","1"
"fragment_07_lv17","fragment_07","17","340","英雄造成伤害属性+10","hero_attributes_per_damage","10","1"
"fragment_07_lv18","fragment_07","18","360","英雄造成伤害攻击+10","hero_damage_attack_growth","10","1"
"fragment_08_lv1","fragment_08","1","20","英雄生命加成+11%","hero_health_bonus_pct","11","1"
"fragment_08_lv2","fragment_08","2","40","英雄护甲加成+11%","hero_armor_bonus_pct","11","1"
"fragment_08_lv3","fragment_08","3","60","英雄初始属性+50000","hero_initial_attributes","50000","1"
"fragment_08_lv4","fragment_08","4","80","英雄每秒属性+98","hero_attributes_per_second","98","1"
"fragment_08_lv5","fragment_08","5","100","英雄攻击加成+11%","hero_attack_bonus_pct","11","1"
"fragment_08_lv6","fragment_08","6","120","英雄三围加成+11%","hero_attribute_bonus_pct","11","1"
"fragment_08_lv7","fragment_08","7","140","英雄攻击减甲+7","hero_attack_armor_reduction","7","1"
"fragment_08_lv8","fragment_08","8","160","英雄最终伤害+11%","hero_final_damage_bonus_pct","11","1"
"fragment_08_lv9","fragment_08","9","180","英雄造成伤害属性+11","hero_attributes_per_damage","11","1"
"fragment_08_lv10","fragment_08","10","200","英雄造成伤害攻击+11","hero_damage_attack_growth","11","1"
"fragment_08_lv11","fragment_08","11","220","英雄初始属性+50000","hero_initial_attributes","50000","1"
"fragment_08_lv12","fragment_08","12","240","英雄每秒属性+98","hero_attributes_per_second","98","1"
"fragment_08_lv13","fragment_08","13","260","英雄攻击加成+11%","hero_attack_bonus_pct","11","1"
"fragment_08_lv14","fragment_08","14","280","英雄三围加成+11%","hero_attribute_bonus_pct","11","1"
"fragment_08_lv15","fragment_08","15","300","英雄攻击减甲+7","hero_attack_armor_reduction","7","1"
"fragment_08_lv16","fragment_08","16","320","英雄最终伤害+11%","hero_final_damage_bonus_pct","11","1"
"fragment_08_lv17","fragment_08","17","340","英雄造成伤害属性+11","hero_attributes_per_damage","11","1"
"fragment_08_lv18","fragment_08","18","360","英雄造成伤害攻击+11","hero_damage_attack_growth","11","1"
"fragment_09_lv1","fragment_09","1","20","英雄生命加成+12%","hero_health_bonus_pct","12","1"
"fragment_09_lv2","fragment_09","2","40","英雄护甲加成+12%","hero_armor_bonus_pct","12","1"
"fragment_09_lv3","fragment_09","3","60","英雄初始属性+60000","hero_initial_attributes","60000","1"
"fragment_09_lv4","fragment_09","4","80","英雄每秒属性+132","hero_attributes_per_second","132","1"
"fragment_09_lv5","fragment_09","5","100","英雄攻击加成+12%","hero_attack_bonus_pct","12","1"
"fragment_09_lv6","fragment_09","6","120","英雄三围加成+12%","hero_attribute_bonus_pct","12","1"
"fragment_09_lv7","fragment_09","7","140","英雄攻击减甲+8","hero_attack_armor_reduction","8","1"
"fragment_09_lv8","fragment_09","8","160","英雄最终伤害+12%","hero_final_damage_bonus_pct","12","1"
"fragment_09_lv9","fragment_09","9","180","英雄造成伤害属性+12","hero_attributes_per_damage","12","1"
"fragment_09_lv10","fragment_09","10","200","英雄造成伤害攻击+12","hero_damage_attack_growth","12","1"
"fragment_09_lv11","fragment_09","11","220","英雄初始属性+60000","hero_initial_attributes","60000","1"
"fragment_09_lv12","fragment_09","12","240","英雄每秒属性+132","hero_attributes_per_second","132","1"
"fragment_09_lv13","fragment_09","13","260","英雄攻击加成+12%","hero_attack_bonus_pct","12","1"
"fragment_09_lv14","fragment_09","14","280","英雄三围加成+12%","hero_attribute_bonus_pct","12","1"
"fragment_09_lv15","fragment_09","15","300","英雄攻击减甲+8","hero_attack_armor_reduction","8","1"
"fragment_09_lv16","fragment_09","16","320","英雄最终伤害+12%","hero_final_damage_bonus_pct","12","1"
"fragment_09_lv17","fragment_09","17","340","英雄造成伤害属性+12","hero_attributes_per_damage","12","1"
"fragment_09_lv18","fragment_09","18","360","英雄造成伤害攻击+12","hero_damage_attack_growth","12","1"
"fragment_10_lv1","fragment_10","1","20","英雄生命加成+12%","hero_health_bonus_pct","12","1"
"fragment_10_lv2","fragment_10","2","40","英雄护甲加成+12%","hero_armor_bonus_pct","12","1"
"fragment_10_lv3","fragment_10","3","60","英雄初始属性+70000","hero_initial_attributes","70000","1"
"fragment_10_lv4","fragment_10","4","80","英雄每秒属性+166","hero_attributes_per_second","166","1"
"fragment_10_lv5","fragment_10","5","100","英雄攻击加成+12%","hero_attack_bonus_pct","12","1"
"fragment_10_lv6","fragment_10","6","120","英雄三围加成+12%","hero_attribute_bonus_pct","12","1"
"fragment_10_lv7","fragment_10","7","140","英雄攻击减甲+9","hero_attack_armor_reduction","9","1"
"fragment_10_lv8","fragment_10","8","160","英雄最终伤害+12%","hero_final_damage_bonus_pct","12","1"
"fragment_10_lv9","fragment_10","9","180","英雄造成伤害属性+13","hero_attributes_per_damage","13","1"
"fragment_10_lv10","fragment_10","10","200","英雄造成伤害攻击+13","hero_damage_attack_growth","13","1"
"fragment_10_lv11","fragment_10","11","220","英雄初始属性+70000","hero_initial_attributes","70000","1"
"fragment_10_lv12","fragment_10","12","240","英雄每秒属性+166","hero_attributes_per_second","166","1"
"fragment_10_lv13","fragment_10","13","260","英雄攻击加成+12%","hero_attack_bonus_pct","12","1"
"fragment_10_lv14","fragment_10","14","280","英雄三围加成+12%","hero_attribute_bonus_pct","12","1"
"fragment_10_lv15","fragment_10","15","300","英雄攻击减甲+8","hero_attack_armor_reduction","8","1"
"fragment_10_lv16","fragment_10","16","320","英雄最终伤害+12%","hero_final_damage_bonus_pct","12","1"
"fragment_10_lv17","fragment_10","17","340","英雄造成伤害属性+13","hero_attributes_per_damage","13","1"
"fragment_10_lv18","fragment_10","18","360","英雄造成伤害攻击+13","hero_damage_attack_growth","13","1"
"fragment_11_lv1","fragment_11","1","20","英雄生命加成+14%","hero_health_bonus_pct","14","1"
"fragment_11_lv2","fragment_11","2","40","英雄护甲加成+14%","hero_armor_bonus_pct","14","1"
"fragment_11_lv3","fragment_11","3","60","英雄初始属性+80000","hero_initial_attributes","80000","1"
"fragment_11_lv4","fragment_11","4","80","英雄每秒属性+200","hero_attributes_per_second","200","1"
"fragment_11_lv5","fragment_11","5","100","英雄攻击加成+14%","hero_attack_bonus_pct","14","1"
"fragment_11_lv6","fragment_11","6","120","英雄三围加成+14%","hero_attribute_bonus_pct","14","1"
"fragment_11_lv7","fragment_11","7","140","英雄攻击减甲+10","hero_attack_armor_reduction","10","1"
"fragment_11_lv8","fragment_11","8","160","英雄最终伤害+14%","hero_final_damage_bonus_pct","14","1"
"fragment_11_lv9","fragment_11","9","180","英雄造成伤害属性+14","hero_attributes_per_damage","14","1"
"fragment_11_lv10","fragment_11","10","200","英雄造成伤害攻击+14","hero_damage_attack_growth","14","1"
"fragment_11_lv11","fragment_11","11","220","英雄初始属性+80000","hero_initial_attributes","80000","1"
"fragment_11_lv12","fragment_11","12","240","英雄每秒属性+200","hero_attributes_per_second","200","1"
"fragment_11_lv13","fragment_11","13","260","英雄攻击加成+14%","hero_attack_bonus_pct","14","1"
"fragment_11_lv14","fragment_11","14","280","英雄三围加成+14%","hero_attribute_bonus_pct","14","1"
"fragment_11_lv15","fragment_11","15","300","英雄攻击减甲+10","hero_attack_armor_reduction","10","1"
"fragment_11_lv16","fragment_11","16","320","英雄最终伤害+14%","hero_final_damage_bonus_pct","14","1"
"fragment_11_lv17","fragment_11","17","340","英雄造成伤害属性+14","hero_attributes_per_damage","14","1"
"fragment_11_lv18","fragment_11","18","360","英雄造成伤害攻击+14","hero_damage_attack_growth","14","1"
"fragment_12_lv1","fragment_12","1","20","英雄生命加成+15%","hero_health_bonus_pct","15","1"
"fragment_12_lv2","fragment_12","2","40","英雄护甲加成+15%","hero_armor_bonus_pct","15","1"
"fragment_12_lv3","fragment_12","3","60","英雄初始属性+90000","hero_initial_attributes","90000","1"
"fragment_12_lv4","fragment_12","4","80","英雄每秒属性+234","hero_attributes_per_second","234","1"
"fragment_12_lv5","fragment_12","5","100","英雄攻击加成+15%","hero_attack_bonus_pct","15","1"
"fragment_12_lv6","fragment_12","6","120","英雄三围加成+15%","hero_attribute_bonus_pct","15","1"
"fragment_12_lv7","fragment_12","7","140","英雄攻击减甲+11","hero_attack_armor_reduction","11","1"
"fragment_12_lv8","fragment_12","8","160","英雄最终伤害+15%","hero_final_damage_bonus_pct","15","1"
"fragment_12_lv9","fragment_12","9","180","英雄造成伤害属性+15","hero_attributes_per_damage","15","1"
"fragment_12_lv10","fragment_12","10","200","英雄造成伤害攻击+15","hero_damage_attack_growth","15","1"
"fragment_12_lv11","fragment_12","11","220","英雄初始属性+90000","hero_initial_attributes","90000","1"
"fragment_12_lv12","fragment_12","12","240","英雄每秒属性+234","hero_attributes_per_second","234","1"
"fragment_12_lv13","fragment_12","13","260","英雄攻击加成+15%","hero_attack_bonus_pct","15","1"
"fragment_12_lv14","fragment_12","14","280","英雄三围加成+15%","hero_attribute_bonus_pct","15","1"
"fragment_12_lv15","fragment_12","15","300","英雄攻击减甲+11","hero_attack_armor_reduction","11","1"
"fragment_12_lv16","fragment_12","16","320","英雄最终伤害+15%","hero_final_damage_bonus_pct","15","1"
"fragment_12_lv17","fragment_12","17","340","英雄造成伤害属性+15","hero_attributes_per_damage","15","1"
"fragment_12_lv18","fragment_12","18","360","英雄造成伤害攻击+15","hero_damage_attack_growth","15","1"
