challenge_id,building_id,slot_order,display_name,min_difficulty,reward_kind,reward_key,model_path,model_scale,ability_icon,cooldown_seconds,enabled,description
"hunt_06","2","2","神兽狩猎-6","9","fragment","fragment_06","models/heroes/antimage/antimage.vmdl","1.2","antimage_mana_void","3","1","击败对应神兽获得神兵-碎颅锤 碎片；每20片晋升1级。"
"hunt_07","2","3","神兽狩猎-7","10","fragment","fragment_07","models/heroes/kunkka/kunkka.vmdl","1.2","kunkka_ghostship","3","1","击败对应神兽获得神兵-影刃 碎片；每20片晋升1级。"
"hunt_08","2","4","神兽狩猎-8","10","fragment","fragment_08","models/heroes/pudge/pudge.vmdl","1.2","pudge_dismember","3","1","击败对应神兽获得神兵-龙爪弯钩 碎片；每20片晋升1级。"
"hunt_09","3","1","神兽狩猎-9","10","fragment","fragment_09","models/heroes/weaver/weaver.vmdl","1.2","weaver_time_lapse","3","1","击败对应神兽获得神兵-纯金之触 碎片；每20片晋升1级。"
"hunt_10","3","2","神兽狩猎-10","10","fragment","fragment_10","models/heroes/legion_commander/legion_commander.vmdl","1.2","legion_commander_duel","3","1","击败对应神兽获得神兵-战鬼双刃 碎片；每20片晋升1级。"
"hunt_11","3","3","神兽狩猎-11","10","fragment","fragment_11","models/heroes/clinkz/clinkz.vmdl","1.2","clinkz_death_pact","3","1","击败对应神兽获得神兵-魔头之命 碎片；每20片晋升1级。"
"hunt_12","3","4","神兽狩猎-12","10","fragment","fragment_12","models/heroes/rubick/rubick.vmdl","1.2","rubick_spell_steal","3","1","击败对应神兽获得神兵-魔导师密钥 碎片；每20片晋升1级。"
"cage_4","3","5","秘法牢笼-4","10","cage","cage_4","models/heroes/visage/visage.vmdl","1.5","visage_summon_familiars","3","1","击败BOSS随机掉落本池9种材料之一；通行证额外1件。每局仅可挑战一次。"
"cage_5","3","6","秘法牢笼-5","10","cage","cage_5","models/heroes/visage/visage.vmdl","1.5","visage_summon_familiars","3","1","击败BOSS随机掉落本池9种材料之一；通行证额外1件。每局仅可挑战一次。"
"cage_6","3","7","秘法牢笼-6","10","cage","cage_6","models/heroes/visage/visage.vmdl","1.5","visage_summon_familiars","3","1","击败BOSS随机掉落本池9种材料之一；通行证额外1件。每局仅可挑战一次。"
"social_friend","3","8","好基友挑战","1","social_ticket","friend","models/heroes/ogre_magi/ogre_magi.vmdl","1.2","ogre_magi_multicast","3","1","召唤1只怪物，击杀获得1张义帖；本挑战每日最多获得10张，每局仅限一次。"
"social_ex","3","9","前女友挑战","1","social_ticket","ex","models/heroes/ogre_magi/ogre_magi.vmdl","1.2","ogre_magi_multicast","3","1","召唤1只怪物，击杀获得1张邀请函；本挑战每日最多获得10张，每局仅限一次。"
"social_beast","3","10","瑞兽赐福挑战","1","social_ticket","beast","models/heroes/ogre_magi/ogre_magi.vmdl","1.2","ogre_magi_multicast","3","1","召唤1只怪物，击杀获得1张福签；本挑战每日最多获得10张，每局仅限一次。"
