item_id,pool_id,display_name,max_owned,quality,description,effect_ids,effect_values,enabled
"beast_14","beast","控水旗","5","N","英雄护甲加成+5%","hero_armor_bonus_pct","5","1"
"beast_15","beast","宝色旗","5","N","伐木效率+1","lumberjack_attack_efficiency","1","1"
"beast_16","beast","太极图","5","N","箭塔每秒攻击+5","tower_attack_per_second","5","1"
"beast_17","beast","乾坤尺","5","N","箭塔攻击减甲+0.05","tower_attack_armor_reduction","0.05","1"
"beast_18","beast","业火红莲","5","N","箭塔造成伤害攻击+1","tower_damage_attack_growth","1","1"
"beast_19","beast","混元金斗","5","N","箭塔暴击几率+1%","tower_critical_chance_pct","1","1"
"beast_20","beast","定海珠","5","N","箭塔攻击加成+1%","tower_attack_bonus_pct","1","1"
"beast_21","beast","化血神刀","5","N","英雄造成伤害攻击+1","hero_damage_attack_growth","1","1"
"beast_22","beast","风火圈","5","N","英雄造成伤害加属性+1","hero_attributes_per_damage","1","1"
"beast_23","beast","六魂幡","5","N","金矿效率+1%","gold_mine_efficiency_pct","1","1"
"beast_24","beast","灭世黑莲","5","N","墙每秒护甲+0.02","wall_armor_per_second","0.02","1"
"beast_25","beast","功德金莲","5","N","墙生命加成+2%","wall_health_bonus_pct","2","1"
"beast_26","beast","番天印","5","N","墙护甲加成+2%","wall_armor_bonus_pct","2","1"
"beast_27","beast","混沌钟","5","N","英雄三围加成+2%","hero_attribute_bonus_pct","2","1"
"beast_28","beast","诛仙剑","5","N","英雄最终伤害+2%","hero_final_damage_bonus_pct","2","1"
"beast_29","beast","戮仙剑","5","N","英雄攻击减甲+2","hero_attack_armor_reduction","2","1"
"beast_30","beast","陷仙剑","5","N","箭塔最终伤害+2%","tower_final_damage_bonus_pct","2","1"
"beast_31","beast","绝仙剑","5","N","金矿最终产量+10","gold_mine_final_output_flat","10","1"
"beast_32","beast","盘古幡","5","N","英雄攻击加成+2%","hero_attack_bonus_pct","2","1"
"beast_33","beast","七禽扇","5","N","伐木工攻击成长+3","lumberjack_attack_growth","3","1"
"beast_34","beast","斩仙飞刀","5","N","墙减伤+0.5%","wall_damage_reduction_pct","0.5","1"
"beast_35","beast","七宝妙树","5","N","伐木效率+2","lumberjack_attack_efficiency","2","1"
"beast_36","beast","社稷图","5","N","箭塔每秒攻击+20","tower_attack_per_second","20","1"
"beast_37","beast","玄黄塔","5","N","箭塔暴击伤害+5%","tower_critical_damage_bonus_pct","5","1"
"beast_38","beast","开天斧","1","N","英雄攻击间隔-0.015","hero_attack_interval_reduction","0.015","1"
"beast_39","beast","混沌珠","1","N","人口+2","initial_population_cap","2","1"
"beast_40","beast","造化玉碟","1","N","英雄最终伤害+10%","hero_final_damage_bonus_pct","10","1"
