shop_entry_id,category_id,content_id,display_name,wood_cost,gold_cost,purchase_limit,visible_condition,purchasable_condition,disabled_reason_key,server_action,enabled,review_status,source,notes
shop_service_early_final_boss,technology,service_early_final_boss,提前通关,0,50000,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,英雄相关建筑/行18,提前召唤最终BOSS进攻。（开局不可用，15分钟CD）
shop_challenge_01,challenge,challenge_01,木材练功房,2000,0,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行22,击杀每个怪物获得100木材。
shop_challenge_02,challenge,challenge_02,金币练功房,10000,50,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行23,击杀每个怪物获得100金币。
shop_challenge_03,challenge,challenge_03,属性练功房,10000,500,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行24,击杀每个怪物获得10点全属性。
shop_challenge_04,challenge,challenge_04,大属性练功房,10000,2000,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行25,"击杀每个怪物获得100点全属性,1000金币。"
shop_challenge_05,challenge,challenge_05,挑战合成宝石,5000,0,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行26,击败BOSS后掉落合成宝石。
shop_challenge_06,challenge,challenge_06,进入冰霜之地,5000,0,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行27,升级小极地晶石。
shop_challenge_07,challenge,challenge_07,挑战熔火核心lv1-3宝石,20000,0,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行28,可升级浴火熔铠到lv4。
shop_challenge_08,challenge,challenge_08,挑战熔火核心lv4宝石,40000,0,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行29,可升级浴火熔铠到lvmax。
shop_challenge_09,challenge,challenge_09,挑战冰烬挽歌,50000,0,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行30,击败BOSS后掉落冰魂焰魄。
shop_challenge_10,challenge,challenge_10,进入罪渊,100000,0,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行31,挑战七宗罪，概率掉落精华，可以强化【史诗：冰火裁决】
shop_challenge_11,challenge,challenge_11,进入十戒,100000,0,0,altar_used==true,server_projection.purchasable==true,challenge_condition_not_met,start_challenge,1,ok,英雄相关建筑/行32,挑战十戒，击杀BOSS可强化【传说：深渊审判】
shop_rebirth_challenge_01,rebirth,rebirth_challenge_01,挑战1转,10000,0,1,altar_used==true,hero_rebirth_level==0,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行36,获得英雄专属技能/提高英雄2000全属性/增加攻击全属性+1/解锁分裂多重攻击
shop_rebirth_challenge_02,rebirth,rebirth_challenge_02,挑战2转,20000,0,1,altar_used==true,hero_rebirth_level==1,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行37,获得随机技能，获得相同的技能时升级技能/提高英雄3000全属性/增加攻击全属性+2/多重攻击+1
shop_rebirth_challenge_03,rebirth,rebirth_challenge_03,挑战3转,30000,100,1,altar_used==true,hero_rebirth_level==2,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行38,获得随机技能，获得相同的技能时升级技能/提高英雄5000全属性/增加攻击全属性+3/多重攻击+1
shop_rebirth_challenge_04,rebirth,rebirth_challenge_04,挑战4转,40000,500,1,altar_used==true,hero_rebirth_level==3,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行39,获得随机技能，获得相同的技能时升级技能/提高英雄10000全属性/增加攻击全属性+4/多重攻击+1
shop_rebirth_challenge_05,rebirth,rebirth_challenge_05,挑战5转,50000,1000,1,altar_used==true,hero_rebirth_level==4,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行40,获得随机技能，获得相同的技能时升级技能/提高英雄20000全属性/增加攻击全属性+6/多重攻击+1
shop_rebirth_challenge_06,rebirth,rebirth_challenge_06,挑战6转,60000,4000,1,altar_used==true,hero_rebirth_level==5,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行41,获得随机技能，获得相同的技能时升级技能/提高英雄30000全属性/增加攻击全属性+7/多重攻击+1
shop_rebirth_challenge_07,rebirth,rebirth_challenge_07,挑战7转,70000,8000,1,altar_used==true,hero_rebirth_level==6,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行42,获得随机技能，获得相同的技能时升级技能/提高英雄50000全属性/增加攻击全属性+8/多重攻击+1
shop_rebirth_challenge_08,rebirth,rebirth_challenge_08,挑战8转,80000,10000,1,altar_used==true,hero_rebirth_level==7,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行43,获得随机技能，获得相同的技能时升级技能/提高英雄70000全属性/增加攻击全属性+9/多重攻击+1
shop_rebirth_challenge_09,rebirth,rebirth_challenge_09,挑战9转,90000,15000,1,altar_used==true,hero_rebirth_level==8,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行44,获得随机技能，获得相同的技能时升级技能/提高英雄100000全属性/增加攻击全属性+10/多重攻击+1
shop_rebirth_challenge_10,rebirth,rebirth_challenge_10,挑战10转,100000,20000,1,altar_used==true,hero_rebirth_level==9,rebirth_condition_not_met,start_rebirth_challenge,1,ok,英雄相关建筑/行45,获得随机技能，获得相同的技能时升级技能/提高英雄200000全属性/增加攻击全属性+12/多重攻击+1
shop_candidate_weapon_growth_sword_03,weapon,weapon_growth_sword_03,成长之剑Lv3,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行4,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_growth_sword_04,weapon,weapon_growth_sword_04,成长之剑Lv4,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行5,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_growth_sword_max,weapon,weapon_growth_sword_max,成长之剑Lvmax,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行6,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_attack_gloves_02,weapon,equipment_attack_gloves_02,加速手套Lv2,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行9,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_attack_gloves_03,weapon,equipment_attack_gloves_03,加速手套Lv3,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行10,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_attack_gloves_04,weapon,equipment_attack_gloves_04,加速手套Lv4,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行11,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_attack_gloves_max,weapon,equipment_attack_gloves_max,加速手套Lvmax,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行12,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_burning_blade_02,weapon,equipment_burning_blade_02,灼热之刃Lv2,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行14,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_burning_blade_03,weapon,equipment_burning_blade_03,灼热之刃Lv3,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行15,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_burning_blade_04,weapon,equipment_burning_blade_04,灼热之刃Lv4,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行16,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_iron_armor_02,weapon,equipment_iron_armor_02,铁甲Lv2,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行19,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_iron_armor_03,weapon,equipment_iron_armor_03,铁甲Lv3,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行20,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_iron_armor_04,weapon,equipment_iron_armor_04,铁甲Lv4,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行21,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_equipment_iron_armor_max,weapon,equipment_iron_armor_max,铁甲Lvmax,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行22,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_frost_blade_01,weapon,weapon_frost_blade_01,霜之剑刃Lv1,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行40,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_item_large_polar_crystal,item,item_large_polar_crystal,大极地晶石,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,1,ok,武器合成/行46,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_ice_blade_01,weapon,weapon_ice_blade_01,极寒之刃Lv1,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行47,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_ice_blade_02,weapon,weapon_ice_blade_02,极寒之刃Lv2,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行48,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_ice_blade_03,weapon,weapon_ice_blade_03,极寒之刃Lv3,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行49,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_ice_blade_04,weapon,weapon_ice_blade_04,极寒之刃Lv4,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行50,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_ice_blade_max,weapon,weapon_ice_blade_max,极寒之刃Lvmax,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行51,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_material_ice_soul_ember,item,material_ice_soul_ember,冰魂焰魄,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行52,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_epic_icefire_00,weapon,weapon_epic_icefire_00,史诗：冰火裁决,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行53,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_epic_icefire_01,weapon,weapon_epic_icefire_01,史诗：冰火裁决+1,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行54,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_epic_icefire_02,weapon,weapon_epic_icefire_02,史诗：冰火裁决+2,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行55,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_epic_icefire_03,weapon,weapon_epic_icefire_03,史诗：冰火裁决+3,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行56,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_epic_icefire_04,weapon,weapon_epic_icefire_04,史诗：冰火裁决+4,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行57,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_epic_icefire_05,weapon,weapon_epic_icefire_05,史诗：冰火裁决+5,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行58,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_epic_icefire_06,weapon,weapon_epic_icefire_06,史诗：冰火裁决+6,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行59,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_00,weapon,weapon_legend_abyss_00,传说：深渊审判,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行60,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_01,weapon,weapon_legend_abyss_01,传说：深渊审判+1,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行61,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_10,weapon,weapon_legend_abyss_10,传说：深渊审判+10,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行62,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_02,weapon,weapon_legend_abyss_02,传说：深渊审判+2,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行63,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_03,weapon,weapon_legend_abyss_03,传说：深渊审判+3,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行64,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_04,weapon,weapon_legend_abyss_04,传说：深渊审判+4,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行65,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_05,weapon,weapon_legend_abyss_05,传说：深渊审判+5,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行66,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_06,weapon,weapon_legend_abyss_06,传说：深渊审判+6,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行67,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_07,weapon,weapon_legend_abyss_07,传说：深渊审判+7,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行68,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_08,weapon,weapon_legend_abyss_08,传说：深渊审判+8,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行69,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
shop_candidate_weapon_legend_abyss_09,weapon,weapon_legend_abyss_09,传说：深渊审判+9,0,0,1,altar_used==true,server_projection.purchasable==true,shop_condition_not_met,grant_content,0,needs_confirmation,武器合成/行70,原表非零价格自动提取；18等可疑价格默认停用，确认后再启用。
