content_id,legacy_id,series_id,stage,max_stage,equipment_slot,progression_type,progression_value,next_content_id,description,enabled,review_status,source,notes,wood_cost,gold_cost,shop_enabled,shop_category_id,shop_sort_order,required_city_level,requires_vip,requires_hero_summoned,required_rebirth_level,requires_building_id,requires_content_id,purchase_limit,disabled_reason_text,grant_type,icon_name,encounter_id,engine_item_name,base_attack_min,base_attack_max,base_strength,base_agility,base_intellect,attack_gain_per_attack,strength_gain_per_attack,agility_gain_per_attack,intellect_gain_per_attack,preserve_growth_on_upgrade,auto_equip,display_name,listed_stats,recipe_summary,base_attack_flat,base_health,base_armor,base_attack_speed_pct,base_lifesteal_pct
equipment_attack_gloves_04,2004,attack_gloves,4,5,accessory,repeat_purchase,1,equipment_attack_gloves_max,"增加英雄80%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",1,ok,武器合成/行11,,0,203,1,weapon,90,0,0,1,0,,,1,,virtual_item,item_gloves,,,,,,,,,,,,0,0,加速手套Lv4,"增加英雄80%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,,,,80,
equipment_attack_gloves_max,2005,attack_gloves,99,5,accessory,repeat_purchase,1,,"增加英雄100%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",1,needs_confirmation,武器合成/行12,,0,18,0,weapon,100,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_gloves,,,,,,,,,,,,0,0,加速手套Lvmax,"增加英雄100%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ", | INGREDIENT: 加速手套Lvmax + 灼热之刃Lvmax + 铁甲Lvmax + 合成宝石 -> 狱火熔铠Lv1,,,,100,
equipment_burning_blade_01,2011,burning_blade,1,5,accessory,repeat_purchase,1,equipment_burning_blade_02,能增加1000攻击力，可重复购买，最高5级,1,ok,武器合成/行13,,0,200,1,weapon,110,0,0,1,0,,,5,,virtual_item,item_blades_of_attack,,,,,,,,,,,,0,0,灼热之刃Lv1,能增加1000攻击力，可重复购买，最高5级,,1000,,,,
equipment_burning_blade_02,2012,burning_blade,2,5,accessory,repeat_purchase,1,equipment_burning_blade_03,能增加2000攻击力,1,ok,武器合成/行14,,0,200,1,weapon,120,0,0,1,0,,,1,,virtual_item,item_blades_of_attack,,,,,,,,,,,,0,0,灼热之刃Lv2,能增加2000攻击力,,2000,,,,
equipment_burning_blade_03,2013,burning_blade,3,5,accessory,repeat_purchase,1,equipment_burning_blade_04,能增加4000攻击力,1,ok,武器合成/行15,,0,200,1,weapon,130,0,0,1,0,,,1,,virtual_item,item_blades_of_attack,,,,,,,,,,,,0,0,灼热之刃Lv3,能增加4000攻击力,,4000,,,,
equipment_burning_blade_04,2014,burning_blade,4,5,accessory,repeat_purchase,1,equipment_burning_blade_max,能增加6000攻击力,1,ok,武器合成/行16,,0,200,1,weapon,140,0,0,1,0,,,1,,virtual_item,item_blades_of_attack,,,,,,,,,,,,0,0,灼热之刃Lv4,能增加6000攻击力,,6000,,,,
equipment_burning_blade_max,2015,burning_blade,99,5,accessory,repeat_purchase,1,,能增加8000攻击力,1,ok,武器合成/行17,,0,0,0,weapon,150,0,0,1,0,,,0,,virtual_item,item_blades_of_attack,,,,,,,,,,,,0,0,灼热之刃Lvmax,能增加8000攻击力, | INGREDIENT: 加速手套Lvmax + 灼热之刃Lvmax + 铁甲Lvmax + 合成宝石 -> 狱火熔铠Lv1,8000,,,,
equipment_iron_armor_01,2021,iron_armor,1,5,armor,repeat_purchase,1,equipment_iron_armor_02,增加英雄10点护甲和5000点生命值，重复购买升级，最高5级。,1,ok,武器合成/行18,,0,200,1,weapon,160,0,0,1,0,,,5,,virtual_item,item_chainmail,,,,,,,,,,,,0,0,铁甲Lv1,增加英雄10点护甲和5000点生命值，重复购买升级，最高5级。,,,5000,10,,
equipment_iron_armor_02,2022,iron_armor,2,5,armor,repeat_purchase,1,equipment_iron_armor_03,增加英雄30点护甲和10000点生命值,1,ok,武器合成/行19,,0,200,1,weapon,170,0,0,1,0,,,1,,virtual_item,item_chainmail,,,,,,,,,,,,0,0,铁甲Lv2,增加英雄30点护甲和10000点生命值,,,10000,30,,
equipment_iron_armor_03,2023,iron_armor,3,5,armor,repeat_purchase,1,equipment_iron_armor_04,增加英雄50点护甲和20000点生命值,1,ok,武器合成/行20,,0,200,1,weapon,180,0,0,1,0,,,1,,virtual_item,item_chainmail,,,,,,,,,,,,0,0,铁甲Lv3,增加英雄50点护甲和20000点生命值,,,20000,50,,
equipment_iron_armor_04,2024,iron_armor,4,5,armor,repeat_purchase,1,equipment_iron_armor_max,增加英雄70点护甲和30000点生命值,1,ok,武器合成/行21,,0,200,1,weapon,190,0,0,1,0,,,1,,virtual_item,item_chainmail,,,,,,,,,,,,0,0,铁甲Lv4,增加英雄70点护甲和30000点生命值,,,30000,70,,
equipment_iron_armor_max,2025,iron_armor,99,5,armor,repeat_purchase,1,,增加英雄100点护甲和50000点生命值,1,needs_confirmation,武器合成/行22,,0,18,0,weapon,200,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_chainmail,,,,,,,,,,,,0,0,铁甲Lvmax,增加英雄100点护甲和50000点生命值, | INGREDIENT: 加速手套Lvmax + 灼热之刃Lvmax + 铁甲Lvmax + 合成宝石 -> 狱火熔铠Lv1,,50000,100,,
equipment_infernal_armor_01,3011,infernal_armor,1,5,armor,recipe_upgrade,,equipment_infernal_armor_02,增加属性  - 2W攻击力  - 150%攻速  - 10W生命值  - 150护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv1升级,1,ok,武器合成/行23,,0,0,0,weapon,210,0,0,1,0,,,0,,virtual_item,item_platemail,,,,,,,,,,,,0,0,狱火熔铠Lv1,增加属性  - 2W攻击力  - 150%攻速  - 10W生命值  - 150护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv1升级, | RESULT: 加速手套Lvmax + 灼热之刃Lvmax + 铁甲Lvmax + 合成宝石 -> 狱火熔铠Lv1 | INGREDIENT: 狱火熔铠Lv1 + 熔火核心Lv1 -> 狱火熔铠Lv2,20000,100000,150,150,
equipment_infernal_armor_02,3012,infernal_armor,2,5,armor,recipe_upgrade,,equipment_infernal_armor_03,增加属性  - 3W攻击力  - 200%攻速  - 20W生命值  - 200护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv2升级,1,ok,武器合成/行24,,0,0,0,weapon,220,0,0,1,0,,,0,,virtual_item,item_platemail,,,,,,,,,,,,0,0,狱火熔铠Lv2,增加属性  - 3W攻击力  - 200%攻速  - 20W生命值  - 200护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv2升级, | RESULT: 狱火熔铠Lv1 + 熔火核心Lv1 -> 狱火熔铠Lv2 | INGREDIENT: 狱火熔铠Lv2 + 熔火核心Lv2 -> 狱火熔铠Lv3,30000,200000,200,200,
equipment_infernal_armor_03,3013,infernal_armor,3,5,armor,recipe_upgrade,,equipment_infernal_armor_04,增加属性  - 5W攻击力  - 250%攻速  - 30W生命值  - 250护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv3升级,1,ok,武器合成/行25,,0,0,0,weapon,230,0,0,1,0,,,0,,virtual_item,item_platemail,,,,,,,,,,,,0,0,狱火熔铠Lv3,增加属性  - 5W攻击力  - 250%攻速  - 30W生命值  - 250护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv3升级, | RESULT: 狱火熔铠Lv2 + 熔火核心Lv2 -> 狱火熔铠Lv3 | INGREDIENT: 狱火熔铠Lv3 + 熔火核心Lv3 -> 狱火熔铠Lv4,50000,300000,250,250,
equipment_infernal_armor_04,3014,infernal_armor,4,5,armor,recipe_upgrade,,equipment_infernal_armor_max,增加属性  - 7W攻击力  - 300%攻速  - 50W生命值  - 300护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv4升级,1,ok,武器合成/行26,,0,0,0,weapon,240,0,0,1,0,,,0,,virtual_item,item_platemail,,,,,,,,,,,,0,0,狱火熔铠Lv4,增加属性  - 7W攻击力  - 300%攻速  - 50W生命值  - 300护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv4升级, | RESULT: 狱火熔铠Lv3 + 熔火核心Lv3 -> 狱火熔铠Lv4 | INGREDIENT: 狱火熔铠Lv4 + 熔火核心Lv4 -> 狱火熔铠Lvmax,70000,500000,300,300,
equipment_infernal_armor_max,3015,infernal_armor,99,5,armor,recipe_upgrade,,,增加属性  - 10W攻击力  - 400%攻速  - 80W生命值  - 400护甲 对周围200码敌人每秒造成全属性*1的伤害  极寒之刃max＋狱火熔铠max＋冰魂焰魄 ＝  史诗：冰火裁决,1,ok,武器合成/行27,,0,0,0,weapon,250,0,0,1,0,,,0,,virtual_item,item_platemail,,,,,,,,,,,,0,0,狱火熔铠Lvmax,增加属性  - 10W攻击力  - 400%攻速  - 80W生命值  - 400护甲 对周围200码敌人每秒造成全属性*1的伤害  极寒之刃max＋狱火熔铠max＋冰魂焰魄 ＝  史诗：冰火裁决, | RESULT: 狱火熔铠Lv4 + 熔火核心Lv4 -> 狱火熔铠Lvmax | INGREDIENT: 极寒之刃Lvmax + 狱火熔铠Lvmax + 冰魂焰魄 -> 史诗：冰火裁决,100000,800000,400,400,
weapon_frost_blade_01,2051,frost_blade,1,5,main_hand,normal_attack_count,250,weapon_frost_blade_02,英雄每次攻击增加6点攻击力 +50%吸血   攻击250次使该武器进化,1,needs_confirmation,武器合成/行40,,18,0,0,weapon,260,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_crystalys,,item_survival_frost_blade_01,0,0,0,0,0,6,0,0,0,1,1,霜之剑刃Lv1,英雄每次攻击增加6点攻击力 +50%吸血   攻击250次使该武器进化, | RESULT: 成长之剑Lvmax + 死亡面罩 -> 霜之剑刃Lv1,,,,,50
weapon_frost_blade_02,2052,frost_blade,2,5,main_hand,normal_attack_count,300,weapon_frost_blade_03,英雄每次攻击增加7点攻击力 +50%吸血   攻击300次使该武器进化,1,ok,武器合成/行41,,0,0,0,weapon,270,0,0,1,0,,,0,,virtual_item,item_crystalys,,item_survival_frost_blade_02,0,0,0,0,0,7,0,0,0,1,1,霜之剑刃Lv2,英雄每次攻击增加7点攻击力 +50%吸血   攻击300次使该武器进化,,,,,,50
weapon_frost_blade_03,2053,frost_blade,3,5,main_hand,normal_attack_count,350,weapon_frost_blade_04,英雄每次攻击增加8点攻击力 +50%吸血   攻击350次使该武器进化,1,ok,武器合成/行42,,0,0,0,weapon,280,0,0,1,0,,,0,,virtual_item,item_crystalys,,item_survival_frost_blade_03,0,0,0,0,0,8,0,0,0,1,1,霜之剑刃Lv3,英雄每次攻击增加8点攻击力 +50%吸血   攻击350次使该武器进化,,,,,,50
weapon_frost_blade_04,2054,frost_blade,4,5,main_hand,normal_attack_count,400,weapon_frost_blade_max,英雄每次攻击增加9点攻击力 +50%吸血   攻击400次使该武器进化,1,ok,武器合成/行43,,0,0,0,weapon,290,0,0,1,0,,,0,,virtual_item,item_crystalys,,item_survival_frost_blade_04,0,0,0,0,0,9,0,0,0,1,1,霜之剑刃Lv4,英雄每次攻击增加9点攻击力 +50%吸血   攻击400次使该武器进化,,,,,,50
weapon_frost_blade_max,2055,frost_blade,99,5,main_hand,,,,英雄每次攻击增加10点攻击力 +50%吸血   +大极地晶石+霜之剑刃max+合成宝石=极寒之刃,1,ok,武器合成/行44,,0,0,0,weapon,300,0,0,1,0,,,0,,virtual_item,item_crystalys,,item_survival_frost_blade_max,0,0,0,0,0,10,0,0,0,1,1,霜之剑刃Lvmax,英雄每次攻击增加10点攻击力 +50%吸血   +大极地晶石+霜之剑刃max+合成宝石=极寒之刃, | INGREDIENT: 霜之剑刃Lvmax + 大极地晶石 + 合成宝石 -> 极寒之刃Lv1,,,,,50
weapon_ice_blade_01,3001,ice_blade,1,5,main_hand,monster_kill_count,200,weapon_ice_blade_02,+50%吸血 +50%暴击2倍 每次造成伤害提高12点攻击力 全属性+2000  可通过击杀敌人升级武器,1,needs_confirmation,武器合成/行47,,0,18,0,weapon,310,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_daedalus,,item_survival_ice_blade_01,0,0,2000,2000,2000,12,0,0,0,1,1,极寒之刃Lv1,+50%吸血 +50%暴击2倍 每次造成伤害提高12点攻击力 全属性+2000  可通过击杀敌人升级武器, | RESULT: 霜之剑刃Lvmax + 大极地晶石 + 合成宝石 -> 极寒之刃Lv1,,,,,50
weapon_ice_blade_02,3002,ice_blade,2,5,main_hand,monster_kill_count,250,weapon_ice_blade_03,+50%吸血 +50%暴击2倍 每次造成伤害提高13点攻击力 全属性+2500  可通过击杀敌人升级武器,1,needs_confirmation,武器合成/行48,,0,18,0,weapon,320,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_daedalus,,item_survival_ice_blade_02,0,0,2500,2500,2500,13,0,0,0,1,1,极寒之刃Lv2,+50%吸血 +50%暴击2倍 每次造成伤害提高13点攻击力 全属性+2500  可通过击杀敌人升级武器,,,,,,50
weapon_ice_blade_03,3003,ice_blade,3,5,main_hand,monster_kill_count,300,weapon_ice_blade_04,+50%吸血 +50%暴击2倍 全属性+3000 每次造成伤害提高14点攻击力  可通过击杀敌人升级武器,1,needs_confirmation,武器合成/行49,,0,18,0,weapon,330,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_daedalus,,item_survival_ice_blade_03,0,0,3000,3000,3000,14,0,0,0,1,1,极寒之刃Lv3,+50%吸血 +50%暴击2倍 全属性+3000 每次造成伤害提高14点攻击力  可通过击杀敌人升级武器,,,,,,50
weapon_ice_blade_04,3004,ice_blade,4,5,main_hand,monster_kill_count,350,weapon_ice_blade_max,+50%吸血 +50%暴击5倍 全属性+3500 每次造成伤害提高15点攻击力  可通过击杀敌人升级武器,1,needs_confirmation,武器合成/行50,,0,18,0,weapon,340,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_daedalus,,item_survival_ice_blade_04,0,0,3500,3500,3500,15,0,0,0,1,1,极寒之刃Lv4,+50%吸血 +50%暴击5倍 全属性+3500 每次造成伤害提高15点攻击力  可通过击杀敌人升级武器,,,,,,50
weapon_ice_blade_max,3005,ice_blade,99,5,main_hand,,,,+50%吸血 +50%暴击5倍 全属性+5000 每次造成伤害提高16点攻击力  极寒之刃max＋狱火熔铠max＋冰魂焰魄 ＝  史诗：冰火裁决,1,needs_confirmation,武器合成/行51,,0,18,0,weapon,350,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_daedalus,,item_survival_ice_blade_max,0,0,5000,5000,5000,16,0,0,0,1,1,极寒之刃Lvmax,+50%吸血 +50%暴击5倍 全属性+5000 每次造成伤害提高16点攻击力  极寒之刃max＋狱火熔铠max＋冰魂焰魄 ＝  史诗：冰火裁决, | INGREDIENT: 极寒之刃Lvmax + 狱火熔铠Lvmax + 冰魂焰魄 -> 史诗：冰火裁决,,,,,50
weapon_epic_icefire_00,4001,epic_icefire,0,7,main_hand,,,weapon_epic_icefire_01,增加属性  - 20W攻击力  - 400%攻速  - 100%吸血  - 80W生命值  - 500护甲  - 全属性+8000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行53,,0,18,0,weapon,360,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_skadi,,item_survival_epic_icefire_00,200000,200000,8000,8000,8000,20,5,5,5,1,1,史诗：冰火裁决,增加属性  - 20W攻击力  - 400%攻速  - 100%吸血  - 80W生命值  - 500护甲  - 全属性+8000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害, | RESULT: 极寒之刃Lvmax + 狱火熔铠Lvmax + 冰魂焰魄 -> 史诗：冰火裁决,0,0,0,0,0
weapon_epic_icefire_01,4002,epic_icefire,1,7,main_hand,,,weapon_epic_icefire_02,增加属性  - 25W攻击力  - 400%攻速  - 100%吸血  - 85W生命值  - 550护甲  - 全属性+10000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行54,,0,18,0,weapon,370,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_skadi,,item_survival_epic_icefire_01,250000,250000,10000,10000,10000,20,5,5,5,1,1,史诗：冰火裁决+1,增加属性  - 25W攻击力  - 400%攻速  - 100%吸血  - 85W生命值  - 550护甲  - 全属性+10000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_epic_icefire_02,4003,epic_icefire,2,7,main_hand,,,weapon_epic_icefire_03,增加属性  - 30W攻击力  - 400%攻速  - 100%吸血  - 90W生命值  - 600护甲  - 全属性+12000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行55,,0,18,0,weapon,380,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_skadi,,item_survival_epic_icefire_02,300000,300000,12000,12000,12000,20,5,5,5,1,1,史诗：冰火裁决+2,增加属性  - 30W攻击力  - 400%攻速  - 100%吸血  - 90W生命值  - 600护甲  - 全属性+12000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_epic_icefire_03,4004,epic_icefire,3,7,main_hand,,,weapon_epic_icefire_04,增加属性  - 35W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 650护甲  - 全属性+15000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行56,,0,18,0,weapon,390,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_skadi,,item_survival_epic_icefire_03,350000,350000,15000,15000,15000,20,5,5,5,1,1,史诗：冰火裁决+3,增加属性  - 35W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 650护甲  - 全属性+15000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_epic_icefire_04,4005,epic_icefire,4,7,main_hand,,,weapon_epic_icefire_05,增加属性  - 40W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 700护甲  - 全属性+18000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行57,,0,18,0,weapon,400,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_skadi,,item_survival_epic_icefire_04,400000,400000,18000,18000,18000,20,5,5,5,1,1,史诗：冰火裁决+4,增加属性  - 40W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 700护甲  - 全属性+18000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_epic_icefire_05,4006,epic_icefire,5,7,main_hand,,,weapon_epic_icefire_06,增加属性  - 45W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 750护甲  - 全属性+20000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行58,,0,18,0,weapon,410,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_skadi,,item_survival_epic_icefire_05,450000,450000,22000,22000,22000,20,5,5,5,1,1,史诗：冰火裁决+5,增加属性  - 45W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 750护甲  - 全属性+20000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_epic_icefire_06,4007,epic_icefire,6,7,main_hand,,,weapon_legend_abyss_00,增加属性  - 50W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 800护甲  - 全属性+25000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行59,,0,18,0,weapon,420,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_skadi,,item_survival_epic_icefire_06,500000,500000,25000,25000,25000,20,5,5,5,1,1,史诗：冰火裁决+6,增加属性  - 50W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 800护甲  - 全属性+25000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
