rule_id,from_content_id,to_content_id,progression_type,required_value,consume_progress,target,enabled,review_status,source,notes
progress_weapon_epic_icefire_04,weapon_epic_icefire_04,weapon_epic_icefire_05,,,1,owner_hero,1,needs_confirmation,武器合成/行57,
progress_weapon_epic_icefire_05,weapon_epic_icefire_05,weapon_epic_icefire_06,,,1,owner_hero,1,needs_confirmation,武器合成/行58,
progress_weapon_epic_icefire_06,weapon_epic_icefire_06,weapon_epic_icefire_07,,,1,owner_hero,1,needs_confirmation,武器合成/行59,
progress_weapon_legend_abyss_00,weapon_legend_abyss_00,weapon_legend_abyss_01,,,1,owner_hero,1,needs_confirmation,武器合成/行60,
progress_weapon_legend_abyss_01,weapon_legend_abyss_01,weapon_legend_abyss_02,,,1,owner_hero,1,needs_confirmation,武器合成/行61,
progress_weapon_legend_abyss_10,weapon_legend_abyss_10,weapon_legend_abyss_11,,,1,owner_hero,1,needs_confirmation,武器合成/行62,
progress_weapon_legend_abyss_02,weapon_legend_abyss_02,weapon_legend_abyss_03,,,1,owner_hero,1,needs_confirmation,武器合成/行63,
progress_weapon_legend_abyss_03,weapon_legend_abyss_03,weapon_legend_abyss_04,,,1,owner_hero,1,needs_confirmation,武器合成/行64,
progress_weapon_legend_abyss_04,weapon_legend_abyss_04,weapon_legend_abyss_05,,,1,owner_hero,1,needs_confirmation,武器合成/行65,
progress_weapon_legend_abyss_05,weapon_legend_abyss_05,weapon_legend_abyss_06,,,1,owner_hero,1,needs_confirmation,武器合成/行66,
progress_weapon_legend_abyss_06,weapon_legend_abyss_06,weapon_legend_abyss_07,,,1,owner_hero,1,needs_confirmation,武器合成/行67,
progress_weapon_legend_abyss_07,weapon_legend_abyss_07,weapon_legend_abyss_08,,,1,owner_hero,1,needs_confirmation,武器合成/行68,
progress_weapon_legend_abyss_08,weapon_legend_abyss_08,weapon_legend_abyss_09,,,1,owner_hero,1,needs_confirmation,武器合成/行69,
progress_weapon_legend_abyss_09,weapon_legend_abyss_09,weapon_legend_abyss_10,,,1,owner_hero,1,needs_confirmation,武器合成/行70,
