content_id,legacy_id,content_type,content_subtype,name,description,icon,enabled,source_sheet,source_row,shop_candidate,review_status,notes
weapon_frost_blade_01,2051,weapon,main_weapon,霜之剑刃Lv1,英雄每次攻击增加6点攻击力 +50%吸血   攻击250次使该武器进化,,1,武器合成/Sheet1,40,1,needs_confirmation,
weapon_frost_blade_02,2052,weapon,main_weapon,霜之剑刃Lv2,英雄每次攻击增加7点攻击力 +50%吸血   攻击300次使该武器进化,,1,武器合成/Sheet1,41,0,ok,
weapon_frost_blade_03,2053,weapon,main_weapon,霜之剑刃Lv3,英雄每次攻击增加8点攻击力 +50%吸血   攻击350次使该武器进化,,1,武器合成/Sheet1,42,0,ok,
weapon_frost_blade_04,2054,weapon,main_weapon,霜之剑刃Lv4,英雄每次攻击增加9点攻击力 +50%吸血   攻击400次使该武器进化,,1,武器合成/Sheet1,43,0,ok,
weapon_frost_blade_max,2055,weapon,main_weapon,霜之剑刃Lvmax,英雄每次攻击增加10点攻击力 +50%吸血   +大极地晶石+霜之剑刃max+合成宝石=极寒之刃,,1,武器合成/Sheet1,44,0,ok,
item_small_polar_crystal,1021,item,enhancement_item,小极地晶石,全属性+1000    击杀200个冰之幽魂 升级,,1,武器合成/Sheet1,45,1,ok,
item_large_polar_crystal,1012,item,enhancement_item,大极地晶石,全属性+2000    大极地晶石+霜之剑刃max+合成宝石=极寒之刃,,1,武器合成/Sheet1,46,1,ok,
weapon_ice_blade_01,3001,weapon,main_weapon,极寒之刃Lv1,+50%吸血 +50%暴击2倍 每次造成伤害提高12点攻击力 全属性+2000  可通过击杀敌人升级武器,,1,武器合成/Sheet1,47,1,needs_confirmation,
weapon_ice_blade_02,3002,weapon,main_weapon,极寒之刃Lv2,+50%吸血 +50%暴击2倍 每次造成伤害提高13点攻击力 全属性+2500  可通过击杀敌人升级武器,,1,武器合成/Sheet1,48,1,needs_confirmation,
weapon_ice_blade_03,3003,weapon,main_weapon,极寒之刃Lv3,+50%吸血 +50%暴击2倍 全属性+3000 每次造成伤害提高14点攻击力  可通过击杀敌人升级武器,,1,武器合成/Sheet1,49,1,needs_confirmation,
weapon_ice_blade_04,3004,weapon,main_weapon,极寒之刃Lv4,+50%吸血 +50%暴击5倍 全属性+3500 每次造成伤害提高15点攻击力  可通过击杀敌人升级武器,,1,武器合成/Sheet1,50,1,needs_confirmation,
weapon_ice_blade_max,3005,weapon,main_weapon,极寒之刃Lvmax,+50%吸血 +50%暴击5倍 全属性+5000 每次造成伤害提高16点攻击力  极寒之刃max＋狱火熔铠max＋冰魂焰魄 ＝  史诗：冰火裁决,,1,武器合成/Sheet1,51,1,needs_confirmation,
material_ice_soul_ember,3071,material,synthesis_material,冰魂焰魄,极寒之刃max＋狱火熔铠max＋冰魂焰魄 ＝  史诗：冰火裁决,,1,武器合成/Sheet1,52,0,ok,
weapon_epic_icefire_00,4001,weapon,main_weapon,史诗：冰火裁决,增加属性  - 20W攻击力  - 400%攻速  - 100%吸血  - 80W生命值  - 500护甲  - 全属性+8000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,53,1,needs_confirmation,
weapon_epic_icefire_01,4002,weapon,main_weapon,史诗：冰火裁决+1,增加属性  - 25W攻击力  - 400%攻速  - 100%吸血  - 85W生命值  - 550护甲  - 全属性+10000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,54,1,needs_confirmation,
weapon_epic_icefire_02,4003,weapon,main_weapon,史诗：冰火裁决+2,增加属性  - 30W攻击力  - 400%攻速  - 100%吸血  - 90W生命值  - 600护甲  - 全属性+12000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,55,1,needs_confirmation,
weapon_epic_icefire_03,4004,weapon,main_weapon,史诗：冰火裁决+3,增加属性  - 35W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 650护甲  - 全属性+15000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,56,1,needs_confirmation,
weapon_epic_icefire_04,4005,weapon,main_weapon,史诗：冰火裁决+4,增加属性  - 40W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 700护甲  - 全属性+18000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,57,1,needs_confirmation,
weapon_epic_icefire_05,4006,weapon,main_weapon,史诗：冰火裁决+5,增加属性  - 45W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 750护甲  - 全属性+20000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,58,1,needs_confirmation,
weapon_epic_icefire_06,4007,weapon,main_weapon,史诗：冰火裁决+6,增加属性  - 50W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 800护甲  - 全属性+25000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,59,1,needs_confirmation,
weapon_legend_abyss_00,5001,weapon,main_weapon,传说：深渊审判,增加属性  - 60W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+30000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,60,1,needs_confirmation,
weapon_legend_abyss_01,5002,weapon,main_weapon,传说：深渊审判+1,增加属性  - 70W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+50000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,61,1,needs_confirmation,
weapon_legend_abyss_10,5003,weapon,main_weapon,传说：深渊审判+10,增加属性  - 200W攻击力  - 400%攻速  - 100%吸血  - 200W生命值  - 850护甲  - 全属性+900000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,62,1,needs_confirmation,
weapon_legend_abyss_02,5004,weapon,main_weapon,传说：深渊审判+2,增加属性  - 80W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+100000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,63,1,needs_confirmation,
weapon_legend_abyss_03,5005,weapon,main_weapon,传说：深渊审判+3,增加属性  - 90W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+200000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,64,1,needs_confirmation,
weapon_legend_abyss_04,5006,weapon,main_weapon,传说：深渊审判+4,增加属性  - 100W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+300000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,65,1,needs_confirmation,
weapon_legend_abyss_05,5007,weapon,main_weapon,传说：深渊审判+5,增加属性  - 110W攻击力  - 400%攻速  - 100%吸血  - 110W生命值  - 850护甲  - 全属性+400000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,66,1,needs_confirmation,
weapon_legend_abyss_06,5008,weapon,main_weapon,传说：深渊审判+6,增加属性  - 120W攻击力  - 400%攻速  - 100%吸血  - 120W生命值  - 850护甲  - 全属性+500000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,67,1,needs_confirmation,
weapon_legend_abyss_07,5009,weapon,main_weapon,传说：深渊审判+7,增加属性  - 130W攻击力  - 400%攻速  - 100%吸血  - 130W生命值  - 850护甲  - 全属性+600000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,68,1,needs_confirmation,
weapon_legend_abyss_08,5010,weapon,main_weapon,传说：深渊审判+8,增加属性  - 140W攻击力  - 400%攻速  - 100%吸血  - 140W生命值  - 850护甲  - 全属性+700000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,69,1,needs_confirmation,
weapon_legend_abyss_09,5011,weapon,main_weapon,传说：深渊审判+9,增加属性  - 150W攻击力  - 400%攻速  - 100%吸血  - 150W生命值  - 850护甲  - 全属性+800000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,1,武器合成/Sheet1,70,1,needs_confirmation,
item_knowledge_book,,item,consumable,知识之书,增加30000全属性，15000攻击力。,,1,英雄相关建筑,16,1,ok,
item_super_knowledge_book,,item,consumable,超级知识之书,增加300000全属性，150000攻击力。,,1,英雄相关建筑,17,1,ok,
service_early_final_boss,,technology,service_action,提前通关,提前召唤最终BOSS进攻；开局不可用，15分钟CD。,,1,英雄相关建筑,18,1,ok,
challenge_01,,challenge,shop_challenge,木材练功房,击杀每个怪物获得100木材。,,1,英雄相关建筑,22,1,ok,
challenge_02,,challenge,shop_challenge,金币练功房,击杀每个怪物获得100金币。,,1,英雄相关建筑,23,1,ok,
challenge_03,,challenge,shop_challenge,属性练功房,击杀每个怪物获得10点全属性。,,1,英雄相关建筑,24,1,ok,
challenge_04,,challenge,shop_challenge,大属性练功房,"击杀每个怪物获得100点全属性,1000金币。",,1,英雄相关建筑,25,1,ok,
challenge_05,,challenge,shop_challenge,挑战合成宝石,击败BOSS后掉落合成宝石。当满足装备升级进化条件时，拾取掉落精华即可升级进化。,,1,英雄相关建筑,26,1,ok,
challenge_06,,challenge,shop_challenge,进入冰霜之地,升级小极地晶石。当满足装备升级进化条件时，拾取掉落精华即可升级进化。,,1,英雄相关建筑,27,1,ok,
challenge_07,,challenge,shop_challenge,挑战熔火核心lv1-3宝石,场内维持10只熔火怪物；死亡后0.5秒补满，每只怪物独立有20%概率掉落熔火核心Lv1。,,1,英雄相关建筑,28,1,ok,
challenge_08,,challenge,shop_challenge,挑战熔火核心lv4宝石,击败BOSS后掉落熔火核心Lv4；狱火熔铠Lv4与熔火核心Lv4自动合成狱火熔铠Lvmax。,,1,英雄相关建筑,29,1,ok,
challenge_09,,challenge,shop_challenge,挑战冰烬挽歌,击败BOSS后掉落冰魂焰魄。当满足装备升级进化条件时，拾取掉落精华即可升级进化。,,1,英雄相关建筑,30,1,ok,
challenge_10,,challenge,shop_challenge,进入七宗罪,场内维持10只相同小怪；每只怪物死亡有40%概率按权重掉落七种精华，掉落数量不限。,,1,英雄相关建筑,31,1,ok,
challenge_11,,challenge,shop_challenge,进入罪渊（十宗罪）,持有深渊审判才能进入；武器+N进入第N+1层，击杀对应Boss后自动合成升阶。,,1,英雄相关建筑,32,1,ok,
item_seven_sins_wrath_essence,I03C,item,consumable,暴怒精华,点击使用强化冰火裁决+1并且最终伤害+5%,item_demon_edge,1,七宗罪挑战,,0,ok,
item_seven_sins_gluttony_essence,I03D,item,consumable,暴食精华,点击使用强化冰火裁决+1并且攻击间隔-0.05,item_gloves,1,七宗罪挑战,,0,ok,
item_seven_sins_sloth_essence,I03E,item,consumable,懒惰精华,点击使用强化冰火裁决+1并且杀敌全属性+5,item_ultimate_orb,1,七宗罪挑战,,0,ok,
item_seven_sins_envy_essence,I03F,item,consumable,妒忌精华,点击使用强化冰火裁决+1并且全属性加成+5%,item_skadi,1,七宗罪挑战,,0,ok,
item_seven_sins_pride_essence,I03G,item,consumable,傲慢精华,点击使用强化冰火裁决+1并且攻击加成+20%,item_reaver,1,七宗罪挑战,,0,ok,
item_seven_sins_greed_essence,I03H,item,consumable,贪婪精华,点击使用强化冰火裁决+1并且每次攻击全属性+3,item_eagle,1,七宗罪挑战,,0,ok,
item_seven_sins_lust_essence,I03I,item,consumable,色欲精华,点击使用强化冰火裁决+1并且每次攻击减甲+3,item_blades_of_attack,1,七宗罪挑战,,0,ok,
rebirth_challenge_01,,rebirth,hero_rebirth,挑战1转,获得英雄专属技能/提高英雄2000全属性/增加攻击全属性+1/解锁分裂多重攻击,,1,英雄相关建筑,36,1,ok,
rebirth_challenge_02,,rebirth,hero_rebirth,挑战2转,获得随机技能，获得相同的技能时升级技能/提高英雄3000全属性/增加攻击全属性+2/多重攻击+1,,1,英雄相关建筑,37,1,ok,
rebirth_challenge_03,,rebirth,hero_rebirth,挑战3转,获得随机技能，获得相同的技能时升级技能/提高英雄5000全属性/增加攻击全属性+3/多重攻击+1,,1,英雄相关建筑,38,1,ok,
rebirth_challenge_04,,rebirth,hero_rebirth,挑战4转,获得随机技能，获得相同的技能时升级技能/提高英雄10000全属性/增加攻击全属性+4/多重攻击+1,,1,英雄相关建筑,39,1,ok,
rebirth_challenge_05,,rebirth,hero_rebirth,挑战5转,获得随机技能，获得相同的技能时升级技能/提高英雄20000全属性/增加攻击全属性+6/多重攻击+1,,1,英雄相关建筑,40,1,ok,
rebirth_challenge_06,,rebirth,hero_rebirth,挑战6转,获得随机技能，获得相同的技能时升级技能/提高英雄30000全属性/增加攻击全属性+7/多重攻击+1,,1,英雄相关建筑,41,1,ok,
rebirth_challenge_07,,rebirth,hero_rebirth,挑战7转,获得随机技能，获得相同的技能时升级技能/提高英雄50000全属性/增加攻击全属性+8/多重攻击+1,,1,英雄相关建筑,42,1,ok,
rebirth_challenge_08,,rebirth,hero_rebirth,挑战8转,获得随机技能，获得相同的技能时升级技能/提高英雄70000全属性/增加攻击全属性+9/多重攻击+1,,1,英雄相关建筑,43,1,ok,
rebirth_challenge_09,,rebirth,hero_rebirth,挑战9转,获得随机技能，获得相同的技能时升级技能/提高英雄100000全属性/增加攻击全属性+10/多重攻击+1,,1,英雄相关建筑,44,1,ok,
rebirth_challenge_10,,rebirth,hero_rebirth,挑战10转,获得随机技能，获得相同的技能时升级技能/提高英雄200000全属性/增加攻击全属性+12/多重攻击+1,,1,英雄相关建筑,45,1,ok,
building_wall,,building,buildable,城墙,建造成功后Undying的建造城墙技能在客户端置灰；服务端仍验证max_count=1。,,1,设计拆分,,0,ok,
building_main_city,,building,buildable,主城,建造成功后Undying的建造主城技能在客户端置灰；服务端仍验证max_count=1。,,1,设计拆分,,0,ok,
building_arrow_tower,,building,buildable,箭塔,箭塔5级后进入五选一转职。,,1,设计拆分,,0,ok,
building_farm,,building,buildable,人口农场,,,1,设计拆分,,0,ok,
building_research_lab,,building,buildable,研究所,,,1,设计拆分,,0,ok,
building_advanced_research_lab,,building,buildable,高级研究所,,,1,设计拆分,,0,ok,
building_gold_mine,,building,buildable,金矿,主城3级解锁；具体建造费用由building_levels或正式配置补充。,,1,设计拆分,,0,ok,
building_hero_altar,,building,buildable,英雄祭坛,祭坛建造前置为主城3级；祭坛被使用后shop_root_visible=true。,,1,设计拆分,,0,ok,
lottery_ticket,,material,lottery_currency,地图抽奖券,用于地图抽奖；由地图玩法产出。,,1,抽奖系统,,0,ok,逻辑资产；服务端内容背包持有。
special_lottery_ticket,,material,premium_lottery_currency,特殊抽奖券,用于修仙、龙骑和暑期特殊宝箱；仅由支付后台验签发放。,,1,抽奖系统,,0,needs_confirmation,不可加入消耗木材或金币的普通shop_entries表。
lottery_attribute_crystal,,item,lottery_reward,属性结晶,英雄全属性+50,item_daedalus,1,积分道具,5,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_protection_crystal,,item,lottery_reward,防护结晶,墙护甲+2,item_crimson_guard,1,积分道具,6,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_nature_crystal,,item,lottery_reward,自然结晶,伐木速度+2%,item_ogre_axe,1,积分道具,7,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_bombardment_crystal,,item,lottery_reward,炮击结晶,塔攻击+30,item_daedalus,1,积分道具,8,0,needs_confirmation,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_recovery_crystal,,item,lottery_reward,回复结晶,墙每秒回血+5,item_crimson_guard,1,积分道具,9,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_resistance_crystal,,item,lottery_reward,抵抗结晶,墙伤害格挡+10,item_crimson_guard,1,积分道具,10,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_expansion_crystal,,item,lottery_reward,膨胀结晶,墙每秒生命+1,item_crimson_guard,1,积分道具,11,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_shooting_crystal,,item,lottery_reward,射击结晶,塔攻击力+50,item_daedalus,1,积分道具,12,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_wealth_crystal,,item,lottery_reward,财富结晶,金矿效率+2%,item_ogre_axe,1,积分道具,13,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_lumber_crystal,,item,lottery_reward,伐木结晶,开局木材+30,item_ogre_axe,1,积分道具,14,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_recovery_spirit,,item,lottery_reward,回复精神,墙每秒回血+10,item_crimson_guard,1,积分道具,15,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_life_spirit,,item,lottery_reward,生命精神,墙生命值+1000,item_crimson_guard,1,积分道具,16,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_nature_spirit,,item,lottery_reward,自然精神,每秒木材+1,item_ogre_axe,1,积分道具,17,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_sharp_spirit,,item,lottery_reward,锋锐精神,防御塔攻击+100,item_mjollnir,1,积分道具,18,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_divine_spirit,,item,lottery_reward,神赐精神,金矿收益+3（不叠加任何加成）,item_ogre_axe,1,积分道具,19,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
lottery_universal_tool,,item,lottery_reward,万能工具,伐木工攻速+3% 金矿效率+3% 星悦积分+10,item_ogre_axe,1,积分道具,20,0,ok,抽奖系统持久化内容ID；品质与效果由抽奖定义表维护。
