旧资源路径,新资源ID,新资源文件,迁移类型,注意事项
lottery_ui_v3/02_rgba_icons/currency_plus_normal.png,icon.add,shared/icon/add.png,candidate_requires_visual_check,来自V3；原画布边距不同，用paint bounds对齐
lottery_ui_v3/02_rgba_icons/skip_checkbox_normal.png,checkbox.off,shared/checkbox/off.png,candidate_requires_visual_check,来自V3；原画布边距不同，用paint bounds对齐
lottery_ui_v3/03_states/button_ivory_normal.png,button.ivory.normal,shared/button/ivory/normal.png,candidate_requires_visual_check,统一简化无字按钮候选；旧V3补做图，非原效果图逐像素纹理
lottery_ui_v3/03_states/button_ivory_hover.png,button.ivory.hover,shared/button/ivory/hover.png,candidate_requires_visual_check,统一简化无字按钮候选；旧V3补做图，非原效果图逐像素纹理
lottery_ui_v3/03_states/button_ivory_pressed.png,button.ivory.pressed,shared/button/ivory/pressed.png,candidate_requires_visual_check,统一简化无字按钮候选；旧V3补做图，非原效果图逐像素纹理
lottery_ui_v3/03_states/button_ivory_disabled.png,button.ivory.disabled,shared/button/ivory/disabled.png,candidate_requires_visual_check,统一简化无字按钮候选；旧V3补做图，非原效果图逐像素纹理
lottery_ui_v3/03_states/button_gold_normal.png,button.gold.normal,shared/button/gold/normal.png,candidate_requires_visual_check,统一简化无字按钮候选；旧V3补做图，非原效果图逐像素纹理
lottery_ui_v3/03_states/button_gold_hover.png,button.gold.hover,shared/button/gold/hover.png,candidate_requires_visual_check,统一简化无字按钮候选；旧V3补做图，非原效果图逐像素纹理
lottery_ui_v3/03_states/button_gold_pressed.png,button.gold.pressed,shared/button/gold/pressed.png,candidate_requires_visual_check,统一简化无字按钮候选；旧V3补做图，非原效果图逐像素纹理
lottery_ui_v3/03_states/button_gold_disabled.png,button.gold.disabled,shared/button/gold/disabled.png,candidate_requires_visual_check,统一简化无字按钮候选；旧V3补做图，非原效果图逐像素纹理
lottery_ui_v3/03_states/tab_selected_overlay.png,overlay.tab_selected_overlay,shared/overlay/tab_selected_overlay.png,candidate_requires_visual_check,保持选中与悬停独立；关闭选中时清理高亮
lottery_ui_v3/03_states/tab_hover_overlay.png,overlay.tab_hover_overlay,shared/overlay/tab_hover_overlay.png,candidate_requires_visual_check,保持选中与悬停独立；关闭选中时清理高亮
lottery_ui_v3/03_states/entry_hover_underline.png,overlay.entry_hover_underline,shared/overlay/entry_hover_underline.png,candidate_requires_visual_check,保持选中与悬停独立；关闭选中时清理高亮
lottery_ui_v3/03_states/card_outline_normal.png,card.border.normal,shared/card/border/normal.png,candidate_requires_visual_check,只作为独立状态叠层；不得与底板自带边框双重叠加
lottery_ui_v3/03_states/card_outline_hover.png,card.border.hover,shared/card/border/hover.png,candidate_requires_visual_check,只作为独立状态叠层；不得与底板自带边框双重叠加
lottery_ui_v3/03_states/card_outline_pressed.png,card.border.pressed,shared/card/border/pressed.png,candidate_requires_visual_check,只作为独立状态叠层；不得与底板自带边框双重叠加
lottery_ui_v3/03_states/card_outline_disabled.png,card.border.disabled,shared/card/border/disabled.png,candidate_requires_visual_check,只作为独立状态叠层；不得与底板自带边框双重叠加
lottery_ui_v3/03_states/card_outline_selected.png,card.border.selected,shared/card/border/selected.png,candidate_requires_visual_check,只作为独立状态叠层；不得与底板自带边框双重叠加
lottery_ui_v3/03_states/checkbox_checked_normal.png,checkbox.on.normal,shared/checkbox/on/normal.png,candidate_requires_visual_check,checked与off画布不同，统一视觉框后切换
lottery_ui_v3/03_states/checkbox_checked_hover.png,checkbox.on.hover,shared/checkbox/on/hover.png,candidate_requires_visual_check,checked与off画布不同，统一视觉框后切换
lottery_ui_v3/03_states/checkbox_checked_pressed.png,checkbox.on.pressed,shared/checkbox/on/pressed.png,candidate_requires_visual_check,checked与off画布不同，统一视觉框后切换
lottery_ui_v3/03_states/checkbox_checked_disabled.png,checkbox.on.disabled,shared/checkbox/on/disabled.png,candidate_requires_visual_check,checked与off画布不同，统一视觉框后切换
lottery_ui_v3/03_states/ticket_normal.png,icon.ticket,shared/icon/ticket.png,candidate_requires_visual_check,
archive_ui_kit_v1/reusable/toggle_normal.png,nav.toggle.normal,shared/nav/toggle/normal.png,candidate_requires_visual_check,沿用旧存档底板候选；不同态图形边界需固定对齐，不能按各态alpha裁边
archive_ui_kit_v1/reusable/toggle_hover.png,nav.toggle.hover,shared/nav/toggle/hover.png,candidate_requires_visual_check,沿用旧存档底板候选；不同态图形边界需固定对齐，不能按各态alpha裁边
archive_ui_kit_v1/reusable/toggle_selected.png,nav.toggle.selected,shared/nav/toggle/selected.png,candidate_requires_visual_check,沿用旧存档底板候选；不同态图形边界需固定对齐，不能按各态alpha裁边
archive_ui_kit_v1/reusable/badge_progress.png,badge.progress,shared/badge/progress.png,candidate_requires_visual_check,当前/目标与解锁字样由数据渲染，不画进底板
archive_ui_kit_v1/reusable/badge_unlocked.png,badge.unlocked,shared/badge/unlocked.png,candidate_requires_visual_check,当前/目标与解锁字样由数据渲染，不画进底板
archive_ui_kit_v1/reusable/badge_locked.png,badge.locked,shared/badge/locked.png,candidate_requires_visual_check,当前/目标与解锁字样由数据渲染，不画进底板
archive_ui_kit_v1/reusable/card_normal.png,card.body.ivory,shared/card/body/ivory.png,candidate_requires_visual_check,存档卡/商品卡可共用内容底板概念；允许按皮肤选择细框，避免重复叠框
archive_ui_kit_v1/background_tiles/ivory_texture.png,texture.ivory,shared/texture/ivory.png,candidate_requires_visual_check,底纹样本不保证平铺无缝，不可直接铺满大屏
archive_ui_kit_v1/background_tiles/teal_texture.png,texture.teal,shared/texture/teal.png,candidate_requires_visual_check,底纹样本不保证平铺无缝，不可直接铺满大屏
lottery_ui_handoff_v2/assets/scene_clean.png,scene.treasure,page_assets/scene/treasure.png,candidate_requires_visual_check,可共享同主题背景板；宝箱与景观已合成，不能当成独立纯场景/透明宝箱层
roguelike_ui_v1/assets/back.png,roguelike.back,page_assets/roguelike/back.png,candidate_requires_visual_check,卡框与立绘合成、保留深青背景；共用同一张back，暂不强行与方形奖励卡合并
roguelike_ui_v1/assets/combat.png,roguelike.combat,page_assets/roguelike/combat.png,candidate_requires_visual_check,卡框与立绘合成、保留深青背景；共用同一张back，暂不强行与方形奖励卡合并
roguelike_ui_v1/assets/growth.png,roguelike.growth,page_assets/roguelike/growth.png,candidate_requires_visual_check,卡框与立绘合成、保留深青背景；共用同一张back，暂不强行与方形奖励卡合并
roguelike_ui_v1/assets/defense.png,roguelike.defense,page_assets/roguelike/defense.png,candidate_requires_visual_check,卡框与立绘合成、保留深青背景；共用同一张back，暂不强行与方形奖励卡合并
main_hud_exact_v1/02_frames/hero_tl.png,frame.hud.tl,page_assets/frame/hud/tl.png,candidate_requires_visual_check,保留原图像素，但带相邻背景；不是现成任意尺寸透明九宫格
main_hud_exact_v1/02_frames/hero_top.png,frame.hud.top,page_assets/frame/hud/top.png,candidate_requires_visual_check,保留原图像素，但带相邻背景；不是现成任意尺寸透明九宫格
main_hud_exact_v1/02_frames/hero_tr.png,frame.hud.tr,page_assets/frame/hud/tr.png,candidate_requires_visual_check,保留原图像素，但带相邻背景；不是现成任意尺寸透明九宫格
main_hud_exact_v1/02_frames/hero_left.png,frame.hud.left,page_assets/frame/hud/left.png,candidate_requires_visual_check,保留原图像素，但带相邻背景；不是现成任意尺寸透明九宫格
main_hud_exact_v1/02_frames/hero_right.png,frame.hud.right,page_assets/frame/hud/right.png,candidate_requires_visual_check,保留原图像素，但带相邻背景；不是现成任意尺寸透明九宫格
main_hud_exact_v1/02_frames/hero_bl.png,frame.hud.bl,page_assets/frame/hud/bl.png,candidate_requires_visual_check,保留原图像素，但带相邻背景；不是现成任意尺寸透明九宫格
main_hud_exact_v1/02_frames/hero_bottom.png,frame.hud.bottom,page_assets/frame/hud/bottom.png,candidate_requires_visual_check,保留原图像素，但带相邻背景；不是现成任意尺寸透明九宫格
main_hud_exact_v1/02_frames/hero_br.png,frame.hud.br,page_assets/frame/hud/br.png,candidate_requires_visual_check,保留原图像素，但带相邻背景；不是现成任意尺寸透明九宫格
lottery_ui_handoff/icons/close.svg,icon.close,shared/icon/close.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff/icons/pool.svg,icon.pool_details,shared/icon/pool_details.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff/icons/history.svg,icon.history,shared/icon/history.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff/icons/plus.svg,icon.add,shared/icon/add.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff/icons/ticket.svg,icon.ticket,shared/icon/ticket.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff/icons/gift.svg,icon.nav.benefit,shared/icon/nav/benefit.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff/icons/checkbox_off.svg,checkbox.off,shared/checkbox/off.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff/icons/checkbox_on.svg,checkbox.on.normal,shared/checkbox/on/normal.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff/assets/button_ivory.svg,button.ivory.normal,shared/button/ivory/normal.png,replace_with_shared_component,按组件状态选择资源，不只替换normal
lottery_ui_handoff/assets/button_gold.svg,button.gold.normal,shared/button/gold/normal.png,replace_with_shared_component,按组件状态选择资源，不只替换normal
lottery_ui_handoff_v2/icons/close.svg,icon.close,shared/icon/close.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff_v2/icons/pool.svg,icon.pool_details,shared/icon/pool_details.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff_v2/icons/history.svg,icon.history,shared/icon/history.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff_v2/icons/plus.svg,icon.add,shared/icon/add.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff_v2/icons/ticket.svg,icon.ticket,shared/icon/ticket.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff_v2/icons/gift.svg,icon.nav.benefit,shared/icon/nav/benefit.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff_v2/icons/checkbox_off.svg,checkbox.off,shared/checkbox/off.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff_v2/icons/checkbox_on.svg,checkbox.on.normal,shared/checkbox/on/normal.png,replace_semantic_reference_after_visual_check,改引用到共用ID，保留原事件行为；旧SVG不删除
lottery_ui_handoff_v2/assets/button_ivory.svg,button.ivory.normal,shared/button/ivory/normal.png,replace_with_shared_component,按组件状态选择资源，不只替换normal
lottery_ui_handoff_v2/assets/button_gold.svg,button.gold.normal,shared/button/gold/normal.png,replace_with_shared_component,按组件状态选择资源，不只替换normal
lottery_ui_v3/02_rgba_icons/screen_close_normal.png,icon.close,shared/icon/close.png,replace_with_shared_icon_and_state,状态由组件统一控制；动作继续区分close_current与exit_official
lottery_ui_v3/02_rgba_icons/modal_close_normal.png,icon.close,shared/icon/close.png,replace_with_shared_icon_and_state,状态由组件统一控制；动作继续区分close_current与exit_official
lottery_ui_v3/02_rgba_icons/screen_close_hover.png,icon.close,shared/icon/close.png,replace_with_shared_icon_and_state,状态由组件统一控制；动作继续区分close_current与exit_official
lottery_ui_v3/02_rgba_icons/modal_close_hover.png,icon.close,shared/icon/close.png,replace_with_shared_icon_and_state,状态由组件统一控制；动作继续区分close_current与exit_official
lottery_ui_v3/02_rgba_icons/screen_close_pressed.png,icon.close,shared/icon/close.png,replace_with_shared_icon_and_state,状态由组件统一控制；动作继续区分close_current与exit_official
lottery_ui_v3/02_rgba_icons/modal_close_pressed.png,icon.close,shared/icon/close.png,replace_with_shared_icon_and_state,状态由组件统一控制；动作继续区分close_current与exit_official
lottery_ui_v3/02_rgba_icons/screen_close_disabled.png,icon.close,shared/icon/close.png,replace_with_shared_icon_and_state,状态由组件统一控制；动作继续区分close_current与exit_official
lottery_ui_v3/02_rgba_icons/modal_close_disabled.png,icon.close,shared/icon/close.png,replace_with_shared_icon_and_state,状态由组件统一控制；动作继续区分close_current与exit_official
archive_ui_kit_v1/reusable/button_normal.png,button.ivory.normal,shared/button/ivory/normal.png,visual_migration_candidate,更换为统一简化按钮会有材质差异，需一次状态样例验收，不能静默替换
archive_ui_kit_v1/reusable/button_hover.png,button.ivory.hover,shared/button/ivory/hover.png,visual_migration_candidate,更换为统一简化按钮会有材质差异，需一次状态样例验收，不能静默替换
archive_ui_kit_v1/reusable/button_pressed.png,button.ivory.pressed,shared/button/ivory/pressed.png,visual_migration_candidate,更换为统一简化按钮会有材质差异，需一次状态样例验收，不能静默替换
archive_ui_kit_v1/icons_rgba/close_hover.png,icon.close,shared/icon/close.png,shared_normal_plus_state,保留状态效果与点击规则
archive_ui_kit_v1/icons_rgba/close_selected.png,icon.close,shared/icon/close.png,shared_normal_plus_state,保留状态效果与点击规则
archive_ui_kit_v1/icons_rgba/close_disabled.png,icon.close,shared/icon/close.png,shared_normal_plus_state,保留状态效果与点击规则
lottery_ui_handoff/assets/scene_clean.png,scene.treasure,page_assets/scene/treasure.png,identical_bytes_alias,内容SHA256完全一致，只统一资源引用
