archetype_id,display_name,display_group,rank,unit_name,model_path,normal_flying_model_path,team_name,considered_boss,enabled,model_scale,move_speed,attack_range,movement_type,attack_type,passive_skill_ids,notes,health,attack,armor,attack_speed,minimum_armor,model_asset_id,projectile_model,projectile_speed,default_wearable_asset_id
carpet_red_small,小型红色飞毯骑兵,normal,normal,npc_survival_wave_named_carpet_red_small,models/heroes/dark_willow/dark_willow.vmdl,models/heroes/dark_willow/dark_willow.vmdl,DOTA_TEAM_BADGUYS,0,1,0.8,400,450,flying,ranged,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_carpet_red_small
undead_red_mage_large,大型红袍持盾亡灵法师,normal,normal,npc_survival_wave_named_undead_red_mage_large,models/heroes/troll_warlord/troll_warlord.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.25,400,500,ground,ranged,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_undead_red_mage_large
undead_red_mage_small,小型红袍持盾亡灵法师,normal,normal,npc_survival_wave_named_undead_red_mage_small,models/heroes/troll_warlord/troll_warlord.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.8,400,450,ground,ranged,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_undead_red_mage_small
golem_gray_small,小型灰色岩石傀儡,normal,normal,npc_survival_wave_named_golem_gray_small,models/heroes/dark_seer/dark_seer.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.8,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_golem_gray_small
golem_gray_large,大型灰白岩石傀儡,normal,normal,npc_survival_wave_named_golem_gray_large,models/heroes/dark_seer/dark_seer.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.35,400,140,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_golem_gray_large
beast_striped_red,红色条纹野兽近战怪,normal,normal,npc_survival_wave_named_beast_striped_red,models/heroes/dragon_knight/dragon_knight.vmdl,,DOTA_TEAM_BADGUYS,0,1,1,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_beast_striped_red
boss_blade_demon,黑红色翼魔持剑首领,boss,boss,npc_survival_wave_monster,models/heroes/nightstalker/nightstalker.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,216,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_blade_demon
sea_beast_large,大型绿色海兽持三叉戟怪,normal,normal,npc_survival_wave_named_sea_beast_large,models/heroes/siren/siren.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.3,400,150,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_sea_beast_large
sea_beast_small,小型绿色海兽持三叉戟怪,normal,normal,npc_survival_wave_named_sea_beast_small,models/heroes/siren/siren.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.85,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_sea_beast_small
armored_horned_large,大型灰黑重甲角兽人,normal,normal,npc_survival_wave_named_armored_horned_large,models/heroes/axe/axe.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.3,400,150,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_armored_horned_large
armored_horned_small,小型灰黑重甲角兽人,normal,normal,npc_survival_wave_named_armored_horned_small,models/heroes/axe/axe.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.85,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_armored_horned_small
dragon_black_red_large,大型黑紫红翼飞龙,normal,normal,npc_survival_wave_named_dragon_black_red_large,models/heroes/winterwyvern/winterwyvern.vmdl,models/heroes/winterwyvern/winterwyvern.vmdl,DOTA_TEAM_BADGUYS,0,1,1.45,400,180,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_dragon_black_red_large
dragon_black_red_small,小型黑紫红翼飞龙,normal,normal,npc_survival_wave_named_dragon_black_red_small,models/heroes/winterwyvern/winterwyvern.vmdl,models/heroes/winterwyvern/winterwyvern.vmdl,DOTA_TEAM_BADGUYS,0,1,0.9,400,160,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_dragon_black_red_small
stitcher_large,大型缝合屠夫怪,normal,normal,npc_survival_wave_named_stitcher_large,models/heroes/pudge/pudge.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.35,400,180,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_stitcher_large
stitcher_small,小型缝合屠夫怪,normal,normal,npc_survival_wave_named_stitcher_small,models/heroes/pudge/pudge.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.85,400,150,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_stitcher_small
humanoid_red_sword,红甲持剑人形近战怪,normal,normal,npc_survival_wave_named_humanoid_red_sword,models/heroes/juggernaut/juggernaut.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.95,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_default_juggernaut
flying_black_bone,黑红骨翼飞行怪,normal,normal,npc_survival_wave_named_flying_black_bone,models/heroes/visage/visage.vmdl,models/heroes/visage/visage.vmdl,DOTA_TEAM_BADGUYS,0,1,0.9,400,180,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_flying_black_bone
golem_green_fire,绿色火焰岩石傀儡,normal,normal,npc_survival_wave_named_golem_green_fire,models/heroes/necrolyte/necrolyte.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.1,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_golem_green_fire
boss_twinblade_demon,大型黑紫色翼魔持双刃首领,boss,boss,npc_survival_wave_monster,models/heroes/terrorblade/terrorblade_arcana.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.6,400,236,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_twinblade_demon
rebirth_boss_01,挑战1转,boss,boss,npc_survival_named_rebirth_boss_01,models/heroes/undying/undying.vmdl,,DOTA_TEAM_BADGUYS,1,1,2,400,236,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,300000,7200,70,1.2,,,,,monster_boss_rebirth_01_phalanx
rebirth_boss_02,挑战2转,boss,boss,npc_survival_named_rebirth_boss_02,models/heroes/blood_seeker/blood_seeker.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.4,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,1000000,36000,100,1.3,,,,,monster_boss_rebirth_02_bloodforge
rebirth_boss_03,挑战3转,boss,boss,npc_survival_named_rebirth_boss_03,models/heroes/dragon_knight/dragon_knight.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.4,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,6566400,117600,130,1.4,,,,,monster_boss_rebirth_03_silverwurm
rebirth_boss_04,挑战4转,boss,boss,npc_survival_named_rebirth_boss_04,models/heroes/sven/sven.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.45,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,20209920,383040,160,1.5,,,,,monster_boss_rebirth_04_stormwrought
rebirth_boss_05,挑战5转,boss,boss,npc_survival_named_rebirth_boss_05,models/heroes/bane/bane.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.45,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,40391040,924480,190,1.6,,,,,monster_boss_rebirth_05_lucid_torment
rebirth_boss_06,挑战6转,boss,boss,npc_survival_named_rebirth_boss_06,models/heroes/life_stealer/life_stealer.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,80391040,2400000,220,1.7,,,,,monster_boss_rebirth_06_obsidian_atrocity
rebirth_boss_07,挑战7转,boss,boss,npc_survival_named_rebirth_boss_07,models/heroes/dark_willow/dark_willow.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,216,flying,melee,,临时测试数值：根据N1强度曲线推导，待平衡,160400000,6048480,250,1.8,,,,,monster_boss_rebirth_07_fairy_godmummer
rebirth_boss_08,挑战8转,boss,boss,npc_survival_named_rebirth_boss_08,models/heroes/grimstroke/grimstroke.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.55,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,320400000,18048480,280,1.9,,,,,monster_boss_rebirth_08_reaper_elegy
rebirth_boss_09,挑战9转,boss,boss,npc_survival_named_rebirth_boss_09,models/items/spectre/spectre_arcana/spectre_arcana_base.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.55,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,440400000,30048480,310,2,,,,,monster_boss_rebirth_09_phantom_advent
rebirth_boss_10,挑战10转,boss,boss,npc_survival_named_rebirth_boss_10,models/heroes/doom/doom.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.65,400,236,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,840400000,44448476,340,2,,,,,monster_boss_rebirth_10_darkness_foretold
ten_sin_01,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_01,models/heroes/necrolyte/necrolyte.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.45,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,2000010,130002,719,2,,,,,monster_boss_ten_sin_01_murid_divine
ten_sin_02,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_02,models/heroes/rikimaru/rikimaru.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.45,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,3000010,145002,799,2,,,,,monster_boss_ten_sin_02_howling_wilds
ten_sin_03,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_03,models/heroes/alchemist/alchemist.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,216,flying,melee,,临时测试数值：根据N1强度曲线推导，待平衡,4000010,160002,879,2,,,,,monster_boss_ten_sin_03_potion_radiance_midas
ten_sin_04,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_04,models/heroes/morphling/morphling.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,216,flying,melee,,临时测试数值：根据N1强度曲线推导，待平衡,5000010,175002,959,2,,,,,monster_boss_ten_sin_04_tears
ten_sin_05,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_05,models/heroes/ursa/ursa.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,6000010,190002,1039,2,,,,,monster_boss_ten_sin_05_feast_damned
ten_sin_06,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_06,models/items/pudge/arcana/pudge_arcana_base.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.55,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,7000010,205002,1119,2,,,,,monster_boss_ten_sin_06_abscession
ten_sin_07,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_07,models/items/wraith_king/arcana/wraith_king_arcana.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.55,400,216,ground,melee,,临时测试数值：根据N1强度曲线推导，待平衡,8000010,220002,1197,2,,,,,monster_boss_ten_sin_07_one_true_king
ten_sin_08,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_08,models/heroes/rubick/rubick.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,536,ground,ranged,,临时测试数值：根据N1强度曲线推导，待平衡,9000010,235002,1279,2,,,,,monster_boss_ten_sin_08_impossible_realm
ten_sin_09,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_09,models/items/queenofpain/queenofpain_arcana/queenofpain_arcana.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.6,400,216,flying,melee,,临时测试数值：根据N1强度曲线推导，待平衡,10000010,250002,1359,2,,,,,monster_boss_ten_sin_09_eminence_ristul
ten_sin_10,进入罪渊（十宗罪）,boss,boss,npc_survival_named_ten_sin_10,models/heroes/mars/mars.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.7,400,236,flying,melee,,临时测试数值：根据N1强度曲线推导，待平衡,11000010,275002,1439,2,,,,,monster_boss_ten_sin_10_worldsend
seven_sins_minion,七宗罪小怪,challenge,elite,npc_survival_wave_monster,models/heroes/ursa/ursa.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.15,400,196,ground,melee,,七宗罪副本专用小怪；场内维持10只，死亡后重新刷新。,18209920,1200000,400,1.5,,,,,
challenge_05_beastmaster,挑战合成宝石,challenge,boss,npc_survival_named_challenge_05_beastmaster,models/heroes/beastmaster/beastmaster.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,236,ground,melee,,挑战05专用Beastmaster与Legacy of a Lost Age外观；战斗数值由成员的combat_archetype_id提供。,,,,,,challenge_monster_beastmaster_legacy,,,
challenge_06_morphling,进入冰霜之地,challenge,elite,npc_survival_named_challenge_06_morphling,models/heroes/morphling/morphling.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.25,400,536,ground,ranged,,挑战06专用Morphling与原生普通攻击弹道；战斗数值由成员的combat_archetype_id提供。,,,,,,challenge_monster_morphling,particles/units/heroes/hero_morphling/morphling_base_attack.vpcf,1300,
challenge_07_ember_spirit,挑战熔火核心lv1-3宝石,challenge,elite,npc_survival_named_challenge_07_ember_spirit,models/heroes/ember_spirit/ember_spirit.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.1,400,164,ground,melee,,挑战07专用Ember Spirit与Master of the Searing Path外观；战斗数值由成员的combat_archetype_id提供。,,,,,,challenge_monster_ember_searing_path,,,
challenge_08_primal_beast_svarog,挑战熔火核心lv4宝石,challenge,boss,npc_survival_named_challenge_08_primal_beast_svarog,models/heroes/primal_beast/primal_beast_base.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,164,ground,melee,,挑战08专用Primal Beast与Svarog the Infernal外观；战斗数值由成员的combat_archetype_id提供。,,,,,,challenge_monster_primal_beast_svarog,,,
challenge_09_spectre,挑战冰烬挽歌,challenge,boss,npc_survival_named_challenge_09_spectre,models/items/spectre/spectre_arcana/spectre_arcana_base.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.6,400,236,ground,melee,,挑战09专用Spectre与Phantom Advent外观；战斗数值由成员的combat_archetype_id提供。,,,,,,challenge_monster_spectre_phantom_advent,,,
challenge_10_terrorblade_fractal,进入七宗罪,challenge,elite,npc_survival_named_challenge_10_terrorblade_fractal,models/heroes/terrorblade/terrorblade_arcana.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.15,400,196,ground,melee,,挑战10专用Terrorblade与Fractal Horns of Inner Abysm外观；战斗数值保留当前七宗罪原型。,,,,,,challenge_monster_terrorblade_fractal_horns,,,

practice_wood_spirit,木头精,normal,normal,npc_survival_named_practice_wood_spirit,models/heroes/undying/undying.vmdl,,DOTA_TEAM_BADGUYS,0,1,1,400,128,ground,melee,,木材练功房采用N1第1波数值,200,2,2,1,,,,,
practice_gold_spirit,金币精,normal,normal,npc_survival_named_practice_gold_spirit,models/heroes/axe/axe.vmdl,,DOTA_TEAM_BADGUYS,0,1,1,400,128,ground,melee,,金币练功房采用N1第2波数值,300,4,3,1,,,,,monster_wave_humanoid_red_axe
practice_attribute_spirit,属性精,normal,normal,npc_survival_named_practice_attribute_spirit,models/heroes/clinkz/clinkz.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.9,400,128,ground,melee,,属性练功房采用N1第3波数值,600,18,4,1,,,,,monster_wave_skeleton_melee
practice_greater_attribute_spirit,大属性精,normal,normal,npc_survival_named_practice_greater_attribute_spirit,models/heroes/beastmaster/beastmaster.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.35,400,150,ground,melee,,大属性练功房采用N1第4波数值,10000,242,19,1.2,,,,,monster_wave_orc_large_melee
boss_dreadlord_wave_name_5,波次5BOSS,boss,boss,npc_survival_wave_named_boss_dreadlord_wave_name_5,models/heroes/abyssal_underlord/abyssal_underlord_v2.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,236,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_dreadlord
boss_dreadlord_wave_name_10,波次10BOSS,boss,boss,npc_survival_wave_named_boss_dreadlord_wave_name_10,models/heroes/abyssal_underlord/abyssal_underlord_v2.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,236,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_dreadlord
boss_twinblade_demon_wave_name_15,波次15BOSS,boss,boss,npc_survival_wave_named_boss_twinblade_demon_wave_name_15,models/heroes/terrorblade/terrorblade_arcana.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.6,400,236,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_twinblade_demon
boss_blade_demon_wave_name_20,波次20BOSS,boss,boss,npc_survival_wave_named_boss_blade_demon_wave_name_20,models/heroes/nightstalker/nightstalker.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,216,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_blade_demon
boss_twinblade_demon_wave_name_25,波次25BOSS,boss,boss,npc_survival_wave_named_boss_twinblade_demon_wave_name_25,models/heroes/terrorblade/terrorblade_arcana.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.6,400,236,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_twinblade_demon
boss_twinblade_demon_wave_name_30,波次30BOSS,boss,boss,npc_survival_wave_named_boss_twinblade_demon_wave_name_30,models/heroes/terrorblade/terrorblade_arcana.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.6,400,236,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_twinblade_demon
