technology_id,technology_group,display_name,technology_track,technology_phase,unlock_technology_group,unlock_required_level,level,max_level,gold_cost,wood_cost,value_per_level,visible_condition,prerequisite_id,effect_type,effect_value,enabled,review_status,notes,shop_enabled,shop_category_id,shop_sort_order,required_city_level,requires_vip,requires_hero_summoned,required_rebirth_level,requires_building_id,requires_content_id,purchase_limit,disabled_reason_text,grant_type,icon_name,encounter_id
tech_gold_mine_efficiency_09,gold_mine_efficiency,金矿采集效率 Lv.9,gold_mine,0,,0,9,50,0,180000,5,gold_mine_built==true,tech_gold_mine_efficiency_08,mine_efficiency_percent,45,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,17,0,0,0,0,gold_mine,tech_gold_mine_efficiency_08,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_10,gold_mine_efficiency,金矿采集效率 Lv.10,gold_mine,0,,0,10,50,0,200000,5,gold_mine_built==true,tech_gold_mine_efficiency_09,mine_efficiency_percent,50,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,19,0,0,0,0,gold_mine,tech_gold_mine_efficiency_09,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_11,gold_mine_efficiency,金矿采集效率 Lv.11,gold_mine,0,,0,11,50,0,220000,5,gold_mine_built==true,tech_gold_mine_efficiency_10,mine_efficiency_percent,55,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,21,0,0,0,0,gold_mine,tech_gold_mine_efficiency_10,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_12,gold_mine_efficiency,金矿采集效率 Lv.12,gold_mine,0,,0,12,50,0,240000,5,gold_mine_built==true,tech_gold_mine_efficiency_11,mine_efficiency_percent,60,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,23,0,0,0,0,gold_mine,tech_gold_mine_efficiency_11,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_13,gold_mine_efficiency,金矿采集效率 Lv.13,gold_mine,0,,0,13,50,0,260000,5,gold_mine_built==true,tech_gold_mine_efficiency_12,mine_efficiency_percent,65,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,25,0,0,0,0,gold_mine,tech_gold_mine_efficiency_12,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_14,gold_mine_efficiency,金矿采集效率 Lv.14,gold_mine,0,,0,14,50,0,280000,5,gold_mine_built==true,tech_gold_mine_efficiency_13,mine_efficiency_percent,70,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,27,0,0,0,0,gold_mine,tech_gold_mine_efficiency_13,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_15,gold_mine_efficiency,金矿采集效率 Lv.15,gold_mine,0,,0,15,50,0,300000,5,gold_mine_built==true,tech_gold_mine_efficiency_14,mine_efficiency_percent,75,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,29,0,0,0,0,gold_mine,tech_gold_mine_efficiency_14,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_16,gold_mine_efficiency,金矿采集效率 Lv.16,gold_mine,0,,0,16,50,0,320000,5,gold_mine_built==true,tech_gold_mine_efficiency_15,mine_efficiency_percent,80,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,31,0,0,0,0,gold_mine,tech_gold_mine_efficiency_15,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_17,gold_mine_efficiency,金矿采集效率 Lv.17,gold_mine,0,,0,17,50,0,340000,5,gold_mine_built==true,tech_gold_mine_efficiency_16,mine_efficiency_percent,85,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,33,0,0,0,0,gold_mine,tech_gold_mine_efficiency_16,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_18,gold_mine_efficiency,金矿采集效率 Lv.18,gold_mine,0,,0,18,50,0,360000,5,gold_mine_built==true,tech_gold_mine_efficiency_17,mine_efficiency_percent,90,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,35,0,0,0,0,gold_mine,tech_gold_mine_efficiency_17,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_19,gold_mine_efficiency,金矿采集效率 Lv.19,gold_mine,0,,0,19,50,0,380000,5,gold_mine_built==true,tech_gold_mine_efficiency_18,mine_efficiency_percent,95,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,37,0,0,0,0,gold_mine,tech_gold_mine_efficiency_18,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_20,gold_mine_efficiency,金矿采集效率 Lv.20,gold_mine,0,,0,20,50,0,400000,5,gold_mine_built==true,tech_gold_mine_efficiency_19,mine_efficiency_percent,100,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,39,0,0,0,0,gold_mine,tech_gold_mine_efficiency_19,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_21,gold_mine_efficiency,金矿采集效率 Lv.21,gold_mine,0,,0,21,50,0,420000,5,gold_mine_built==true,tech_gold_mine_efficiency_20,mine_efficiency_percent,105,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,41,0,0,0,0,gold_mine,tech_gold_mine_efficiency_20,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_22,gold_mine_efficiency,金矿采集效率 Lv.22,gold_mine,0,,0,22,50,0,440000,5,gold_mine_built==true,tech_gold_mine_efficiency_21,mine_efficiency_percent,110,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,43,0,0,0,0,gold_mine,tech_gold_mine_efficiency_21,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_23,gold_mine_efficiency,金矿采集效率 Lv.23,gold_mine,0,,0,23,50,0,460000,5,gold_mine_built==true,tech_gold_mine_efficiency_22,mine_efficiency_percent,115,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,45,0,0,0,0,gold_mine,tech_gold_mine_efficiency_22,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_24,gold_mine_efficiency,金矿采集效率 Lv.24,gold_mine,0,,0,24,50,0,480000,5,gold_mine_built==true,tech_gold_mine_efficiency_23,mine_efficiency_percent,120,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,47,0,0,0,0,gold_mine,tech_gold_mine_efficiency_23,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_25,gold_mine_efficiency,金矿采集效率 Lv.25,gold_mine,0,,0,25,50,0,500000,5,gold_mine_built==true,tech_gold_mine_efficiency_24,mine_efficiency_percent,125,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,49,0,0,0,0,gold_mine,tech_gold_mine_efficiency_24,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_26,gold_mine_efficiency,金矿采集效率 Lv.26,gold_mine,0,,0,26,50,0,520000,5,gold_mine_built==true,tech_gold_mine_efficiency_25,mine_efficiency_percent,130,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,51,0,0,0,0,gold_mine,tech_gold_mine_efficiency_25,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_27,gold_mine_efficiency,金矿采集效率 Lv.27,gold_mine,0,,0,27,50,0,540000,5,gold_mine_built==true,tech_gold_mine_efficiency_26,mine_efficiency_percent,135,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,53,0,0,0,0,gold_mine,tech_gold_mine_efficiency_26,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_28,gold_mine_efficiency,金矿采集效率 Lv.28,gold_mine,0,,0,28,50,0,560000,5,gold_mine_built==true,tech_gold_mine_efficiency_27,mine_efficiency_percent,140,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,55,0,0,0,0,gold_mine,tech_gold_mine_efficiency_27,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_29,gold_mine_efficiency,金矿采集效率 Lv.29,gold_mine,0,,0,29,50,0,580000,5,gold_mine_built==true,tech_gold_mine_efficiency_28,mine_efficiency_percent,145,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,57,0,0,0,0,gold_mine,tech_gold_mine_efficiency_28,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_30,gold_mine_efficiency,金矿采集效率 Lv.30,gold_mine,0,,0,30,50,0,600000,5,gold_mine_built==true,tech_gold_mine_efficiency_29,mine_efficiency_percent,150,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,59,0,0,0,0,gold_mine,tech_gold_mine_efficiency_29,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_31,gold_mine_efficiency,金矿采集效率 Lv.31,gold_mine,0,,0,31,50,0,620000,5,gold_mine_built==true,tech_gold_mine_efficiency_30,mine_efficiency_percent,155,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,61,0,0,0,0,gold_mine,tech_gold_mine_efficiency_30,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_32,gold_mine_efficiency,金矿采集效率 Lv.32,gold_mine,0,,0,32,50,0,640000,5,gold_mine_built==true,tech_gold_mine_efficiency_31,mine_efficiency_percent,160,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,63,0,0,0,0,gold_mine,tech_gold_mine_efficiency_31,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_33,gold_mine_efficiency,金矿采集效率 Lv.33,gold_mine,0,,0,33,50,0,660000,5,gold_mine_built==true,tech_gold_mine_efficiency_32,mine_efficiency_percent,165,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,65,0,0,0,0,gold_mine,tech_gold_mine_efficiency_32,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_34,gold_mine_efficiency,金矿采集效率 Lv.34,gold_mine,0,,0,34,50,0,680000,5,gold_mine_built==true,tech_gold_mine_efficiency_33,mine_efficiency_percent,170,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,67,0,0,0,0,gold_mine,tech_gold_mine_efficiency_33,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_35,gold_mine_efficiency,金矿采集效率 Lv.35,gold_mine,0,,0,35,50,0,700000,5,gold_mine_built==true,tech_gold_mine_efficiency_34,mine_efficiency_percent,175,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,69,0,0,0,0,gold_mine,tech_gold_mine_efficiency_34,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_36,gold_mine_efficiency,金矿采集效率 Lv.36,gold_mine,0,,0,36,50,0,720000,5,gold_mine_built==true,tech_gold_mine_efficiency_35,mine_efficiency_percent,180,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,71,0,0,0,0,gold_mine,tech_gold_mine_efficiency_35,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_37,gold_mine_efficiency,金矿采集效率 Lv.37,gold_mine,0,,0,37,50,0,740000,5,gold_mine_built==true,tech_gold_mine_efficiency_36,mine_efficiency_percent,185,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,73,0,0,0,0,gold_mine,tech_gold_mine_efficiency_36,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_38,gold_mine_efficiency,金矿采集效率 Lv.38,gold_mine,0,,0,38,50,0,760000,5,gold_mine_built==true,tech_gold_mine_efficiency_37,mine_efficiency_percent,190,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,75,0,0,0,0,gold_mine,tech_gold_mine_efficiency_37,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_39,gold_mine_efficiency,金矿采集效率 Lv.39,gold_mine,0,,0,39,50,0,780000,5,gold_mine_built==true,tech_gold_mine_efficiency_38,mine_efficiency_percent,195,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,77,0,0,0,0,gold_mine,tech_gold_mine_efficiency_38,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_40,gold_mine_efficiency,金矿采集效率 Lv.40,gold_mine,0,,0,40,50,0,800000,5,gold_mine_built==true,tech_gold_mine_efficiency_39,mine_efficiency_percent,200,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,79,0,0,0,0,gold_mine,tech_gold_mine_efficiency_39,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_41,gold_mine_efficiency,金矿采集效率 Lv.41,gold_mine,0,,0,41,50,0,820000,5,gold_mine_built==true,tech_gold_mine_efficiency_40,mine_efficiency_percent,205,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,81,0,0,0,0,gold_mine,tech_gold_mine_efficiency_40,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_42,gold_mine_efficiency,金矿采集效率 Lv.42,gold_mine,0,,0,42,50,0,840000,5,gold_mine_built==true,tech_gold_mine_efficiency_41,mine_efficiency_percent,210,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,83,0,0,0,0,gold_mine,tech_gold_mine_efficiency_41,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_43,gold_mine_efficiency,金矿采集效率 Lv.43,gold_mine,0,,0,43,50,0,860000,5,gold_mine_built==true,tech_gold_mine_efficiency_42,mine_efficiency_percent,215,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,85,0,0,0,0,gold_mine,tech_gold_mine_efficiency_42,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_44,gold_mine_efficiency,金矿采集效率 Lv.44,gold_mine,0,,0,44,50,0,880000,5,gold_mine_built==true,tech_gold_mine_efficiency_43,mine_efficiency_percent,220,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,87,0,0,0,0,gold_mine,tech_gold_mine_efficiency_43,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_45,gold_mine_efficiency,金矿采集效率 Lv.45,gold_mine,0,,0,45,50,0,900000,5,gold_mine_built==true,tech_gold_mine_efficiency_44,mine_efficiency_percent,225,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,89,0,0,0,0,gold_mine,tech_gold_mine_efficiency_44,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_46,gold_mine_efficiency,金矿采集效率 Lv.46,gold_mine,0,,0,46,50,0,920000,5,gold_mine_built==true,tech_gold_mine_efficiency_45,mine_efficiency_percent,230,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,91,0,0,0,0,gold_mine,tech_gold_mine_efficiency_45,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_47,gold_mine_efficiency,金矿采集效率 Lv.47,gold_mine,0,,0,47,50,0,940000,5,gold_mine_built==true,tech_gold_mine_efficiency_46,mine_efficiency_percent,235,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,93,0,0,0,0,gold_mine,tech_gold_mine_efficiency_46,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_48,gold_mine_efficiency,金矿采集效率 Lv.48,gold_mine,0,,0,48,50,0,960000,5,gold_mine_built==true,tech_gold_mine_efficiency_47,mine_efficiency_percent,240,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,95,0,0,0,0,gold_mine,tech_gold_mine_efficiency_47,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_49,gold_mine_efficiency,金矿采集效率 Lv.49,gold_mine,0,,0,49,50,0,980000,5,gold_mine_built==true,tech_gold_mine_efficiency_48,mine_efficiency_percent,245,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,97,0,0,0,0,gold_mine,tech_gold_mine_efficiency_48,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_50,gold_mine_efficiency,金矿采集效率 Lv.50,gold_mine,0,,0,50,50,0,1000000,5,gold_mine_built==true,tech_gold_mine_efficiency_49,mine_efficiency_percent,250,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,99,0,0,0,0,gold_mine,tech_gold_mine_efficiency_49,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_01,gold_mine_crit,金矿暴击率 Lv.1,gold_mine,0,,0,1,10,2000,0,3,gold_mine_built==true,,mine_crit_percent,3,1,ok,金矿采集暴击率每级提高3%。,1,technology,2,0,0,0,0,gold_mine,,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_02,gold_mine_crit,金矿暴击率 Lv.2,gold_mine,0,,0,2,10,12000,0,3,gold_mine_built==true,tech_gold_mine_crit_01,mine_crit_percent,6,1,ok,金矿采集暴击率每级提高3%。,1,technology,4,0,0,0,0,gold_mine,tech_gold_mine_crit_01,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_03,gold_mine_crit,金矿暴击率 Lv.3,gold_mine,0,,0,3,10,22000,0,3,gold_mine_built==true,tech_gold_mine_crit_02,mine_crit_percent,9,1,ok,金矿采集暴击率每级提高3%。,1,technology,6,0,0,0,0,gold_mine,tech_gold_mine_crit_02,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_04,gold_mine_crit,金矿暴击率 Lv.4,gold_mine,0,,0,4,10,32000,0,3,gold_mine_built==true,tech_gold_mine_crit_03,mine_crit_percent,12,1,ok,金矿采集暴击率每级提高3%。,1,technology,8,0,0,0,0,gold_mine,tech_gold_mine_crit_03,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_05,gold_mine_crit,金矿暴击率 Lv.5,gold_mine,0,,0,5,10,42000,0,3,gold_mine_built==true,tech_gold_mine_crit_04,mine_crit_percent,15,1,ok,金矿采集暴击率每级提高3%。,1,technology,10,0,0,0,0,gold_mine,tech_gold_mine_crit_04,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_06,gold_mine_crit,金矿暴击率 Lv.6,gold_mine,0,,0,6,10,52000,0,3,gold_mine_built==true,tech_gold_mine_crit_05,mine_crit_percent,18,1,ok,金矿采集暴击率每级提高3%。,1,technology,12,0,0,0,0,gold_mine,tech_gold_mine_crit_05,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_07,gold_mine_crit,金矿暴击率 Lv.7,gold_mine,0,,0,7,10,62000,0,3,gold_mine_built==true,tech_gold_mine_crit_06,mine_crit_percent,21,1,ok,金矿采集暴击率每级提高3%。,1,technology,14,0,0,0,0,gold_mine,tech_gold_mine_crit_06,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_08,gold_mine_crit,金矿暴击率 Lv.8,gold_mine,0,,0,8,10,72000,0,3,gold_mine_built==true,tech_gold_mine_crit_07,mine_crit_percent,24,1,ok,金矿采集暴击率每级提高3%。,1,technology,16,0,0,0,0,gold_mine,tech_gold_mine_crit_07,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_09,gold_mine_crit,金矿暴击率 Lv.9,gold_mine,0,,0,9,10,82000,0,3,gold_mine_built==true,tech_gold_mine_crit_08,mine_crit_percent,27,1,ok,金矿采集暴击率每级提高3%。,1,technology,18,0,0,0,0,gold_mine,tech_gold_mine_crit_08,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_crit_10,gold_mine_crit,金矿暴击率 Lv.10,gold_mine,0,,0,10,10,92000,0,3,gold_mine_built==true,tech_gold_mine_crit_09,mine_crit_percent,30,1,ok,金矿采集暴击率每级提高3%。,1,technology,20,0,0,0,0,gold_mine,tech_gold_mine_crit_09,1,,technology_level,alchemist_goblins_greed,
lumberjack_speed_01,lumberjack_speed,伐木工速度 Lv.1,basic,1,,0,1,10,0,200,5,,,lumberjack_attack_speed_pct,5,1,ok,所有伐木工攻速每级提高5%。,1,technology,101,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_02,lumberjack_speed,伐木工速度 Lv.2,basic,1,,0,2,10,0,600,5,,,lumberjack_attack_speed_pct,10,1,ok,所有伐木工攻速每级提高5%。,1,technology,102,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_03,lumberjack_speed,伐木工速度 Lv.3,basic,1,,0,3,10,0,1000,5,,,lumberjack_attack_speed_pct,15,1,ok,所有伐木工攻速每级提高5%。,1,technology,103,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_04,lumberjack_speed,伐木工速度 Lv.4,basic,1,,0,4,10,0,1400,5,,,lumberjack_attack_speed_pct,20,1,ok,所有伐木工攻速每级提高5%。,1,technology,104,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_05,lumberjack_speed,伐木工速度 Lv.5,basic,1,,0,5,10,0,1800,5,,,lumberjack_attack_speed_pct,25,1,ok,所有伐木工攻速每级提高5%。,1,technology,105,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_06,lumberjack_speed,伐木工速度 Lv.6,basic,1,,0,6,10,0,2200,5,,,lumberjack_attack_speed_pct,30,1,ok,所有伐木工攻速每级提高5%。,1,technology,106,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_07,lumberjack_speed,伐木工速度 Lv.7,basic,1,,0,7,10,0,2600,5,,,lumberjack_attack_speed_pct,35,1,ok,所有伐木工攻速每级提高5%。,1,technology,107,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_08,lumberjack_speed,伐木工速度 Lv.8,basic,1,,0,8,10,0,3000,5,,,lumberjack_attack_speed_pct,40,1,ok,所有伐木工攻速每级提高5%。,1,technology,108,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_09,lumberjack_speed,伐木工速度 Lv.9,basic,1,,0,9,10,0,3400,5,,,lumberjack_attack_speed_pct,45,1,ok,所有伐木工攻速每级提高5%。,1,technology,109,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_speed_10,lumberjack_speed,伐木工速度 Lv.10,basic,1,,0,10,10,0,3800,5,,,lumberjack_attack_speed_pct,50,1,ok,所有伐木工攻速每级提高5%。,1,technology,110,1,0,0,0,,,0,,technology_level,ability_train_lumberjack,
lumberjack_crit_lv1,lumberjack_crit,伐木工暴击,basic,1,,0,1,10,0,500,3,,,lumberjack_critical_chance_pct,3,1,ok,所有伐木工暴击率每级提高3%。,1,technology,131,1,0,0,0,,,0,,technology_level,,
lumberjack_crit_lv2,lumberjack_crit,伐木工暴击,basic,1,,0,2,10,2000,5500,3,,,lumberjack_critical_chance_pct,6,1,ok,所有伐木工暴击率每级提高3%。,1,technology,132,1,0,0,0,,,0,,technology_level,,
lumberjack_crit_lv3,lumberjack_crit,伐木工暴击,basic,1,,0,3,10,4000,10500,3,,,lumberjack_critical_chance_pct,9,1,ok,所有伐木工暴击率每级提高3%。,1,technology,133,1,0,0,0,,,0,,technology_level,,
lumberjack_crit_lv4,lumberjack_crit,伐木工暴击,basic,1,,0,4,10,6000,15500,3,,,lumberjack_critical_chance_pct,12,1,ok,所有伐木工暴击率每级提高3%。,1,technology,134,1,0,0,0,,,0,,technology_level,,
lumberjack_crit_lv5,lumberjack_crit,伐木工暴击,basic,1,,0,5,10,8000,20500,3,,,lumberjack_critical_chance_pct,15,1,ok,所有伐木工暴击率每级提高3%。,1,technology,135,1,0,0,0,,,0,,technology_level,,
lumberjack_crit_lv6,lumberjack_crit,伐木工暴击,basic,1,,0,6,10,10000,25500,3,,,lumberjack_critical_chance_pct,18,1,ok,所有伐木工暴击率每级提高3%。,1,technology,136,1,0,0,0,,,0,,technology_level,,
