visual_id,building_id,level,model_name,model_scale,model_yaw,enabled,notes
gold_mine_visual_lv20,building_gold_mine,20,models/survival_buildings/gold_mine_lv07.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv21,building_gold_mine,21,models/survival_buildings/gold_mine_lv07.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv22,building_gold_mine,22,models/survival_buildings/gold_mine_lv08.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv23,building_gold_mine,23,models/survival_buildings/gold_mine_lv08.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv24,building_gold_mine,24,models/survival_buildings/gold_mine_lv08.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv25,building_gold_mine,25,models/survival_buildings/gold_mine_lv09.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv26,building_gold_mine,26,models/survival_buildings/gold_mine_lv09.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv27,building_gold_mine,27,models/survival_buildings/gold_mine_lv09.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv28,building_gold_mine,28,models/survival_buildings/gold_mine_lv10.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv29,building_gold_mine,29,models/survival_buildings/gold_mine_lv10.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv30,building_gold_mine,30,models/survival_buildings/gold_mine_lv10.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
