effect_key,asset_id,effect_group_id,effect_id,effect_role,skill_id,phase,particle_path,owner_component_id,attach_type,attachment_point,control_profile,delay_seconds,sort_order,enabled,notes
tower_multi_vengeful_shen_screeauk:ambient_shoulders,tower_multi_vengeful_shen_screeauk,ambient,ambient_shoulders,ambient,,persistent,particles/econ/items/vengeful/vengeful_arcana/vengeful_arcana_ambient_wings_v2.vpcf,shoulders,PATTACH_ABSORIGIN_FOLLOW,,,,1,1,Servants of Scree'Auk 翅膀常驻特效。
tower_multi_vengeful_shen_screeauk:ambient_head,tower_multi_vengeful_shen_screeauk,ambient,ambient_head,ambient,,persistent,particles/econ/items/vengeful/vengeful_arcana/vengeful_arcana_ambient_v2_head.vpcf,head,PATTACH_ABSORIGIN_FOLLOW,,,,2,1,Servants of Scree'Auk 头部常驻特效。
tower_multi_vengeful_shen_screeauk:ambient_weapon,tower_multi_vengeful_shen_screeauk,ambient,ambient_weapon,ambient,,persistent,particles/econ/items/vengeful/vengeful_arcana/vengeful_arcana_weapon_ambient_v2.vpcf,weapon,PATTACH_ABSORIGIN_FOLLOW,,,,3,1,Servants of Scree'Auk 武器常驻特效。
tower_zuus:lightning_strike_lv01:chain,tower_zuus,lightning_strike_lv01,chain,skill_chain,lightning_strike_lv01,travel,particles/units/heroes/hero_zuus/zuus_arc_lightning.vpcf,,PATTACH_CUSTOMORIGIN,,source_target,,1,1,闪电塔连锁闪电LV1。
tower_zuus:lightning_strike_lv02:chain,tower_zuus,lightning_strike_lv02,chain,skill_chain,lightning_strike_lv02,travel,particles/units/heroes/hero_zuus/zuus_arc_lightning.vpcf,,PATTACH_CUSTOMORIGIN,,source_target,,1,1,闪电塔连锁闪电LV2。
tower_zuus:lightning_strike_lv03:chain,tower_zuus,lightning_strike_lv03,chain,skill_chain,lightning_strike_lv03,travel,particles/units/heroes/hero_zuus/zuus_arc_lightning.vpcf,,PATTACH_CUSTOMORIGIN,,source_target,,1,1,闪电塔连锁闪电LV3。
tower_zuus:lightning_strike_lv04:chain,tower_zuus,lightning_strike_lv04,chain,skill_chain,lightning_strike_lv04,travel,particles/units/heroes/hero_zuus/zuus_arc_lightning.vpcf,,PATTACH_CUSTOMORIGIN,,source_target,,1,1,闪电塔连锁闪电LV4。
tower_zuus:lightning_strike_lv05:chain,tower_zuus,lightning_strike_lv05,chain,skill_chain,lightning_strike_lv05,travel,particles/units/heroes/hero_zuus/zuus_arc_lightning.vpcf,,PATTACH_CUSTOMORIGIN,,source_target,,1,1,闪电塔连锁闪电LV5。
tower_zuus:lightning_storm_lv01:cloud,tower_zuus,lightning_storm_lv01,cloud,skill_persistent,lightning_storm_lv01,persistent,particles/units/heroes/hero_zuus/zuus_cloud.vpcf,,PATTACH_WORLDORIGIN,,storm_radius,,1,1,闪电魔塔LV1雷暴云。
tower_zuus:lightning_storm_lv01:strike,tower_zuus,lightning_storm_lv01,strike,skill_strike,lightning_storm_lv01,tick,particles/units/heroes/hero_zuus/zuus_lightning_bolt.vpcf,,PATTACH_WORLDORIGIN,,source_target,,2,1,闪电魔塔LV1落雷。
tower_zuus:lightning_storm_lv02:cloud,tower_zuus,lightning_storm_lv02,cloud,skill_persistent,lightning_storm_lv02,persistent,particles/units/heroes/hero_zuus/zuus_cloud.vpcf,,PATTACH_WORLDORIGIN,,storm_radius,,1,1,闪电魔塔LV2雷暴云。
tower_zuus:lightning_storm_lv02:strike,tower_zuus,lightning_storm_lv02,strike,skill_strike,lightning_storm_lv02,tick,particles/units/heroes/hero_zuus/zuus_lightning_bolt.vpcf,,PATTACH_WORLDORIGIN,,source_target,,2,1,闪电魔塔LV2落雷。
tower_zuus:lightning_storm_lv03:cloud,tower_zuus,lightning_storm_lv03,cloud,skill_persistent,lightning_storm_lv03,persistent,particles/units/heroes/hero_zuus/zuus_cloud.vpcf,,PATTACH_WORLDORIGIN,,storm_radius,,1,1,闪电魔塔LV3雷暴云。
tower_zuus:lightning_storm_lv03:strike,tower_zuus,lightning_storm_lv03,strike,skill_strike,lightning_storm_lv03,tick,particles/units/heroes/hero_zuus/zuus_lightning_bolt.vpcf,,PATTACH_WORLDORIGIN,,source_target,,2,1,闪电魔塔LV3落雷。
tower_zuus:lightning_storm_lv04:cloud,tower_zuus,lightning_storm_lv04,cloud,skill_persistent,lightning_storm_lv04,persistent,particles/units/heroes/hero_zuus/zuus_cloud.vpcf,,PATTACH_WORLDORIGIN,,storm_radius,,1,1,闪电魔塔LV4雷暴云。
tower_zuus:lightning_storm_lv04:strike,tower_zuus,lightning_storm_lv04,strike,skill_strike,lightning_storm_lv04,tick,particles/units/heroes/hero_zuus/zuus_lightning_bolt.vpcf,,PATTACH_WORLDORIGIN,,source_target,,2,1,闪电魔塔LV4落雷。
tower_zuus:lightning_storm_lv05:cloud,tower_zuus,lightning_storm_lv05,cloud,skill_persistent,lightning_storm_lv05,persistent,particles/units/heroes/hero_zuus/zuus_cloud.vpcf,,PATTACH_WORLDORIGIN,,storm_radius,,1,1,闪电魔塔LV5雷暴云。
tower_zuus:lightning_storm_lv05:strike,tower_zuus,lightning_storm_lv05,strike,skill_strike,lightning_storm_lv05,tick,particles/units/heroes/hero_zuus/zuus_lightning_bolt.vpcf,,PATTACH_WORLDORIGIN,,source_target,,2,1,闪电魔塔LV5落雷。
