asset_id,display_name,asset_type,primary_model,attachment_models,particle_resources,environment_particles,sound_resources,sound_events,default_sequence,model_scale,model_skin,material_group,load_group,load_order,priority,first_use_wave,resident_policy,async_unit_name,fallback_asset_id,enabled,notes,attachment_entity_class,attachment_ids,environment_particle_owners,portrait_unit_name,portrait_item_def
monster_undying_golem,血肉傀儡/二级修理工模型,model_bundle,models/heroes/undying/undying_flesh_golem.vmdl,,,,,,idle,1.5,,,initial_required,14,795,5,early_phase,asset_proxy_monster_undying_golem,monster_undying,1,二级修理工可在主城一级训练，因此属于启动工人包；第五波Boss复用。,,,,,
monster_underlord,孽主怪模型,model_bundle,models/heroes/abyssal_underlord/abyssal_underlord_v2.vmdl,,,,,,idle,1,,,zombie_stream,3,790,11,streamed,asset_proxy_monster_underlord,monster_undying,1,按首次波次进入后台加载队列。,,,,,
monster_vengefulspirit,复仇之魂怪模型,model_bundle,models/heroes/vengeful/vengeful.vmdl,,,,,,idle,1,,,zombie_stream,4,785,11,streamed,asset_proxy_monster_vengefulspirit,monster_undying,1,按首次波次进入后台加载队列。,,,,,
monster_dragon_knight,龙骑士怪模型,model_bundle,models/heroes/dragon_knight/dragon_knight.vmdl,,,,,,idle,1,,,zombie_stream,5,780,12,streamed,asset_proxy_monster_dragon_knight,monster_undying,1,按首次波次进入后台加载队列。,,,,,
monster_tusk,巨牙海民怪模型,model_bundle,models/heroes/tuskarr/tuskarr.vmdl,,,,,,idle,1,,,zombie_stream,6,775,13,streamed,asset_proxy_monster_tusk,monster_undying,1,按首次波次进入后台加载队列。,,,,,
monster_visage,维萨吉怪模型,model_bundle,models/heroes/visage/visage.vmdl,,,,,,idle,1,,,zombie_stream,7,770,8,streamed,asset_proxy_monster_visage,monster_undying,1,普通飞行兼容模型最早在正式第8波使用；最终逐波模型定稿后移除共享兼容。,,,,,
monster_sniper,火枪怪模型,model_bundle,models/heroes/sniper/sniper.vmdl,,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,,,,idle,1,,,zombie_stream,8,765,15,streamed,asset_proxy_monster_sniper,monster_undying,1,按首次波次进入后台加载队列；机枪塔第一阶段复用弹道。,,,,,
monster_ogre_magi,食人魔怪模型,model_bundle,models/heroes/ogre_magi/ogre_magi.vmdl,,,,,,idle,1,,,zombie_stream,9,760,16,streamed,asset_proxy_monster_ogre_magi,monster_undying,1,按首次波次进入后台加载队列。,,,,,
monster_tiny,小小怪模型,model_bundle,models/heroes/tiny/tiny_01/tiny_01.vmdl,,,,,,idle,1,,,zombie_stream,12,745,19,streamed,asset_proxy_monster_tiny,monster_undying,1,基础Tiny模型；饰品最大形态路径核验后另建资源包。,,,,,
monster_ursa,熊战士怪模型,model_bundle,models/heroes/ursa/ursa.vmdl,,,,,,idle,1,,,zombie_stream,13,740,20,streamed,asset_proxy_monster_ursa,monster_undying,1,按首次波次进入后台加载队列。,,,,,
monster_terrorblade,恐怖利刃怪模型,model_bundle,models/heroes/terrorblade/terrorblade.vmdl,,,,,,idle,1,,,zombie_stream,14,735,20,streamed,asset_proxy_monster_terrorblade,monster_undying,1,按首次波次进入后台加载队列。,,,,,
challenge_10_terrorblade_fractal,七宗罪恐怖利刃外观,model_bundle,models/heroes/terrorblade/terrorblade_arcana.vmdl,,,,,,idle,1,,,challenge_visuals,1,734,0,streamed,asset_proxy_monster_terrorblade,monster_terrorblade,1,挑战10专用外观；由挑战10/11预载服务提前加载。,,,,,
monster_tidehunter,潮汐怪模型,model_bundle,models/heroes/tidehunter/tidehunter.vmdl,,,,,,idle,1,,,zombie_stream,15,730,21,streamed,asset_proxy_monster_tidehunter,monster_undying,1,按首次波次进入后台加载队列。,,,,,
monster_pudge,屠夫怪模型,model_bundle,models/heroes/pudge/pudge.vmdl,,,,,,idle,1,,,zombie_stream,16,725,24,streamed,asset_proxy_monster_pudge,monster_undying,1,按首次波次进入后台加载队列。,,,,,
monster_rubick,飞毯法师模型,model_bundle,models/heroes/rubick/rubick.vmdl,,particles/units/heroes/hero_rubick/rubick_base_attack.vpcf,,,,idle,1,,,zombie_stream,17,720,16,streamed,asset_proxy_monster_rubick,monster_undying,1,N1第16波首次使用；也供魔法至尊塔复用。,,,,,
monster_lich,红袍亡灵法师模型,model_bundle,models/heroes/lich/lich.vmdl,,,,,,idle,1,,,zombie_stream,18,715,18,streamed,asset_proxy_monster_lich,monster_undying,1,N1第18波首次使用。,,,,,
monster_juggernaut,红甲剑士模型,model_bundle,models/heroes/juggernaut/juggernaut.vmdl,,,,,,idle,1,,,zombie_stream,19,710,24,streamed,asset_proxy_monster_juggernaut,monster_undying,1,N1第24波首次使用。,,,,,
monster_warlock,火焰傀儡波次主体,model_bundle,models/heroes/warlock/warlock.vmdl,,,,,,idle,1,,,zombie_stream,20,705,25,streamed,asset_proxy_monster_warlock,monster_undying,1,N1第25波首次使用；当前原型使用Warlock英雄主体。,,,,,
tower_keeper_of_the_light,Storm Spirit基础外观 神秘之塔,model_bundle,models/heroes/storm_spirit/storm_spirit.vmdl,,,,,,idle,1,,,tower_stream,1,695,0,streamed,asset_proxy_tower_keeper_of_the_light,building_arrow_tower_base,1,神秘路线第一阶段；保留已有资源ID避免转职引用失效；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_storm_spirit,
tower_obsidian_destroyer,魔能炮模型,model_bundle,models/heroes/obsidian_destroyer/obsidian_destroyer.vmdl,,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,,,,idle,1,,,tower_stream,2,690,0,streamed,asset_proxy_tower_obsidian_destroyer,building_arrow_tower_base,1,神秘之塔第二阶段。,,,,,
tower_zuus,雷电与魔能之眼模型,model_bundle,models/heroes/zuus/zuus.vmdl,,,,,,idle,1,,,initial_required,15,891,0,permanent,asset_proxy_tower_zuus,building_arrow_tower_base,1,闪电塔及神秘塔后期复用；连锁闪电、雷暴云和落雷组合特效由资源子表定义并在地图启动时预加载。,,,,,
tower_lightning_zeus_tempest,Zeus基础外观 闪电塔,model_bundle,models/heroes/zeus/zeus.vmdl,,,,,,idle,1,,,initial_required,16,890,0,permanent,asset_proxy_tower_lightning_zeus_tempest,tower_zuus,1,闪电路线第一阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_zuus,
tower_lightning_disruptor,Disruptor 闪电魔塔,model_bundle,models/heroes/disruptor/disruptor.vmdl,,,,,,idle,1,,,initial_required,17,889,0,permanent,asset_proxy_tower_lightning_disruptor,tower_zuus,1,闪电魔塔LV1-5；Static Storm只划定区域，Leshrac Lightning Storm负责每秒落雷视觉。,,,,,
tower_lightning_razor,Razor 雷电扩散塔,model_bundle,models/heroes/razor/razor.vmdl,,,,,,idle,1,,,initial_required,18,888,0,permanent,asset_proxy_tower_lightning_razor,tower_zuus,1,雷电扩散塔LV1-10；Plasma Field从雷击落点向外扩散。,,,,,
tower_machine_gun_sniper_occultist,Sniper基础外观 机枪塔,model_bundle,models/heroes/sniper/sniper.vmdl,,,,,,idle,1,,,initial_required,22,884,0,permanent,asset_proxy_tower_machine_gun_sniper_occultist,building_arrow_tower_base,1,机枪路线第一阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_sniper,
tower_machine_gun_bounty_heartless,Bounty Hunter基础外观 赏金机枪,model_bundle,models/heroes/bounty_hunter/bounty_hunter.vmdl,,,,,,idle,1,,,initial_required,23,883,0,permanent,asset_proxy_tower_machine_gun_bounty_heartless,tower_machine_gun_sniper_occultist,1,机枪路线第二阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_bounty_hunter,
tower_machine_gun_windranger_rising_gale,Windranger基础外观 爆矢加特林,model_bundle,models/heroes/windrunner/windrunner.vmdl,,,,,,idle,1,,,initial_required,24,882,0,permanent,asset_proxy_tower_machine_gun_windranger_rising_gale,tower_machine_gun_bounty_heartless,1,机枪路线第三阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_windrunner,
tower_lion,魔法塔模型,model_bundle,models/heroes/lion/lion.vmdl,,particles/units/heroes/hero_lion/lion_base_attack.vpcf,,,,idle,1,,,tower_stream,8,660,0,streamed,asset_proxy_tower_lion,building_arrow_tower_base,1,魔法塔第一阶段。,,,,,
tower_lina,大魔法塔模型,model_bundle,models/heroes/lina/lina.vmdl,,particles/units/heroes/hero_lina/lina_base_attack.vpcf,,,,idle,1,,,tower_stream,9,655,0,streamed,asset_proxy_tower_lina,building_arrow_tower_base,1,魔法塔第二阶段。,,,,,
wall_tiny_large_form,Tiny's Large Form,model_bundle,models/heroes/tiny/tiny_04/tiny_04.vmdl,,particles/units/heroes/hero_tiny/tiny_ambient_lvl4.vpcf,particles/units/heroes/hero_tiny/tiny_ambient_lvl4.vpcf,,,idle,0.8,,,initial_required,6,900,0,permanent,asset_proxy_wall_tiny_large_form,building_wall_fallback,1,本机npc_heroes.txt的Model3；城墙1-5级。,,,,,
wall_tiny_anthozoan_huge,Anthozoan Assault - Huge,model_bundle,models/items/tiny/tiny_anthozoa_giant_back/tiny_anthozoa_giant_back.vmdl,,particles/econ/items/tiny/tiny_anthozoa/tiny_anthozoa_back.vpcf,particles/econ/items/tiny/tiny_anthozoa/tiny_anthozoa_back.vpcf,,,idle,0.8,,,wall_stream,1,890,0,permanent,asset_proxy_wall_tiny_anthozoan_huge,building_wall_fallback,1,本机items_game物品14332；城墙6-10级。,,,,,
wall_tiny_stronghold_fortress,Stone Giant Stronghold - Fortress,model_bundle,models/items/tiny/lionheart_kings_moving_castle_t4/lionheart_kings_moving_castle_t4.vmdl,,particles/econ/items/tiny/lionheart/lvl4/lionheart_lvl4_ambient.vpcf,particles/econ/items/tiny/lionheart/lvl4/lionheart_lvl4_ambient.vpcf,,,idle,0.8,,,wall_stream,2,880,0,permanent,asset_proxy_wall_tiny_stronghold_fortress,building_wall_fallback,1,本机items_game物品31476；城墙11-15级。,,,,,
wall_tiny_frostmoot_large,Large Frostmoot,model_bundle,models/items/tiny/frozen_stonehenge/frozen_stonehenge_lvl_04.vmdl,,particles/econ/items/tiny/tiny_frozen_stonehenge/tiny_stonehenge_ambient_lvl4.vpcf,particles/econ/items/tiny/tiny_frozen_stonehenge/tiny_stonehenge_ambient_lvl4.vpcf,,,idle,0.8,,,wall_stream,3,870,0,permanent,asset_proxy_wall_tiny_frostmoot_large,building_wall_fallback,1,本机items_game物品12533；城墙16-20级。,,,,,
wall_tiny_astral_origins_back,Astral Origins - Back,model_bundle,models/items/tiny/tiny_astral_order_back/tiny_astral_order_back.vmdl,,particles/econ/items/tiny/tiny_astral_order/tiny_astral_order_back_ambient.vpcf,particles/econ/items/tiny/tiny_astral_order/tiny_astral_order_back_ambient.vpcf,,,idle,0.8,,,wall_stream,4,860,0,permanent,asset_proxy_wall_tiny_astral_origins_back,building_wall_fallback,1,本机items_game物品26755；城墙21-25级。,,,,,
wall_tiny_colossus_monolith,Majesty Of The Colossus - Monolith,model_bundle,models/items/tiny/tiny_prestige/tiny_prestige_lvl_04.vmdl,,particles/econ/items/tiny/tiny_prestige/tiny_prestige_lvl4_ambient.vpcf,particles/econ/items/tiny/tiny_prestige/tiny_prestige_lvl4_ambient.vpcf,,,idle,0.8,,,wall_stream,5,850,0,permanent,asset_proxy_wall_tiny_colossus_monolith,building_wall_fallback,1,本机items_game物品13566；城墙26-30级。,,,,,
tower_multi_medusa_anamnessa,Vengeful Spirit基础外观 多重塔,model_bundle,models/heroes/vengeful/vengeful.vmdl,,,,,,idle,1,,,initial_required,7,895,0,permanent,asset_proxy_tower_multi_medusa_anamnessa,building_arrow_tower_base,1,多重路线第一阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_vengefulspirit,
tower_multi_drow_dread_retribution,Luna基础外观 穿透弩炮,model_bundle,models/heroes/luna/luna.vmdl,,,,,,idle,1,,,initial_required,8,894,0,permanent,asset_proxy_tower_multi_drow_dread_retribution,tower_multi_medusa_anamnessa,1,多重路线第二阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_luna,
tower_multi_vengeful_shen_screeauk,Medusa基础外观 炙热巨箭塔,model_bundle,models/heroes/medusa/medusa.vmdl,,,,,,idle,1,,,initial_required,9,893,0,permanent,asset_proxy_tower_multi_vengeful_shen_screeauk,tower_multi_drow_dread_retribution,1,多重路线第三阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_medusa,
tower_death_nevermore_sundered_souls,Wraith King基础外观 碎骨重炮,model_bundle,models/heroes/wraith_king/wraith_king.vmdl,,,,,,idle,1,,,initial_required,11,891,0,permanent,asset_proxy_tower_death_nevermore_sundered_souls,tower_death_templar_assassin,1,死亡路线第二阶段；保留旧资源ID以驱动技能和弹道分支；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_skeleton_king,
tower_death_warlock_seam_ripper,Phantom Assassin基础外观 死神榴弹炮,model_bundle,models/heroes/phantom_assassin/phantom_assassin.vmdl,,,,,,idle,1,,,initial_required,12,890,0,permanent,asset_proxy_tower_death_warlock_seam_ripper,tower_death_nevermore_sundered_souls,1,死亡路线第三阶段；不挂载Persona默认物品；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_phantom_assassin,
tower_frost_lich_rime_lord,Lich基础外观 冰霜之塔,model_bundle,models/heroes/lich/lich.vmdl,,,,,,idle,1,,,initial_required,19,887,0,permanent,asset_proxy_tower_frost_lich_rime_lord,building_arrow_tower_base,1,冰霜路线第一阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_lich,
tower_frost_crystal_maiden_winter_raven,Crystal Maiden基础外观 寒冰尖塔,model_bundle,models/heroes/crystal_maiden/crystal_maiden.vmdl,,,,,,idle,1,,,initial_required,20,886,0,permanent,asset_proxy_tower_frost_crystal_maiden_winter_raven,tower_frost_lich_rime_lord,1,冰霜路线第二阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_crystal_maiden,
tower_frost_ancient_apparition,Ancient Apparition基础外观 极地方尖碑,model_bundle,models/heroes/ancient_apparition/ancient_apparition.vmdl,,,,,,idle,1,,,initial_required,21,885,0,permanent,asset_proxy_tower_frost_ancient_apparition,tower_frost_crystal_maiden_winter_raven,1,冰霜路线第三阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_ancient_apparition,
challenge_monster_beastmaster_legacy,Legacy of a Lost Age 挑战05,model_bundle,models/heroes/beastmaster/beastmaster.vmdl,,,,,,idle,1.5,,,initial_required,30,884,0,permanent,npc_dota_hero_beastmaster,monster_undying,1,挑战05专用；Bundle 21396仅挂载五件英雄组件，不创建鹰或野猪召唤物。,,,,npc_dota_hero_beastmaster,21396
challenge_monster_morphling,Morphling 挑战06,model_bundle,models/heroes/morphling/morphling.vmdl,,,,,,idle,1.25,,,initial_required,31,883,0,permanent,npc_dota_hero_morphling,monster_undying,1,挑战06专用；原生普通攻击弹道由asset_effects定义。,,,,npc_dota_hero_morphling,
challenge_monster_ember_searing_path,Master of the Searing Path 挑战07,model_bundle,models/heroes/ember_spirit/ember_spirit.vmdl,,,,,,idle,1.1,,,initial_required,32,882,0,permanent,npc_dota_hero_ember_spirit,monster_undying,1,挑战07专用；Master of the Searing Path六件套及官方常驻粒子。,,,,npc_dota_hero_ember_spirit,21383
challenge_monster_primal_beast_svarog,Svarog the Infernal 挑战08,model_bundle,models/heroes/primal_beast/primal_beast_base.vmdl,,,,,,idle,1.5,,,initial_required,33,881,0,permanent,npc_dota_hero_primal_beast,monster_undying,1,挑战08专用；Primal Beast主体、Svarog四件组件、官方常驻粒子与动作修饰。,,,,npc_dota_hero_primal_beast,26799
challenge_monster_spectre_phantom_advent,Phantom Advent 挑战09,model_bundle,models/items/spectre/spectre_arcana/spectre_arcana_base.vmdl,,,,,,idle,1.6,,,initial_required,34,880,0,permanent,npc_dota_hero_spectre,monster_undying,1,挑战09专用；Spectre Arcana主体及Phantom Advent五件组件与常驻粒子。,,,,npc_dota_hero_spectre,21361
challenge_monster_terrorblade_fractal_horns,Fractal Horns of Inner Abysm 挑战10,model_bundle,models/heroes/terrorblade/terrorblade_arcana.vmdl,,,,,,idle,1.15,,,initial_required,35,879,0,permanent,npc_dota_hero_terrorblade,monster_undying,1,挑战10专用；Terrorblade Arcana主体、Fractal Horns头部、官方常驻粒子与动作修饰。,,,,npc_dota_hero_terrorblade,5957
tower_death_templar_assassin,Templar Assassin基础外观 死亡之塔,model_bundle,models/heroes/lanaya/lanaya.vmdl,,,,,,idle,1,,,initial_required,10,892,0,permanent,asset_proxy_tower_death_templar_assassin,building_arrow_tower_base,1,死亡路线第一阶段；ItemDef仅来自本地items_game.txt的default_item；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_templar_assassin,
tower_lightning_leshrac,Leshrac基础外观 闪电魔塔,model_bundle,models/heroes/leshrac/leshrac.vmdl,,,,,,idle,1,,,initial_required,17,889,0,permanent,asset_proxy_tower_lightning_leshrac,tower_lightning_zeus_tempest,1,闪电路线第二阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_leshrac,
tower_lightning_razor_voidstorm,Razor基础外观 雷电扩散,model_bundle,models/heroes/razor/razor.vmdl,,,,,,idle,1,,,initial_required,18,888,0,permanent,asset_proxy_tower_lightning_razor_voidstorm,tower_lightning_leshrac,1,闪电路线第三阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_razor,
tower_laser_od_blackgate,Io基础外观 魔能炮,model_bundle,models/heroes/wisp/wisp.vmdl,,,,,,idle,1,,,initial_required,23,883,0,permanent,asset_proxy_tower_laser_od_blackgate,tower_keeper_of_the_light,1,神秘路线第二阶段；本地经济数据无可挂载基础模型物品；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_wisp,
tower_laser_death_prophet_brightshroud,Tinker基础外观 魔能之眼,model_bundle,models/heroes/tinker/tinker.vmdl,,,,,,idle,1,,,initial_required,24,882,0,permanent,asset_proxy_tower_laser_death_prophet_brightshroud,tower_laser_od_blackgate,1,神秘路线第三阶段；激光行为继续读取tower_laser_effects.csv；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_tinker,
tower_anti_air_gyro_swooping,Gyrocopter基础外观 防空塔,model_bundle,models/heroes/gyro/gyro.vmdl,,,,,,idle,1,,,initial_required,25,881,0,permanent,asset_proxy_tower_anti_air_gyro_swooping,building_arrow_tower_base,1,防空路线第一阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_gyrocopter,
tower_anti_air_batrider_empiric,Batrider基础外观 防空火炮,model_bundle,models/heroes/batrider/batrider.vmdl,,,,,,idle,1,,,initial_required,26,880,0,permanent,asset_proxy_tower_anti_air_batrider_empiric,tower_anti_air_gyro_swooping,1,防空路线第二阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_batrider,
tower_anti_air_skywrath_empyrean,Skywrath Mage基础外观 空域霸主,model_bundle,models/heroes/skywrath_mage/skywrath_mage.vmdl,,,,,,idle,1,,,initial_required,27,879,0,permanent,asset_proxy_tower_anti_air_skywrath_empyrean,tower_anti_air_batrider_empiric,1,防空路线第三阶段；原Building承载英雄主体，CSV模型投影为prop_dynamic组件。,,,,npc_dota_hero_skywrath_mage,
hero_permanent_hero_doom,末日使者永久英雄资源,model_bundle,models/heroes/doom/doom.vmdl,models/heroes/doom/belt.vmdl|models/heroes/doom/bracer.vmdl|models/heroes/doom/doom_helm.vmdl|models/heroes/doom/doom_sword.vmdl|models/heroes/doom/shoulders.vmdl|models/heroes/doom/tail.vmdl|models/heroes/doom/wings.vmdl,,,,,idle,1,,,hero_permanent,1,1000,0,permanent,asset_proxy_hero_doom,,1,六个可选英雄之一；主体与ReplaceHero原生穿戴资源整局常驻，附件列表仅用于预载，不由项目重复挂载。,,,,npc_dota_hero_doom_bringer,
hero_permanent_hero_shadow_fiend,影魔永久英雄资源,model_bundle,models/heroes/shadow_fiend/shadow_fiend.vmdl,models/heroes/nevermore/wings.vmdl|models/heroes/shadow_fiend/shadow_fiend_shoulders.vmdl|models/heroes/shadow_fiend/shadow_fiend_arms.vmdl|models/heroes/shadow_fiend/shadow_fiend_head.vmdl,,,,,idle,1,,,hero_permanent,2,999,0,permanent,asset_proxy_hero_shadow_fiend,,1,六个可选英雄之一；主体与ReplaceHero原生穿戴资源整局常驻，附件列表仅用于预载，不由项目重复挂载。,,,,npc_dota_hero_nevermore,
hero_permanent_hero_axe,斧王永久英雄资源,model_bundle,models/heroes/axe/axe.vmdl,models/heroes/axe/axe_armor.vmdl|models/heroes/axe/axe_belt.vmdl|models/heroes/axe/axe_hair.vmdl|models/heroes/axe/axe_ponytail.vmdl|models/heroes/axe/axe_weapon.vmdl,,,,,idle,1,,1,hero_permanent,3,998,0,permanent,asset_proxy_hero_axe,,1,六个可选英雄之一；主体、ReplaceHero原生穿戴预载依赖和项目Searing Annihilator饰品整局常驻，附件列表不由项目重复挂载。,,,,npc_dota_hero_axe,
hero_permanent_hero_drow_ranger,黑暗游侠永久英雄资源,model_bundle,models/heroes/drow/drow_base.vmdl,models/heroes/drow/drow_weapon.vmdl|models/heroes/drow/drow_cape.vmdl|models/heroes/drow/drow_bracer.vmdl|models/heroes/drow/drow_armor.vmdl|models/heroes/drow/drow_legs.vmdl|models/heroes/drow/drow_haircowl.vmdl|models/heroes/drow/drow_quiver.vmdl,,,,,idle,1,,,hero_permanent,4,997,0,permanent,asset_proxy_hero_drow_ranger,,1,六个可选英雄之一；主体与ReplaceHero原生穿戴资源整局常驻，附件列表仅用于预载，不由项目重复挂载。,,,,npc_dota_hero_drow_ranger,
hero_permanent_hero_monkey_king,齐天大圣永久英雄资源,model_bundle,models/heroes/monkey_king/monkey_king.vmdl,models/heroes/monkey_king/monkey_king_hair.vmdl|models/heroes/monkey_king/monkey_king_armor.vmdl|models/heroes/monkey_king/monkey_king_base_weapon.vmdl|models/heroes/monkey_king/monkey_king_shoulders.vmdl,,,,,idle,1,,,hero_permanent,5,996,0,permanent,asset_proxy_hero_monkey_king,,1,六个可选英雄之一；主体与四件官方default_item穿戴整局常驻并由项目确定性挂载，HUD继续使用WebM，不加载Demon Trickster或环境粒子。,,,,npc_dota_hero_monkey_king,
hero_permanent_hero_blademaster,剑圣永久英雄资源,model_bundle,models/heroes/juggernaut/juggernaut.vmdl,models/heroes/juggernaut/jugg_bracers.vmdl|models/heroes/juggernaut/jugg_cape.vmdl|models/heroes/juggernaut/jugg_mask.vmdl|models/heroes/juggernaut/juggernaut_pants.vmdl|models/heroes/juggernaut/jugg_sword.vmdl,,,,,idle,1,,,hero_permanent,6,995,0,permanent,asset_proxy_hero_blademaster,,1,六个可选英雄之一；主体与ReplaceHero原生穿戴资源整局常驻，附件列表仅用于预载，不由项目重复挂载。,,,,npc_dota_hero_juggernaut,
