wearable_key,asset_id,item_def,hero_unit_name,slot,model_path,sort_order,enabled,entity_class,attach_mode,notes
death_phantom_assassin_weapon,tower_death_warlock_seam_ripper,13476,npc_dota_hero_phantom_assassin,weapon,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_weapon/ti9_cache_pa_gothic_hunter_weapon.vmdl,1,1,prop_dynamic,bone_merge,Gothic Whisper 蛮夷低语 Blade
death_phantom_assassin_shoulder,tower_death_warlock_seam_ripper,13477,npc_dota_hero_phantom_assassin,shoulder,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_shoulder/ti9_cache_pa_gothic_hunter_shoulder.vmdl,2,1,prop_dynamic,bone_merge,Gothic Whisper 蛮夷低语 Armor
death_phantom_assassin_head,tower_death_warlock_seam_ripper,13478,npc_dota_hero_phantom_assassin,head,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_head/ti9_cache_pa_gothic_hunter_head.vmdl,3,1,prop_dynamic,bone_merge,Gothic Whisper 蛮夷低语 Mask
death_phantom_assassin_belt,tower_death_warlock_seam_ripper,13479,npc_dota_hero_phantom_assassin,belt,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_belt/ti9_cache_pa_gothic_hunter_belt.vmdl,4,1,prop_dynamic,bone_merge,Gothic Whisper 蛮夷低语 Belt
death_phantom_assassin_back,tower_death_warlock_seam_ripper,13480,npc_dota_hero_phantom_assassin,back,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_back/ti9_cache_pa_gothic_hunter_back.vmdl,5,1,prop_dynamic,bone_merge,Gothic Whisper 蛮夷低语 Cape
frost_lich_back,tower_frost_lich_rime_lord,9560,npc_dota_hero_lich,back,models/items/lich/lich_rime_lord_back/lich_rime_lord_back.vmdl,1,1,prop_dynamic,bone_merge,Ascendance of the Rime Lord 雾凇领主的霜威 Cloak
frost_lich_belt,tower_frost_lich_rime_lord,9561,npc_dota_hero_lich,belt,models/items/lich/lich_rime_lord_belt/lich_rime_lord_belt.vmdl,2,1,prop_dynamic,bone_merge,Ascendance of the Rime Lord 雾凇领主的霜威 Robe
frost_lich_arms,tower_frost_lich_rime_lord,12636,npc_dota_hero_lich,arms,models/items/lich/lich_rime_lord_arms/lich_rime_lord_arms.vmdl,3,1,prop_dynamic,bone_merge,Ascendance of the Rime Lord 雾凇领主的霜威 Bracers
frost_lich_neck,tower_frost_lich_rime_lord,12637,npc_dota_hero_lich,neck,models/items/lich/lich_rime_lord_neck/lich_rime_lord_neck.vmdl,4,1,prop_dynamic,bone_merge,Ascendance of the Rime Lord 雾凇领主的霜威 Vestment
frost_lich_head,tower_frost_lich_rime_lord,12638,npc_dota_hero_lich,head,models/items/lich/lich_rime_lord_head/lich_rime_lord_head.vmdl,5,1,prop_dynamic,bone_merge,Ascendance of the Rime Lord 雾凇领主的霜威 Crown
frost_crystal_maiden_arms,tower_frost_crystal_maiden_winter_raven,27212,npc_dota_hero_crystal_maiden,arms,models/items/crystal_maiden/cm_screeauk/cm_screeauk_arms.vmdl,1,1,prop_dynamic,bone_merge,Roost of the Winter Raven 冬鸦之巢 Arms
frost_crystal_maiden_back,tower_frost_crystal_maiden_winter_raven,27295,npc_dota_hero_crystal_maiden,back,models/items/crystal_maiden/cm_screeauk/cm_screeauk_back.vmdl,2,1,prop_dynamic,bone_merge,Roost of the Winter Raven 冬鸦之巢 Back
frost_crystal_maiden_head,tower_frost_crystal_maiden_winter_raven,27561,npc_dota_hero_crystal_maiden,head,models/items/crystal_maiden/cm_screeauk/cm_screeauk_head_refit.vmdl,3,1,prop_dynamic,bone_merge,Roost of the Winter Raven 冬鸦之巢 Head refit
frost_crystal_maiden_shoulder,tower_frost_crystal_maiden_winter_raven,27562,npc_dota_hero_crystal_maiden,shoulder,models/items/crystal_maiden/cm_screeauk/cm_screeauk_shoulder_refit.vmdl,4,1,prop_dynamic,bone_merge,Roost of the Winter Raven 冬鸦之巢 Shoulder refit
frost_crystal_maiden_weapon,tower_frost_crystal_maiden_winter_raven,27563,npc_dota_hero_crystal_maiden,weapon,models/items/crystal_maiden/cm_screeauk/cm_screeauk_weapon.vmdl,5,1,prop_dynamic,bone_merge,Roost of the Winter Raven 冬鸦之巢 Weapon
frost_crystal_maiden_arcana_back,tower_frost_crystal_maiden_winter_raven,7385,npc_dota_hero_crystal_maiden,arcana_back,models/heroes/crystal_maiden/crystal_maiden_arcana_back_refit.vmdl,6,1,prop_dynamic,bone_merge,Roost of the Winter Raven 冬鸦之巢 Frost Avalanche refit
frost_ancient_apparition_tail,tower_frost_ancient_apparition,14162,npc_dota_hero_ancient_apparition,tail,models/items/ancient_apparition/extremely_cold_shackles_tail/extremely_cold_shackles_tail.vmdl,1,1,prop_dynamic,bone_merge,Apocalypse Unbound 释放天启 Tail
frost_ancient_apparition_shoulder,tower_frost_ancient_apparition,14163,npc_dota_hero_ancient_apparition,shoulder,models/items/ancient_apparition/extremely_cold_shackles_shoulder/extremely_cold_shackles_shoulder.vmdl,2,1,prop_dynamic,bone_merge,Apocalypse Unbound 释放天启 Shoulder
frost_ancient_apparition_head,tower_frost_ancient_apparition,14164,npc_dota_hero_ancient_apparition,head,models/items/ancient_apparition/extremely_cold_shackles_head/extremely_cold_shackles_head.vmdl,3,1,prop_dynamic,bone_merge,Apocalypse Unbound 释放天启 Head
frost_ancient_apparition_arms,tower_frost_ancient_apparition,14165,npc_dota_hero_ancient_apparition,arms,models/items/ancient_apparition/extremely_cold_shackles_arms/extremely_cold_shackles_arms.vmdl,4,1,prop_dynamic,bone_merge,Apocalypse Unbound 释放天启 Arms
lightning_zeus_head,tower_lightning_zeus_tempest,6914,npc_dota_hero_zuus,head,models/heroes/zeus/zeus_hair_arcana.vmdl,1,1,prop_dynamic,bone_merge,Tempest Helm of the Thundergod 雷霆神盔 Head
lightning_leshrac_head,tower_lightning_leshrac,14212,npc_dota_hero_leshrac,head,models/items/leshrac/dark_forest_punisher_head/dark_forest_punisher_head.vmdl,1,1,prop_dynamic,bone_merge,Fruits of Wane 衰亡硕果 Head
lightning_leshrac_weapon,tower_lightning_leshrac,14213,npc_dota_hero_leshrac,weapon,models/items/leshrac/dark_forest_punisher_weapon/dark_forest_punisher_weapon.vmdl,2,1,prop_dynamic,bone_merge,Fruits of Wane 衰亡硕果 Weapon
lightning_leshrac_tail,tower_lightning_leshrac,14214,npc_dota_hero_leshrac,tail,models/items/leshrac/dark_forest_punisher_tail/dark_forest_punisher_tail.vmdl,3,1,prop_dynamic,bone_merge,Fruits of Wane 衰亡硕果 Tail
lightning_leshrac_misc,tower_lightning_leshrac,14215,npc_dota_hero_leshrac,misc,models/items/leshrac/dark_forest_punisher_misc/dark_forest_punisher_misc.vmdl,4,1,prop_dynamic,bone_merge,Fruits of Wane 衰亡硕果 Misc
lightning_leshrac_back,tower_lightning_leshrac,14216,npc_dota_hero_leshrac,back,models/items/leshrac/dark_forest_punisher_back/dark_forest_punisher_back.vmdl,5,1,prop_dynamic,bone_merge,Fruits of Wane 衰亡硕果 Back
lightning_razor_weapon,tower_lightning_razor_voidstorm,23095,npc_dota_hero_razor,weapon,models/items/razor/razor_arcana/razor_arcana_weapon.vmdl,1,1,prop_dynamic,bone_merge,Voidstorm Asylum 太虚风暴玄宇 Tormentor
lightning_razor_head,tower_lightning_razor_voidstorm,23096,npc_dota_hero_razor,head,models/items/razor/razor_arcana/razor_arcana_head.vmdl,2,1,prop_dynamic,bone_merge,Voidstorm Asylum 太虚风暴玄宇 Helm
lightning_razor_armor,tower_lightning_razor_voidstorm,23097,npc_dota_hero_razor,armor,models/items/razor/razor_arcana/razor_arcana_armor_refit.vmdl,3,1,prop_dynamic,bone_merge,Voidstorm Asylum 太虚风暴玄宇 Armor refit
lightning_razor_arms,tower_lightning_razor_voidstorm,23098,npc_dota_hero_razor,arms,models/items/razor/razor_arcana/razor_arcana_arms.vmdl,4,1,prop_dynamic,bone_merge,Voidstorm Asylum 太虚风暴玄宇 Bracers
lightning_razor_belt,tower_lightning_razor_voidstorm,23099,npc_dota_hero_razor,belt,models/heroes/razor/razor_robe_refit.vmdl,5,1,prop_dynamic,bone_merge,Voidstorm Asylum 太虚风暴玄宇 Belt refit
machine_gun_sniper_weapon,tower_machine_gun_sniper_occultist,281,npc_dota_hero_sniper,,models/heroes/sniper/weapon.vmdl,1,1,prop_dynamic,bone_merge,
machine_gun_sniper_cape,tower_machine_gun_sniper_occultist,282,npc_dota_hero_sniper,back,models/heroes/sniper/cape.vmdl,2,1,prop_dynamic,bone_merge,
machine_gun_sniper_head,tower_machine_gun_sniper_occultist,283,npc_dota_hero_sniper,head,models/heroes/sniper/headitem.vmdl,3,1,prop_dynamic,bone_merge,
machine_gun_sniper_shoulder,tower_machine_gun_sniper_occultist,284,npc_dota_hero_sniper,shoulder,models/heroes/sniper/shoulder.vmdl,4,1,prop_dynamic,bone_merge,
machine_gun_sniper_bracer,tower_machine_gun_sniper_occultist,285,npc_dota_hero_sniper,arms,models/heroes/sniper/bracer.vmdl,5,1,prop_dynamic,bone_merge,
machine_gun_bounty_right_weapon,tower_machine_gun_bounty_heartless,50,npc_dota_hero_bounty_hunter,,models/heroes/bounty_hunter/bounty_hunter_rweapon.vmdl,1,1,prop_dynamic,bone_merge,
machine_gun_bounty_left_weapon,tower_machine_gun_bounty_heartless,51,npc_dota_hero_bounty_hunter,offhand_weapon,models/heroes/bounty_hunter/bounty_hunter_lweapon.vmdl,2,1,prop_dynamic,bone_merge,
machine_gun_bounty_backpack,tower_machine_gun_bounty_heartless,52,npc_dota_hero_bounty_hunter,back,models/heroes/bounty_hunter/bounty_hunter_backpack.vmdl,3,1,prop_dynamic,bone_merge,
machine_gun_bounty_pads,tower_machine_gun_bounty_heartless,53,npc_dota_hero_bounty_hunter,shoulder,models/heroes/bounty_hunter/bounty_hunter_pads.vmdl,4,1,prop_dynamic,bone_merge,
machine_gun_bounty_bweapon,tower_machine_gun_bounty_heartless,54,npc_dota_hero_bounty_hunter,weapon,models/heroes/bounty_hunter/bounty_hunter_bweapon.vmdl,5,1,prop_dynamic,bone_merge,
machine_gun_bounty_bandana,tower_machine_gun_bounty_heartless,55,npc_dota_hero_bounty_hunter,head,models/heroes/bounty_hunter/bounty_hunter_bandana.vmdl,6,1,prop_dynamic,bone_merge,
machine_gun_windrunner_head,tower_machine_gun_windranger_rising_gale,21,npc_dota_hero_windrunner,head,models/heroes/windrunner/windrunner_head.vmdl,1,1,prop_dynamic,bone_merge,
machine_gun_windrunner_bow,tower_machine_gun_windranger_rising_gale,22,npc_dota_hero_windrunner,,models/heroes/windrunner/windrunner_bow.vmdl,2,1,prop_dynamic,bone_merge,
machine_gun_windrunner_shoulderpads,tower_machine_gun_windranger_rising_gale,23,npc_dota_hero_windrunner,shoulder,models/heroes/windrunner/windrunner_shoulderpads.vmdl,3,1,prop_dynamic,bone_merge,
machine_gun_windrunner_cape,tower_machine_gun_windranger_rising_gale,24,npc_dota_hero_windrunner,back,models/heroes/windrunner/windrunner_cape.vmdl,4,1,prop_dynamic,bone_merge,
machine_gun_windrunner_quiver,tower_machine_gun_windranger_rising_gale,25,npc_dota_hero_windrunner,back,models/heroes/windrunner/windrunner_quiver.vmdl,5,1,prop_dynamic,bone_merge,
multi_vengeful_hair,tower_multi_medusa_anamnessa,441,npc_dota_hero_vengefulspirit,head,models/heroes/vengeful/vengeful_hair.vmdl,1,1,prop_dynamic,bone_merge,
multi_vengeful_weapon,tower_multi_medusa_anamnessa,442,npc_dota_hero_vengefulspirit,,models/heroes/vengeful/vengeful_weapon.vmdl,2,1,prop_dynamic,bone_merge,
multi_vengeful_upperbody,tower_multi_medusa_anamnessa,445,npc_dota_hero_vengefulspirit,armor,models/heroes/vengeful/vengeful_upperbody.vmdl,3,1,prop_dynamic,bone_merge,
multi_vengeful_lowerbody,tower_multi_medusa_anamnessa,447,npc_dota_hero_vengefulspirit,legs,models/heroes/vengeful/vengeful_lowerbody.vmdl,4,1,prop_dynamic,bone_merge,
multi_luna_weapon,tower_multi_drow_dread_retribution,448,npc_dota_hero_luna,,models/heroes/luna/luna_weapon.vmdl,1,1,prop_dynamic,bone_merge,
multi_luna_shield,tower_multi_drow_dread_retribution,449,npc_dota_hero_luna,offhand_weapon,models/heroes/luna/luna_shield.vmdl,2,1,prop_dynamic,bone_merge,
multi_luna_helmet,tower_multi_drow_dread_retribution,450,npc_dota_hero_luna,head,models/heroes/luna/luna_helmet.vmdl,3,1,prop_dynamic,bone_merge,
multi_luna_shoulder,tower_multi_drow_dread_retribution,451,npc_dota_hero_luna,shoulder,models/heroes/luna/luna_shoulder.vmdl,4,1,prop_dynamic,bone_merge,
multi_luna_mount,tower_multi_drow_dread_retribution,452,npc_dota_hero_luna,mount,models/heroes/luna/luna_mount.vmdl,5,1,prop_dynamic,bone_merge,
multi_luna_head,tower_multi_drow_dread_retribution,453,npc_dota_hero_luna,body_head,models/heroes/luna/luna_head.vmdl,6,1,prop_dynamic,bone_merge,
multi_medusa_bow,tower_multi_vengeful_shen_screeauk,381,npc_dota_hero_medusa,,models/heroes/medusa/medusa_bow.vmdl,1,1,prop_dynamic,bone_merge,
multi_medusa_veil,tower_multi_vengeful_shen_screeauk,382,npc_dota_hero_medusa,head,models/heroes/medusa/medusa_veil.vmdl,2,1,prop_dynamic,bone_merge,
multi_medusa_torso,tower_multi_vengeful_shen_screeauk,383,npc_dota_hero_medusa,armor,models/heroes/medusa/medusa_torso.vmdl,3,1,prop_dynamic,bone_merge,
multi_medusa_arms,tower_multi_vengeful_shen_screeauk,384,npc_dota_hero_medusa,arms,models/heroes/medusa/medusa_arms.vmdl,4,1,prop_dynamic,bone_merge,
multi_medusa_tail,tower_multi_vengeful_shen_screeauk,385,npc_dota_hero_medusa,legs,models/heroes/medusa/medusa_tail.vmdl,5,1,prop_dynamic,bone_merge,
mystery_storm_hat,tower_keeper_of_the_light,308,npc_dota_hero_storm_spirit,head,models/heroes/storm_spirit/storm_hat.vmdl,1,1,prop_dynamic,bone_merge,
mystery_storm_shoulder,tower_keeper_of_the_light,309,npc_dota_hero_storm_spirit,shoulder,models/heroes/storm_spirit/storm_shoulder.vmdl,2,1,prop_dynamic,bone_merge,
mystery_storm_shirt,tower_keeper_of_the_light,310,npc_dota_hero_storm_spirit,armor,models/heroes/storm_spirit/storm_shirt.vmdl,3,1,prop_dynamic,bone_merge,
mystery_wisp_body,tower_laser_od_blackgate,,npc_dota_hero_wisp,body,,1,1,prop_dynamic,bone_merge,
mystery_tinker_right_arm,tower_laser_death_prophet_brightshroud,367,npc_dota_hero_tinker,arms,models/heroes/tinker/tinker_right_arm.vmdl,1,1,prop_dynamic,bone_merge,
mystery_tinker_left_arm,tower_laser_death_prophet_brightshroud,463,npc_dota_hero_tinker,arms,models/heroes/tinker/tinker_left_arm.vmdl,2,1,prop_dynamic,bone_merge,
mystery_tinker_shoulders,tower_laser_death_prophet_brightshroud,464,npc_dota_hero_tinker,shoulder,models/heroes/tinker/tinker_shoulders.vmdl,3,1,prop_dynamic,bone_merge,
mystery_tinker_helmet,tower_laser_death_prophet_brightshroud,465,npc_dota_hero_tinker,head,models/heroes/tinker/tinker_helmet.vmdl,4,1,prop_dynamic,bone_merge,
mystery_tinker_body_head,tower_laser_death_prophet_brightshroud,466,npc_dota_hero_tinker,body_head,models/heroes/tinker/tinker_body_head.vmdl,5,1,prop_dynamic,bone_merge,
mystery_tinker_cape,tower_laser_death_prophet_brightshroud,467,npc_dota_hero_tinker,back,models/heroes/tinker/tinker_cape.vmdl,6,1,prop_dynamic,bone_merge,
anti_air_gyro_bottles,tower_anti_air_gyro_swooping,126,npc_dota_hero_gyrocopter,back,models/heroes/gyro/gyro_bottles.vmdl,1,1,prop_dynamic,bone_merge,
anti_air_gyro_body_head,tower_anti_air_gyro_swooping,131,npc_dota_hero_gyrocopter,body_head,models/heroes/gyro/gyro_head.vmdl,2,1,prop_dynamic,bone_merge,
anti_air_gyro_goggles,tower_anti_air_gyro_swooping,176,npc_dota_hero_gyrocopter,head,models/heroes/gyro/gyro_goggles.vmdl,3,1,prop_dynamic,bone_merge,
anti_air_gyro_guns,tower_anti_air_gyro_swooping,177,npc_dota_hero_gyrocopter,,models/heroes/gyro/gyro_guns.vmdl,4,1,prop_dynamic,bone_merge,
anti_air_gyro_propeller,tower_anti_air_gyro_swooping,178,npc_dota_hero_gyrocopter,misc,models/heroes/gyro/gyro_propeller.vmdl,5,1,prop_dynamic,bone_merge,
anti_air_gyro_missile,tower_anti_air_gyro_swooping,179,npc_dota_hero_gyrocopter,offhand_weapon,models/heroes/gyro/gyro_missile.vmdl,6,1,prop_dynamic,bone_merge,
anti_air_batrider_head,tower_anti_air_batrider_empiric,375,npc_dota_hero_batrider,head,models/heroes/batrider/batrider_head.vmdl,1,1,prop_dynamic,bone_merge,
anti_air_batrider_cloak,tower_anti_air_batrider_empiric,376,npc_dota_hero_batrider,shoulder,models/heroes/batrider/batrider_cloak.vmdl,2,1,prop_dynamic,bone_merge,
anti_air_batrider_belt,tower_anti_air_batrider_empiric,377,npc_dota_hero_batrider,belt,models/heroes/batrider/batrider_belt.vmdl,3,1,prop_dynamic,bone_merge,
anti_air_batrider_mount,tower_anti_air_batrider_empiric,378,npc_dota_hero_batrider,mount,models/heroes/batrider/batrider_mount.vmdl,4,1,prop_dynamic,bone_merge,
anti_air_skywrath_weapon,tower_anti_air_skywrath_empyrean,420,npc_dota_hero_skywrath_mage,,models/heroes/skywrath_mage/skywrath_mage_staff.vmdl,1,1,prop_dynamic,bone_merge,
anti_air_skywrath_head,tower_anti_air_skywrath_empyrean,421,npc_dota_hero_skywrath_mage,head,models/heroes/skywrath_mage/skywrath_mage_head.vmdl,2,1,prop_dynamic,bone_merge,
anti_air_skywrath_wings,tower_anti_air_skywrath_empyrean,422,npc_dota_hero_skywrath_mage,back,models/heroes/skywrath_mage/skywrath_mage_wings.vmdl,3,1,prop_dynamic,bone_merge,
anti_air_skywrath_belt,tower_anti_air_skywrath_empyrean,423,npc_dota_hero_skywrath_mage,belt,models/heroes/skywrath_mage/skywrath_mage_belt.vmdl,4,1,prop_dynamic,bone_merge,
anti_air_skywrath_shoulder,tower_anti_air_skywrath_empyrean,424,npc_dota_hero_skywrath_mage,shoulder,models/heroes/skywrath_mage/skywrath_mage_shoulders.vmdl,5,1,prop_dynamic,bone_merge,
anti_air_skywrath_arms,tower_anti_air_skywrath_empyrean,425,npc_dota_hero_skywrath_mage,arms,models/heroes/skywrath_mage/skywrath_mage_bracers.vmdl,6,1,prop_dynamic,bone_merge,
