level_id,level,health,war3_armor,war3_minimum_armor,enabled,source,notes
tree_lv020,20,20803000,280,99,1,大树.csv,LV20血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv021,21,30803000,285,99,1,大树.csv,LV21血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv022,22,40803000,290,99,1,大树.csv,LV22血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv023,23,50803000,295,99,1,大树.csv,LV23血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv024,24,60803000,300,99,1,大树.csv,LV24血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv025,25,70803000,305,99,1,大树.csv,LV25血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv026,26,80803000,310,99,1,大树.csv,LV26血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv027,27,90803000,315,99,1,大树.csv,LV27血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv028,28,100803000,320,99,1,大树.csv,LV28血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv029,29,110803000,325,99,1,大树.csv,LV29血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv030,30,210803000,660,99,1,大树.csv,LV30血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv031,31,310803000,665,99,1,大树.csv,LV31血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv032,32,410803000,670,99,1,大树.csv,LV32血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv033,33,510803000,675,99,1,大树.csv,LV33血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv034,34,610803000,680,99,1,大树.csv,LV34血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv035,35,710803000,685,99,1,大树.csv,LV35血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv036,36,810803000,690,99,1,大树.csv,LV36血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv037,37,910803000,695,99,1,大树.csv,LV37血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv038,38,1010803000,700,99,1,大树.csv,LV38血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv039,39,1110803000,705,99,1,大树.csv,LV39血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv040,40,2110803000,1420,99,1,大树.csv,LV40血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv041,41,3110803000,1425,99,1,大树.csv,LV41血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv042,42,4110803000,1430,99,1,大树.csv,LV42血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv043,43,5110803000,1435,99,1,大树.csv,LV43血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv044,44,6110803000,1440,99,1,大树.csv,LV44血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv045,45,7110803000,1445,99,1,大树.csv,LV45血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv046,46,8110803000,1450,99,1,大树.csv,LV46血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv047,47,9110803000,1455,99,1,大树.csv,LV47血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv048,48,10110803000,1460,99,1,大树.csv,LV48血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv049,49,11110803000,1465,99,1,大树.csv,LV49血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv050,50,21110803000,2940,99,1,大树.csv,LV50血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv051,51,31110803000,2945,99,1,大树.csv,LV51血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv052,52,41110803000,2950,99,1,大树.csv,LV52血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv053,53,51110803000,2955,99,1,大树.csv,LV53血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv054,54,61110803000,2960,99,1,大树.csv,LV54血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv055,55,71110803000,2965,99,1,大树.csv,LV55血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv056,56,81110803000,2970,99,1,大树.csv,LV56血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv057,57,91110803000,2975,99,1,大树.csv,LV57血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv058,58,101110803000,2980,99,1,大树.csv,LV58血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv059,59,111110803000,2985,99,1,大树.csv,LV59血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv060,60,211110803000,5980,99,1,大树.csv,LV60血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv061,61,311110803000,5985,99,1,大树.csv,LV61血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv062,62,411110803000,5990,99,1,大树.csv,LV62血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv063,63,511110803000,5995,99,1,大树.csv,LV63血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv064,64,611110803000,6000,99,1,大树.csv,LV64血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv065,65,711110803000,6005,99,1,大树.csv,LV65血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv066,66,811110803000,6010,99,1,大树.csv,LV66血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv067,67,911110803000,6015,99,1,大树.csv,LV67血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv068,68,1011110803000,6020,99,1,大树.csv,LV68血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv069,69,1111110803000,6025,99,1,大树.csv,LV69血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv070,70,2111110803000,12060,99,1,大树.csv,LV70血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv071,71,3111110803000,12065,99,1,大树.csv,LV71血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv072,72,4111110803000,12070,99,1,大树.csv,LV72血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv073,73,5111110803000,12075,99,1,大树.csv,LV73血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv074,74,6111110803000,12080,99,1,大树.csv,LV74血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv075,75,7111110803000,12085,99,1,大树.csv,LV75血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv076,76,8111110803000,12090,99,1,大树.csv,LV76血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv077,77,9111110803000,12095,99,1,大树.csv,LV77血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv078,78,10111110803000,12100,99,1,大树.csv,LV78血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv079,79,11111110803000,12105,99,1,大树.csv,LV79血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv080,80,21111110803000,24220,99,1,大树.csv,LV80血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv081,81,31111110803000,24225,99,1,大树.csv,LV81血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv082,82,41111110803000,24230,99,1,大树.csv,LV82血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv083,83,51111110803000,24235,99,1,大树.csv,LV83血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv084,84,61111110803000,24240,99,1,大树.csv,LV84血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv085,85,71111110803000,24245,99,1,大树.csv,LV85血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv086,86,81111110803000,24250,99,1,大树.csv,LV86血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv087,87,91111110803000,24255,99,1,大树.csv,LV87血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv088,88,101111110803000,24260,99,1,大树.csv,LV88血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv089,89,111111110803000,24265,99,1,大树.csv,LV89血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv090,90,211111110803000,48540,99,1,大树.csv,LV90血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv091,91,311111110803000,48545,99,1,大树.csv,LV91血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv092,92,411111110803000,48550,99,1,大树.csv,LV92血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv093,93,511111110803000,48555,99,1,大树.csv,LV93血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv094,94,611111110803000,48560,99,1,大树.csv,LV94血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv095,95,711111110803000,48565,99,1,大树.csv,LV95血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv096,96,811111110803000,48570,99,1,大树.csv,LV96血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv097,97,911111110803000,48575,99,1,大树.csv,LV97血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv098,98,1011111110803000,48580,99,1,大树.csv,LV98血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv099,99,1111111110803000,48585,99,1,大树.csv,LV99血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
tree_lv100,100,2111111110803000,97180,99,1,大树.csv,LV100血量来自大树.csv；护甲按十级节点增量翻倍并在节点间每级+5。
