component_key,asset_id,component_id,model_path,entity_class,parent_component_id,attach_mode,attachment_point,default_sequence,model_scale,model_skin,material_group,sort_order,enabled,notes
challenge_monster_ember_searing_path:shoulder,challenge_monster_ember_searing_path,shoulder,models/items/ember_spirit/kungfu_master_shoulder/kungfu_master_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Master of the Searing Path Shoulder（物品13301）。
challenge_monster_ember_searing_path:offhand,challenge_monster_ember_searing_path,offhand,models/items/ember_spirit/kungfu_master_off_hand/kungfu_master_off_hand.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,Master of the Searing Path Off-Hand（物品13302）。
challenge_monster_ember_searing_path:belt,challenge_monster_ember_searing_path,belt,models/items/ember_spirit/kungfu_master_belt/kungfu_master_belt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,Master of the Searing Path Belt（物品13361）。
challenge_monster_primal_beast_svarog:arms,challenge_monster_primal_beast_svarog,arms,models/items/primal_beast/pb_primal_feast_arms/pb_primal_feast_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Svarog the Infernal Arms（物品26765）。
challenge_monster_primal_beast_svarog:back,challenge_monster_primal_beast_svarog,back,models/items/primal_beast/pb_primal_feast_back/pb_primal_feast_back.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Svarog the Infernal Back（物品26764）。
challenge_monster_primal_beast_svarog:head,challenge_monster_primal_beast_svarog,head,models/items/primal_beast/pb_primal_feast_head/pb_primal_feast_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Svarog the Infernal Head（物品26763）。
challenge_monster_primal_beast_svarog:legs,challenge_monster_primal_beast_svarog,legs,models/items/primal_beast/pb_primal_feast_legs/pb_primal_feast_legs.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Svarog the Infernal Legs（物品26762）。
challenge_monster_spectre_phantom_advent:head,challenge_monster_spectre_phantom_advent,head,models/items/spectre/spectre_arcana/spectre_arcana_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Phantom Advent Arcana主体头部（物品9662）。
challenge_monster_spectre_phantom_advent:shoulder,challenge_monster_spectre_phantom_advent,shoulder,models/items/spectre/spectre_arcana/spectre_arcana_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Phantom Advent Shoulders（物品9663）。
challenge_monster_spectre_phantom_advent:weapon,challenge_monster_spectre_phantom_advent,weapon,models/items/spectre/spectre_arcana/spectre_arcana_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Phantom Advent Weapon（物品12312）。
challenge_monster_spectre_phantom_advent:bracers,challenge_monster_spectre_phantom_advent,bracers,models/items/spectre/spectre_arcana/spectre_arcana_misc.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Phantom Advent Bracers（物品12313）。
challenge_monster_spectre_phantom_advent:belt,challenge_monster_spectre_phantom_advent,belt,models/items/spectre/spectre_arcana/spectre_arcana_skirt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,Phantom Advent Belt（物品12314）。
challenge_monster_terrorblade_fractal_horns:head,challenge_monster_terrorblade_fractal_horns,head,models/heroes/terrorblade/horns_arcana.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Fractal Horns of Inner Abysm头部（物品5957）。
monster_default_wraith_king:head,monster_default_wraith_king,head,models/heroes/wraith_king/wraith_king_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Verified default Wraith King head.
monster_default_wraith_king:weapon,monster_default_wraith_king,weapon,models/heroes/wraith_king/wraith_king_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Verified default Wraith King weapon.
monster_default_wraith_king:shoulder,monster_default_wraith_king,shoulder,models/heroes/wraith_king/wraith_king_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Verified default Wraith King shoulder.
monster_default_wraith_king:arms,monster_default_wraith_king,arms,models/heroes/wraith_king/wraith_king_gauntlet.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Verified default Wraith King arms.
monster_default_wraith_king:back,monster_default_wraith_king,back,models/heroes/wraith_king/wraith_king_cape.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,Verified default Wraith King back.
monster_default_wraith_king:armor,monster_default_wraith_king,armor,models/heroes/wraith_king/wraith_king_chest.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,Verified default Wraith King armor.
monster_default_lich:belt,monster_default_lich,belt,models/heroes/lich/lich_dress.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Verified default Lich belt.
monster_default_lich:neck,monster_default_lich,neck,models/heroes/lich/lich_neck_rock.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Verified default Lich neck.
monster_default_lich:arms,monster_default_lich,arms,models/heroes/lich/lich_bracer.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Verified default Lich arms.
monster_default_lich:back,monster_default_lich,back,models/heroes/lich/lich_horns.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Verified default Lich back.
monster_default_warlock:weapon,monster_default_warlock,weapon,models/heroes/warlock/warlock_staff.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Verified default Warlock weapon.
monster_default_warlock:offhand,monster_default_warlock,offhand,models/heroes/warlock/warlock_lantern.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Verified default Warlock offhand.
monster_default_warlock:head,monster_default_warlock,head,models/heroes/warlock/warlock_cape.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Verified default Warlock head.
monster_default_warlock:shoulder,monster_default_warlock,shoulder,models/heroes/warlock/warlock_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Verified default Warlock shoulder.
monster_default_warlock:arms,monster_default_warlock,arms,models/heroes/warlock/warlock_bracers.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,Verified default Warlock arms.
monster_default_warlock:back,monster_default_warlock,back,models/heroes/warlock/warlock_robe.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,Verified default Warlock back.
monster_default_warlock:belt,monster_default_warlock,belt,models/heroes/warlock/warlock_bag.vmdl,prop_dynamic,,bone_merge,,idle,1,,,7,1,Verified default Warlock belt.
monster_default_sniper:weapon,monster_default_sniper,weapon,models/heroes/sniper/weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Verified default Sniper weapon.
monster_default_sniper:back,monster_default_sniper,back,models/heroes/sniper/cape.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Verified default Sniper back.
monster_default_sniper:head,monster_default_sniper,head,models/heroes/sniper/headitem.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Verified default Sniper head.
monster_default_sniper:shoulder,monster_default_sniper,shoulder,models/heroes/sniper/shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Verified default Sniper shoulder.
monster_default_sniper:arms,monster_default_sniper,arms,models/heroes/sniper/bracer.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,Verified default Sniper arms.
monster_default_juggernaut:arms,monster_default_juggernaut,arms,models/heroes/juggernaut/jugg_bracers.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Verified default Juggernaut arms.
monster_default_juggernaut:back,monster_default_juggernaut,back,models/heroes/juggernaut/jugg_cape.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Verified default Juggernaut back.
monster_default_juggernaut:head,monster_default_juggernaut,head,models/heroes/juggernaut/jugg_mask.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Verified default Juggernaut head.
monster_default_juggernaut:legs,monster_default_juggernaut,legs,models/heroes/juggernaut/juggernaut_pants.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Verified default Juggernaut legs.
monster_default_juggernaut:weapon,monster_default_juggernaut,weapon,models/heroes/juggernaut/jugg_sword.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,Verified default Juggernaut weapon.
hero_permanent_hero_axe:wearable_1,hero_permanent_hero_axe,wearable_1,models/items/axe/searing_annihilator_head/searing_annihilator_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,斧王现有Searing Annihilator头部。
hero_permanent_hero_axe:wearable_2,hero_permanent_hero_axe,wearable_2,models/items/axe/searing_annihilator_armor/searing_annihilator_armor.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,斧王现有Searing Annihilator护甲。
hero_permanent_hero_axe:wearable_3,hero_permanent_hero_axe,wearable_3,models/items/axe/searing_annihilator_weapon/searing_annihilator_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,斧王现有Searing Annihilator武器。
hero_permanent_hero_axe:wearable_4,hero_permanent_hero_axe,wearable_4,models/items/axe/searing_annihilator_belt/searing_annihilator_belt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,斧王现有Searing Annihilator腰带。
hero_permanent_hero_axe:wearable_5,hero_permanent_hero_axe,wearable_5,models/items/axe/searing_annihilator_arms/searing_annihilator_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,斧王现有Searing Annihilator手臂。
hero_permanent_hero_monkey_king:default_head,hero_permanent_hero_monkey_king,default_head,models/heroes/monkey_king/monkey_king_hair.vmdl,dota_item_wearable,,bone_merge,,idle,1,,,1,1,齐天大圣官方default_item头部（物品594）。
hero_permanent_hero_monkey_king:default_armor,hero_permanent_hero_monkey_king,default_armor,models/heroes/monkey_king/monkey_king_armor.vmdl,dota_item_wearable,,bone_merge,,idle,1,,,2,1,齐天大圣官方default_item护甲（物品608）。
hero_permanent_hero_monkey_king:default_weapon,hero_permanent_hero_monkey_king,default_weapon,models/heroes/monkey_king/monkey_king_base_weapon.vmdl,dota_item_wearable,,bone_merge,,idle,1,,,3,1,齐天大圣官方default_item武器（物品609）。
hero_permanent_hero_monkey_king:default_shoulders,hero_permanent_hero_monkey_king,default_shoulders,models/heroes/monkey_king/monkey_king_shoulders.vmdl,dota_item_wearable,,bone_merge,,idle,1,,,4,1,齐天大圣官方default_item肩部（物品657）。
tower_death_templar_assassin:death_templar_assassin_armor,tower_death_templar_assassin,death_templar_assassin_armor,models/items/lanaya/templar_assasin_false_devotion_armor/templar_assasin_false_devotion_armor.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=death_templar_assassin_armor; item_def=28624; hero_unit_name=npc_dota_hero_templar_assassin; slot=armor
tower_death_templar_assassin:death_templar_assassin_head,tower_death_templar_assassin,death_templar_assassin_head,models/items/lanaya/templar_assasin_false_devotion_head/templar_assasin_false_devotion_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=death_templar_assassin_head; item_def=28735; hero_unit_name=npc_dota_hero_templar_assassin; slot=head
tower_death_templar_assassin:death_templar_assassin_shoulder,tower_death_templar_assassin,death_templar_assassin_shoulder,models/items/lanaya/templar_assasin_false_devotion_shoulder/templar_assasin_false_devotion_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=death_templar_assassin_shoulder; item_def=28736; hero_unit_name=npc_dota_hero_templar_assassin; slot=shoulder
tower_death_templar_assassin:death_templar_assassin_weapon,tower_death_templar_assassin,death_templar_assassin_weapon,models/items/lanaya/templar_assasin_false_devotion_weapon/templar_assasin_false_devotion_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=death_templar_assassin_weapon; item_def=28738; hero_unit_name=npc_dota_hero_templar_assassin; slot=weapon
tower_death_nevermore_sundered_souls:death_wraith_king_arms,tower_death_nevermore_sundered_souls,death_wraith_king_arms,models/items/wraith_king/wraith_king_darkfeather_tyrant_arms/wraith_king_darkfeather_tyrant_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=death_wraith_king_arms; item_def=28604; hero_unit_name=npc_dota_hero_skeleton_king; slot=arms
tower_death_nevermore_sundered_souls:death_wraith_king_armor,tower_death_nevermore_sundered_souls,death_wraith_king_armor,models/items/wraith_king/wraith_king_darkfeather_tyrant_armor/wraith_king_darkfeather_tyrant_armor.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=death_wraith_king_armor; item_def=28626; hero_unit_name=npc_dota_hero_skeleton_king; slot=armor
tower_death_nevermore_sundered_souls:death_wraith_king_back,tower_death_nevermore_sundered_souls,death_wraith_king_back,models/items/wraith_king/wraith_king_darkfeather_tyrant_back/wraith_king_darkfeather_tyrant_back.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=death_wraith_king_back; item_def=28628; hero_unit_name=npc_dota_hero_skeleton_king; slot=back
tower_death_nevermore_sundered_souls:death_wraith_king_head,tower_death_nevermore_sundered_souls,death_wraith_king_head,models/items/wraith_king/wraith_king_darkfeather_tyrant_head/wraith_king_darkfeather_tyrant_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=death_wraith_king_head; item_def=28629; hero_unit_name=npc_dota_hero_skeleton_king; slot=head
tower_death_nevermore_sundered_souls:death_wraith_king_shoulder,tower_death_nevermore_sundered_souls,death_wraith_king_shoulder,models/items/wraith_king/wraith_king_darkfeather_tyrant_shoulder/wraith_king_darkfeather_tyrant_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=death_wraith_king_shoulder; item_def=28630; hero_unit_name=npc_dota_hero_skeleton_king; slot=shoulder
tower_death_nevermore_sundered_souls:death_wraith_king_weapon,tower_death_nevermore_sundered_souls,death_wraith_king_weapon,models/items/wraith_king/wraith_king_darkfeather_tyrant_weapon/wraith_king_darkfeather_tyrant_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,source=asset_native_wearables.csv; wearable_key=death_wraith_king_weapon; item_def=28631; hero_unit_name=npc_dota_hero_skeleton_king; slot=weapon
tower_death_warlock_seam_ripper:death_phantom_assassin_weapon,tower_death_warlock_seam_ripper,death_phantom_assassin_weapon,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_weapon/ti9_cache_pa_gothic_hunter_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=death_phantom_assassin_weapon; item_def=13476; hero_unit_name=npc_dota_hero_phantom_assassin; slot=weapon
tower_death_warlock_seam_ripper:death_phantom_assassin_shoulder,tower_death_warlock_seam_ripper,death_phantom_assassin_shoulder,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_shoulder/ti9_cache_pa_gothic_hunter_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=death_phantom_assassin_shoulder; item_def=13477; hero_unit_name=npc_dota_hero_phantom_assassin; slot=shoulder
tower_death_warlock_seam_ripper:death_phantom_assassin_head,tower_death_warlock_seam_ripper,death_phantom_assassin_head,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_head/ti9_cache_pa_gothic_hunter_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=death_phantom_assassin_head; item_def=13478; hero_unit_name=npc_dota_hero_phantom_assassin; slot=head
tower_death_warlock_seam_ripper:death_phantom_assassin_belt,tower_death_warlock_seam_ripper,death_phantom_assassin_belt,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_belt/ti9_cache_pa_gothic_hunter_belt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=death_phantom_assassin_belt; item_def=13479; hero_unit_name=npc_dota_hero_phantom_assassin; slot=belt
tower_death_warlock_seam_ripper:death_phantom_assassin_back,tower_death_warlock_seam_ripper,death_phantom_assassin_back,models/items/phantom_assassin/ti9_cache_pa_gothic_hunter_back/ti9_cache_pa_gothic_hunter_back.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=death_phantom_assassin_back; item_def=13480; hero_unit_name=npc_dota_hero_phantom_assassin; slot=back
tower_frost_lich_rime_lord:frost_lich_back,tower_frost_lich_rime_lord,frost_lich_back,models/items/lich/lich_rime_lord_back/lich_rime_lord_back.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=frost_lich_back; item_def=9560; hero_unit_name=npc_dota_hero_lich; slot=back
tower_frost_lich_rime_lord:frost_lich_belt,tower_frost_lich_rime_lord,frost_lich_belt,models/items/lich/lich_rime_lord_belt/lich_rime_lord_belt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=frost_lich_belt; item_def=9561; hero_unit_name=npc_dota_hero_lich; slot=belt
tower_frost_lich_rime_lord:frost_lich_arms,tower_frost_lich_rime_lord,frost_lich_arms,models/items/lich/lich_rime_lord_arms/lich_rime_lord_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=frost_lich_arms; item_def=12636; hero_unit_name=npc_dota_hero_lich; slot=arms
tower_frost_lich_rime_lord:frost_lich_neck,tower_frost_lich_rime_lord,frost_lich_neck,models/items/lich/lich_rime_lord_neck/lich_rime_lord_neck.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=frost_lich_neck; item_def=12637; hero_unit_name=npc_dota_hero_lich; slot=neck
tower_frost_lich_rime_lord:frost_lich_head,tower_frost_lich_rime_lord,frost_lich_head,models/items/lich/lich_rime_lord_head/lich_rime_lord_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=frost_lich_head; item_def=12638; hero_unit_name=npc_dota_hero_lich; slot=head
tower_frost_crystal_maiden_winter_raven:frost_crystal_maiden_arms,tower_frost_crystal_maiden_winter_raven,frost_crystal_maiden_arms,models/items/crystal_maiden/cm_screeauk/cm_screeauk_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=frost_crystal_maiden_arms; item_def=27212; hero_unit_name=npc_dota_hero_crystal_maiden; slot=arms
tower_frost_crystal_maiden_winter_raven:frost_crystal_maiden_back,tower_frost_crystal_maiden_winter_raven,frost_crystal_maiden_back,models/items/crystal_maiden/cm_screeauk/cm_screeauk_back.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=frost_crystal_maiden_back; item_def=27295; hero_unit_name=npc_dota_hero_crystal_maiden; slot=back
tower_frost_crystal_maiden_winter_raven:frost_crystal_maiden_head,tower_frost_crystal_maiden_winter_raven,frost_crystal_maiden_head,models/items/crystal_maiden/cm_screeauk/cm_screeauk_head_refit.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=frost_crystal_maiden_head; item_def=27561; hero_unit_name=npc_dota_hero_crystal_maiden; slot=head
tower_frost_crystal_maiden_winter_raven:frost_crystal_maiden_shoulder,tower_frost_crystal_maiden_winter_raven,frost_crystal_maiden_shoulder,models/items/crystal_maiden/cm_screeauk/cm_screeauk_shoulder_refit.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=frost_crystal_maiden_shoulder; item_def=27562; hero_unit_name=npc_dota_hero_crystal_maiden; slot=shoulder
tower_frost_crystal_maiden_winter_raven:frost_crystal_maiden_weapon,tower_frost_crystal_maiden_winter_raven,frost_crystal_maiden_weapon,models/items/crystal_maiden/cm_screeauk/cm_screeauk_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=frost_crystal_maiden_weapon; item_def=27563; hero_unit_name=npc_dota_hero_crystal_maiden; slot=weapon
tower_frost_crystal_maiden_winter_raven:frost_crystal_maiden_arcana_back,tower_frost_crystal_maiden_winter_raven,frost_crystal_maiden_arcana_back,models/heroes/crystal_maiden/crystal_maiden_arcana_back_refit.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,source=asset_native_wearables.csv; wearable_key=frost_crystal_maiden_arcana_back; item_def=7385; hero_unit_name=npc_dota_hero_crystal_maiden; slot=arcana_back
tower_frost_ancient_apparition:frost_ancient_apparition_tail,tower_frost_ancient_apparition,frost_ancient_apparition_tail,models/items/ancient_apparition/extremely_cold_shackles_tail/extremely_cold_shackles_tail.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=frost_ancient_apparition_tail; item_def=14162; hero_unit_name=npc_dota_hero_ancient_apparition; slot=tail
tower_frost_ancient_apparition:frost_ancient_apparition_shoulder,tower_frost_ancient_apparition,frost_ancient_apparition_shoulder,models/items/ancient_apparition/extremely_cold_shackles_shoulder/extremely_cold_shackles_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=frost_ancient_apparition_shoulder; item_def=14163; hero_unit_name=npc_dota_hero_ancient_apparition; slot=shoulder
tower_frost_ancient_apparition:frost_ancient_apparition_head,tower_frost_ancient_apparition,frost_ancient_apparition_head,models/items/ancient_apparition/extremely_cold_shackles_head/extremely_cold_shackles_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=frost_ancient_apparition_head; item_def=14164; hero_unit_name=npc_dota_hero_ancient_apparition; slot=head
tower_frost_ancient_apparition:frost_ancient_apparition_arms,tower_frost_ancient_apparition,frost_ancient_apparition_arms,models/items/ancient_apparition/extremely_cold_shackles_arms/extremely_cold_shackles_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=frost_ancient_apparition_arms; item_def=14165; hero_unit_name=npc_dota_hero_ancient_apparition; slot=arms
tower_lightning_zeus_tempest:lightning_zeus_head,tower_lightning_zeus_tempest,lightning_zeus_head,models/heroes/zeus/zeus_hair_arcana.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=lightning_zeus_head; item_def=6914; hero_unit_name=npc_dota_hero_zuus; slot=head
tower_lightning_leshrac:lightning_leshrac_head,tower_lightning_leshrac,lightning_leshrac_head,models/items/leshrac/dark_forest_punisher_head/dark_forest_punisher_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=lightning_leshrac_head; item_def=14212; hero_unit_name=npc_dota_hero_leshrac; slot=head
tower_lightning_leshrac:lightning_leshrac_weapon,tower_lightning_leshrac,lightning_leshrac_weapon,models/items/leshrac/dark_forest_punisher_weapon/dark_forest_punisher_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=lightning_leshrac_weapon; item_def=14213; hero_unit_name=npc_dota_hero_leshrac; slot=weapon
tower_lightning_leshrac:lightning_leshrac_tail,tower_lightning_leshrac,lightning_leshrac_tail,models/items/leshrac/dark_forest_punisher_tail/dark_forest_punisher_tail.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=lightning_leshrac_tail; item_def=14214; hero_unit_name=npc_dota_hero_leshrac; slot=tail
tower_lightning_leshrac:lightning_leshrac_misc,tower_lightning_leshrac,lightning_leshrac_misc,models/items/leshrac/dark_forest_punisher_misc/dark_forest_punisher_misc.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=lightning_leshrac_misc; item_def=14215; hero_unit_name=npc_dota_hero_leshrac; slot=misc
tower_lightning_leshrac:lightning_leshrac_back,tower_lightning_leshrac,lightning_leshrac_back,models/items/leshrac/dark_forest_punisher_back/dark_forest_punisher_back.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=lightning_leshrac_back; item_def=14216; hero_unit_name=npc_dota_hero_leshrac; slot=back
tower_lightning_razor_voidstorm:lightning_razor_weapon,tower_lightning_razor_voidstorm,lightning_razor_weapon,models/items/razor/razor_arcana/razor_arcana_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=lightning_razor_weapon; item_def=23095; hero_unit_name=npc_dota_hero_razor; slot=weapon
tower_lightning_razor_voidstorm:lightning_razor_head,tower_lightning_razor_voidstorm,lightning_razor_head,models/items/razor/razor_arcana/razor_arcana_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=lightning_razor_head; item_def=23096; hero_unit_name=npc_dota_hero_razor; slot=head
