record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,base_attack_speed,upgrade_gold,upgrade_wood,population_delta,skill_ids,enabled,notes,model_name,projectile_model,active_skill_ids,upgrade_description
arcane_cannon_lv04,arcane_cannon,arcane_cannon_lv04,魔能炮LV4,R,4,5,75101,1,10000,100000,0,laser_lv05|arcane_cannon_lv04,1,,models/heroes/obsidian_destroyer/obsidian_destroyer.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +75101　💰 10000　🌲 100000
arcane_cannon_lv05,arcane_cannon,arcane_cannon_lv05,魔能炮LV5,R,5,5,108101,1,20000,100000,0,laser_lv05|arcane_cannon_lv05,1,,models/heroes/obsidian_destroyer/obsidian_destroyer.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +108101　💰 20000　🌲 100000
arcane_eye_lv01,arcane_eye,arcane_eye_lv01,魔能之眼LV1,SR,1,10,308101,1,30000,200000,2,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,由上一阶段转职；技能均为被动技能。,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +308101　💰 30000　🌲 200000
arcane_eye_lv02,arcane_eye,arcane_eye_lv02,魔能之眼LV2,SR,2,10,508101,1,60000,200000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +508101　💰 60000　🌲 200000
arcane_eye_lv03,arcane_eye,arcane_eye_lv03,魔能之眼LV3,SR,3,10,808101,1,90000,200000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +808101　💰 90000　🌲 200000
arcane_eye_lv04,arcane_eye,arcane_eye_lv04,魔能之眼LV4,SR,4,10,1008101,1,120000,200000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +1008101　💰 120000　🌲 200000
arcane_eye_lv05,arcane_eye,arcane_eye_lv05,魔能之眼LV5,SR,5,10,1508101,1,150000,200000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +1508101　💰 150000　🌲 200000
arcane_eye_lv06,arcane_eye,arcane_eye_lv06,魔能之眼LV6,SSR,6,10,2008101,1,200000,400000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +2008101　💰 200000　🌲 400000
arcane_eye_lv07,arcane_eye,arcane_eye_lv07,魔能之眼LV7,SSR,7,10,3008101,1,250000,500000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +3008101　💰 250000　🌲 500000
arcane_eye_lv08,arcane_eye,arcane_eye_lv08,魔能之眼LV8,SSR,8,10,4008101,1,300000,600000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +4008101　💰 300000　🌲 600000
arcane_eye_lv09,arcane_eye,arcane_eye_lv09,魔能之眼LV9,SSR,9,10,5008101,1,350000,700000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +5008101　💰 350000　🌲 700000
arcane_eye_lv10,arcane_eye,arcane_eye_lv10,魔能之眼LV10,SSR,10,10,6008101,1,400000,800000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,,models/heroes/zuus/zuus.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +6008101　💰 400000　🌲 800000
