challenge_wave_id,difficulty_id,challenge_id,display_name,wave_number,health,attack,armor,attack_speed,is_boss,enabled,notes
n1_challenge_monster_03_wave_03,N1,challenge_monster_03,红龙,3,3000,2,30,1,1,1,N1临时数据，复制N1独立挑战第3次数值。
n1_challenge_monster_04_wave_03,N1,challenge_monster_04,剑圣,3,3000,2,30,1,1,1,N1临时数据，复制N1独立挑战第3次数值。
n1_challenge_monster_05_wave_03,N1,challenge_monster_05,炼金,3,3000,2,30,1,1,1,N1临时数据，复制N1独立挑战第3次数值。
n1_challenge_monster_01_wave_04,N1,challenge_monster_01,山岭巨人,4,4000,2,40,1,1,1,N1临时数据，复制N1独立挑战第4次数值。
n1_challenge_monster_02_wave_04,N1,challenge_monster_02,树人,4,4000,2,40,1,1,1,N1临时数据，复制N1独立挑战第4次数值。
n1_challenge_monster_03_wave_04,N1,challenge_monster_03,红龙,4,4000,2,40,1,1,1,N1临时数据，复制N1独立挑战第4次数值。
n1_challenge_monster_04_wave_04,N1,challenge_monster_04,剑圣,4,4000,2,40,1,1,1,N1临时数据，复制N1独立挑战第4次数值。
n1_challenge_monster_05_wave_04,N1,challenge_monster_05,炼金,4,4000,2,40,1,1,1,N1临时数据，复制N1独立挑战第4次数值。
n1_challenge_monster_01_wave_05,N1,challenge_monster_01,山岭巨人,5,5000,2,50,1,1,1,N1临时数据，复制N1独立挑战第5次数值。
n1_challenge_monster_02_wave_05,N1,challenge_monster_02,树人,5,5000,2,50,1,1,1,N1临时数据，复制N1独立挑战第5次数值。
n1_challenge_monster_03_wave_05,N1,challenge_monster_03,红龙,5,5000,2,50,1,1,1,N1临时数据，复制N1独立挑战第5次数值。
n1_challenge_monster_04_wave_05,N1,challenge_monster_04,剑圣,5,5000,2,50,1,1,1,N1临时数据，复制N1独立挑战第5次数值。
n1_challenge_monster_05_wave_05,N1,challenge_monster_05,炼金,5,5000,2,50,1,1,1,N1临时数据，复制N1独立挑战第5次数值。
n1_challenge_monster_01_wave_06,N1,challenge_monster_01,山岭巨人,6,6000,2,60,1,1,1,N1临时数据，复制N1独立挑战第6次数值。
n1_challenge_monster_02_wave_06,N1,challenge_monster_02,树人,6,6000,2,60,1,1,1,N1临时数据，复制N1独立挑战第6次数值。
n1_challenge_monster_03_wave_06,N1,challenge_monster_03,红龙,6,6000,2,60,1,1,1,N1临时数据，复制N1独立挑战第6次数值。
n1_challenge_monster_04_wave_06,N1,challenge_monster_04,剑圣,6,6000,2,60,1,1,1,N1临时数据，复制N1独立挑战第6次数值。
n1_challenge_monster_05_wave_06,N1,challenge_monster_05,炼金,6,6000,2,60,1,1,1,N1临时数据，复制N1独立挑战第6次数值。
n1_challenge_monster_01_wave_07,N1,challenge_monster_01,山岭巨人,7,7000,2,70,1,1,1,N1临时数据，复制N1独立挑战第7次数值。
n1_challenge_monster_02_wave_07,N1,challenge_monster_02,树人,7,7000,2,70,1,1,1,N1临时数据，复制N1独立挑战第7次数值。
n1_challenge_monster_03_wave_07,N1,challenge_monster_03,红龙,7,7000,2,70,1,1,1,N1临时数据，复制N1独立挑战第7次数值。
n1_challenge_monster_04_wave_07,N1,challenge_monster_04,剑圣,7,7000,2,70,1,1,1,N1临时数据，复制N1独立挑战第7次数值。
n1_challenge_monster_05_wave_07,N1,challenge_monster_05,炼金,7,7000,2,70,1,1,1,N1临时数据，复制N1独立挑战第7次数值。
n1_challenge_monster_01_wave_08,N1,challenge_monster_01,山岭巨人,8,8000,2,80,1,1,1,N1临时数据，复制N1独立挑战第8次数值。
n1_challenge_monster_02_wave_08,N1,challenge_monster_02,树人,8,8000,2,80,1,1,1,N1临时数据，复制N1独立挑战第8次数值。
n1_challenge_monster_03_wave_08,N1,challenge_monster_03,红龙,8,8000,2,80,1,1,1,N1临时数据，复制N1独立挑战第8次数值。
n1_challenge_monster_04_wave_08,N1,challenge_monster_04,剑圣,8,8000,2,80,1,1,1,N1临时数据，复制N1独立挑战第8次数值。
n1_challenge_monster_05_wave_08,N1,challenge_monster_05,炼金,8,8000,2,80,1,1,1,N1临时数据，复制N1独立挑战第8次数值。
n1_challenge_monster_01_wave_09,N1,challenge_monster_01,山岭巨人,9,9000,2,90,1,1,1,N1临时数据，复制N1独立挑战第9次数值。
n1_challenge_monster_02_wave_09,N1,challenge_monster_02,树人,9,9000,2,90,1,1,1,N1临时数据，复制N1独立挑战第9次数值。
n1_challenge_monster_03_wave_09,N1,challenge_monster_03,红龙,9,9000,2,90,1,1,1,N1临时数据，复制N1独立挑战第9次数值。
n1_challenge_monster_04_wave_09,N1,challenge_monster_04,剑圣,9,9000,2,90,1,1,1,N1临时数据，复制N1独立挑战第9次数值。
n1_challenge_monster_05_wave_09,N1,challenge_monster_05,炼金,9,9000,2,90,1,1,1,N1临时数据，复制N1独立挑战第9次数值。
n1_challenge_monster_01_wave_10,N1,challenge_monster_01,山岭巨人,10,10000,2,100,1,1,1,N1临时数据，复制N1独立挑战第10次数值。
n1_challenge_monster_02_wave_10,N1,challenge_monster_02,树人,10,10000,2,100,1,1,1,N1临时数据，复制N1独立挑战第10次数值。
n1_challenge_monster_03_wave_10,N1,challenge_monster_03,红龙,10,10000,2,100,1,1,1,N1临时数据，复制N1独立挑战第10次数值。
n1_challenge_monster_04_wave_10,N1,challenge_monster_04,剑圣,10,10000,2,100,1,1,1,N1临时数据，复制N1独立挑战第10次数值。
n1_challenge_monster_05_wave_10,N1,challenge_monster_05,炼金,10,10000,2,100,1,1,1,N1临时数据，复制N1独立挑战第10次数值。
n1_challenge_monster_01_wave_11,N1,challenge_monster_01,山岭巨人,11,11000,2,110,1,1,1,N1临时数据，复制N1独立挑战第11次数值。
n1_challenge_monster_02_wave_11,N1,challenge_monster_02,树人,11,11000,2,110,1,1,1,N1临时数据，复制N1独立挑战第11次数值。
n1_challenge_monster_03_wave_11,N1,challenge_monster_03,红龙,11,11000,2,110,1,1,1,N1临时数据，复制N1独立挑战第11次数值。
n1_challenge_monster_04_wave_11,N1,challenge_monster_04,剑圣,11,11000,2,110,1,1,1,N1临时数据，复制N1独立挑战第11次数值。
n1_challenge_monster_05_wave_11,N1,challenge_monster_05,炼金,11,11000,2,110,1,1,1,N1临时数据，复制N1独立挑战第11次数值。
n1_challenge_monster_01_wave_12,N1,challenge_monster_01,山岭巨人,12,12000,2,120,1,1,1,N1临时数据，复制N1独立挑战第12次数值。
n1_challenge_monster_02_wave_12,N1,challenge_monster_02,树人,12,12000,2,120,1,1,1,N1临时数据，复制N1独立挑战第12次数值。
n1_challenge_monster_03_wave_12,N1,challenge_monster_03,红龙,12,12000,2,120,1,1,1,N1临时数据，复制N1独立挑战第12次数值。
n1_challenge_monster_04_wave_12,N1,challenge_monster_04,剑圣,12,12000,2,120,1,1,1,N1临时数据，复制N1独立挑战第12次数值。
n1_challenge_monster_05_wave_12,N1,challenge_monster_05,炼金,12,12000,2,120,1,1,1,N1临时数据，复制N1独立挑战第12次数值。
n1_challenge_monster_01_wave_13,N1,challenge_monster_01,山岭巨人,13,13000,2,130,1,1,1,N1临时数据，复制N1独立挑战第13次数值。
n1_challenge_monster_02_wave_13,N1,challenge_monster_02,树人,13,13000,2,130,1,1,1,N1临时数据，复制N1独立挑战第13次数值。
n1_challenge_monster_03_wave_13,N1,challenge_monster_03,红龙,13,13000,2,130,1,1,1,N1临时数据，复制N1独立挑战第13次数值。
n1_challenge_monster_04_wave_13,N1,challenge_monster_04,剑圣,13,13000,2,130,1,1,1,N1临时数据，复制N1独立挑战第13次数值。
n1_challenge_monster_05_wave_13,N1,challenge_monster_05,炼金,13,13000,2,130,1,1,1,N1临时数据，复制N1独立挑战第13次数值。
n1_challenge_monster_01_wave_14,N1,challenge_monster_01,山岭巨人,14,14000,2,140,1,1,1,N1临时数据，复制N1独立挑战第14次数值。
n1_challenge_monster_02_wave_14,N1,challenge_monster_02,树人,14,14000,2,140,1,1,1,N1临时数据，复制N1独立挑战第14次数值。
n1_challenge_monster_03_wave_14,N1,challenge_monster_03,红龙,14,14000,2,140,1,1,1,N1临时数据，复制N1独立挑战第14次数值。
n1_challenge_monster_04_wave_14,N1,challenge_monster_04,剑圣,14,14000,2,140,1,1,1,N1临时数据，复制N1独立挑战第14次数值。
n1_challenge_monster_05_wave_14,N1,challenge_monster_05,炼金,14,14000,2,140,1,1,1,N1临时数据，复制N1独立挑战第14次数值。
n1_challenge_monster_01_wave_15,N1,challenge_monster_01,山岭巨人,15,15000,2,150,1,1,1,N1临时数据，复制N1独立挑战第15次数值。
n1_challenge_monster_02_wave_15,N1,challenge_monster_02,树人,15,15000,2,150,1,1,1,N1临时数据，复制N1独立挑战第15次数值。
n1_challenge_monster_03_wave_15,N1,challenge_monster_03,红龙,15,15000,2,150,1,1,1,N1临时数据，复制N1独立挑战第15次数值。
n1_challenge_monster_04_wave_15,N1,challenge_monster_04,剑圣,15,15000,2,150,1,1,1,N1临时数据，复制N1独立挑战第15次数值。
n1_challenge_monster_05_wave_15,N1,challenge_monster_05,炼金,15,15000,2,150,1,1,1,N1临时数据，复制N1独立挑战第15次数值。
n1_challenge_monster_01_wave_16,N1,challenge_monster_01,山岭巨人,16,16000,2,160,1,1,1,N1临时数据，复制N1独立挑战第16次数值。
n1_challenge_monster_02_wave_16,N1,challenge_monster_02,树人,16,16000,2,160,1,1,1,N1临时数据，复制N1独立挑战第16次数值。
n1_challenge_monster_03_wave_16,N1,challenge_monster_03,红龙,16,16000,2,160,1,1,1,N1临时数据，复制N1独立挑战第16次数值。
n1_challenge_monster_04_wave_16,N1,challenge_monster_04,剑圣,16,16000,2,160,1,1,1,N1临时数据，复制N1独立挑战第16次数值。
n1_challenge_monster_05_wave_16,N1,challenge_monster_05,炼金,16,16000,2,160,1,1,1,N1临时数据，复制N1独立挑战第16次数值。
n1_challenge_monster_01_wave_17,N1,challenge_monster_01,山岭巨人,17,17000,2,170,1,1,1,N1临时数据，复制N1独立挑战第17次数值。
n1_challenge_monster_02_wave_17,N1,challenge_monster_02,树人,17,17000,2,170,1,1,1,N1临时数据，复制N1独立挑战第17次数值。
n1_challenge_monster_03_wave_17,N1,challenge_monster_03,红龙,17,17000,2,170,1,1,1,N1临时数据，复制N1独立挑战第17次数值。
n1_challenge_monster_04_wave_17,N1,challenge_monster_04,剑圣,17,17000,2,170,1,1,1,N1临时数据，复制N1独立挑战第17次数值。
n1_challenge_monster_05_wave_17,N1,challenge_monster_05,炼金,17,17000,2,170,1,1,1,N1临时数据，复制N1独立挑战第17次数值。
n1_challenge_monster_01_wave_18,N1,challenge_monster_01,山岭巨人,18,18000,2,180,1,1,1,N1临时数据，复制N1独立挑战第18次数值。
n1_challenge_monster_02_wave_18,N1,challenge_monster_02,树人,18,18000,2,180,1,1,1,N1临时数据，复制N1独立挑战第18次数值。
n1_challenge_monster_03_wave_18,N1,challenge_monster_03,红龙,18,18000,2,180,1,1,1,N1临时数据，复制N1独立挑战第18次数值。
n1_challenge_monster_04_wave_18,N1,challenge_monster_04,剑圣,18,18000,2,180,1,1,1,N1临时数据，复制N1独立挑战第18次数值。
n1_challenge_monster_05_wave_18,N1,challenge_monster_05,炼金,18,18000,2,180,1,1,1,N1临时数据，复制N1独立挑战第18次数值。
n1_challenge_monster_01_wave_19,N1,challenge_monster_01,山岭巨人,19,19000,2,190,1,1,1,N1临时数据，复制N1独立挑战第19次数值。
n1_challenge_monster_02_wave_19,N1,challenge_monster_02,树人,19,19000,2,190,1,1,1,N1临时数据，复制N1独立挑战第19次数值。
n1_challenge_monster_03_wave_19,N1,challenge_monster_03,红龙,19,19000,2,190,1,1,1,N1临时数据，复制N1独立挑战第19次数值。
n1_challenge_monster_04_wave_19,N1,challenge_monster_04,剑圣,19,19000,2,190,1,1,1,N1临时数据，复制N1独立挑战第19次数值。
n1_challenge_monster_05_wave_19,N1,challenge_monster_05,炼金,19,19000,2,190,1,1,1,N1临时数据，复制N1独立挑战第19次数值。
n1_challenge_monster_01_wave_20,N1,challenge_monster_01,山岭巨人,20,20000,2,200,1,1,1,N1临时数据，复制N1独立挑战第20次数值。
n1_challenge_monster_02_wave_20,N1,challenge_monster_02,树人,20,20000,2,200,1,1,1,N1临时数据，复制N1独立挑战第20次数值。
n1_challenge_monster_03_wave_20,N1,challenge_monster_03,红龙,20,20000,2,200,1,1,1,N1临时数据，复制N1独立挑战第20次数值。
n1_challenge_monster_04_wave_20,N1,challenge_monster_04,剑圣,20,20000,2,200,1,1,1,N1临时数据，复制N1独立挑战第20次数值。
n1_challenge_monster_05_wave_20,N1,challenge_monster_05,炼金,20,20000,2,200,1,1,1,N1临时数据，复制N1独立挑战第20次数值。
n2_challenge_monster_01_wave_01,N2,challenge_monster_01,山岭巨人,1,6000,2,10,1,1,1,N2临时数据，复制N1独立挑战第1次数值。
n2_challenge_monster_02_wave_01,N2,challenge_monster_02,树人,1,1000,2,10,1,1,1,N2临时数据，复制N1独立挑战第1次数值。
n2_challenge_monster_03_wave_01,N2,challenge_monster_03,红龙,1,1000,2,10,1,1,1,N2临时数据，复制N1独立挑战第1次数值。
n2_challenge_monster_04_wave_01,N2,challenge_monster_04,剑圣,1,1000,2,10,1,1,1,N2临时数据，复制N1独立挑战第1次数值。
n2_challenge_monster_05_wave_01,N2,challenge_monster_05,炼金,1,1000,2,10,1,1,1,N2临时数据，复制N1独立挑战第1次数值。
n2_challenge_monster_01_wave_02,N2,challenge_monster_01,山岭巨人,2,2000,2,20,1,1,1,N2临时数据，复制N1独立挑战第2次数值。
n2_challenge_monster_02_wave_02,N2,challenge_monster_02,树人,2,2000,2,20,1,1,1,N2临时数据，复制N1独立挑战第2次数值。
n2_challenge_monster_03_wave_02,N2,challenge_monster_03,红龙,2,2000,2,20,1,1,1,N2临时数据，复制N1独立挑战第2次数值。
n2_challenge_monster_04_wave_02,N2,challenge_monster_04,剑圣,2,2000,2,20,1,1,1,N2临时数据，复制N1独立挑战第2次数值。
n2_challenge_monster_05_wave_02,N2,challenge_monster_05,炼金,2,2000,2,20,1,1,1,N2临时数据，复制N1独立挑战第2次数值。
n2_challenge_monster_01_wave_03,N2,challenge_monster_01,山岭巨人,3,3000,2,30,1,1,1,N2临时数据，复制N1独立挑战第3次数值。
n2_challenge_monster_02_wave_03,N2,challenge_monster_02,树人,3,3000,2,30,1,1,1,N2临时数据，复制N1独立挑战第3次数值。
n2_challenge_monster_03_wave_03,N2,challenge_monster_03,红龙,3,3000,2,30,1,1,1,N2临时数据，复制N1独立挑战第3次数值。
n2_challenge_monster_04_wave_03,N2,challenge_monster_04,剑圣,3,3000,2,30,1,1,1,N2临时数据，复制N1独立挑战第3次数值。
n2_challenge_monster_05_wave_03,N2,challenge_monster_05,炼金,3,3000,2,30,1,1,1,N2临时数据，复制N1独立挑战第3次数值。
n2_challenge_monster_01_wave_04,N2,challenge_monster_01,山岭巨人,4,4000,2,40,1,1,1,N2临时数据，复制N1独立挑战第4次数值。
n2_challenge_monster_02_wave_04,N2,challenge_monster_02,树人,4,4000,2,40,1,1,1,N2临时数据，复制N1独立挑战第4次数值。
n2_challenge_monster_03_wave_04,N2,challenge_monster_03,红龙,4,4000,2,40,1,1,1,N2临时数据，复制N1独立挑战第4次数值。
n2_challenge_monster_04_wave_04,N2,challenge_monster_04,剑圣,4,4000,2,40,1,1,1,N2临时数据，复制N1独立挑战第4次数值。
n2_challenge_monster_05_wave_04,N2,challenge_monster_05,炼金,4,4000,2,40,1,1,1,N2临时数据，复制N1独立挑战第4次数值。
n2_challenge_monster_01_wave_05,N2,challenge_monster_01,山岭巨人,5,5000,2,50,1,1,1,N2临时数据，复制N1独立挑战第5次数值。
n2_challenge_monster_02_wave_05,N2,challenge_monster_02,树人,5,5000,2,50,1,1,1,N2临时数据，复制N1独立挑战第5次数值。
n2_challenge_monster_03_wave_05,N2,challenge_monster_03,红龙,5,5000,2,50,1,1,1,N2临时数据，复制N1独立挑战第5次数值。
n2_challenge_monster_04_wave_05,N2,challenge_monster_04,剑圣,5,5000,2,50,1,1,1,N2临时数据，复制N1独立挑战第5次数值。
n2_challenge_monster_05_wave_05,N2,challenge_monster_05,炼金,5,5000,2,50,1,1,1,N2临时数据，复制N1独立挑战第5次数值。
n2_challenge_monster_01_wave_06,N2,challenge_monster_01,山岭巨人,6,6000,2,60,1,1,1,N2临时数据，复制N1独立挑战第6次数值。
n2_challenge_monster_02_wave_06,N2,challenge_monster_02,树人,6,6000,2,60,1,1,1,N2临时数据，复制N1独立挑战第6次数值。
n2_challenge_monster_03_wave_06,N2,challenge_monster_03,红龙,6,6000,2,60,1,1,1,N2临时数据，复制N1独立挑战第6次数值。
n2_challenge_monster_04_wave_06,N2,challenge_monster_04,剑圣,6,6000,2,60,1,1,1,N2临时数据，复制N1独立挑战第6次数值。
n2_challenge_monster_05_wave_06,N2,challenge_monster_05,炼金,6,6000,2,60,1,1,1,N2临时数据，复制N1独立挑战第6次数值。
n2_challenge_monster_01_wave_07,N2,challenge_monster_01,山岭巨人,7,7000,2,70,1,1,1,N2临时数据，复制N1独立挑战第7次数值。
n2_challenge_monster_02_wave_07,N2,challenge_monster_02,树人,7,7000,2,70,1,1,1,N2临时数据，复制N1独立挑战第7次数值。
n2_challenge_monster_03_wave_07,N2,challenge_monster_03,红龙,7,7000,2,70,1,1,1,N2临时数据，复制N1独立挑战第7次数值。
n2_challenge_monster_04_wave_07,N2,challenge_monster_04,剑圣,7,7000,2,70,1,1,1,N2临时数据，复制N1独立挑战第7次数值。
n2_challenge_monster_05_wave_07,N2,challenge_monster_05,炼金,7,7000,2,70,1,1,1,N2临时数据，复制N1独立挑战第7次数值。
n2_challenge_monster_01_wave_08,N2,challenge_monster_01,山岭巨人,8,8000,2,80,1,1,1,N2临时数据，复制N1独立挑战第8次数值。
n2_challenge_monster_02_wave_08,N2,challenge_monster_02,树人,8,8000,2,80,1,1,1,N2临时数据，复制N1独立挑战第8次数值。
n2_challenge_monster_03_wave_08,N2,challenge_monster_03,红龙,8,8000,2,80,1,1,1,N2临时数据，复制N1独立挑战第8次数值。
n2_challenge_monster_04_wave_08,N2,challenge_monster_04,剑圣,8,8000,2,80,1,1,1,N2临时数据，复制N1独立挑战第8次数值。
n2_challenge_monster_05_wave_08,N2,challenge_monster_05,炼金,8,8000,2,80,1,1,1,N2临时数据，复制N1独立挑战第8次数值。
n2_challenge_monster_01_wave_09,N2,challenge_monster_01,山岭巨人,9,9000,2,90,1,1,1,N2临时数据，复制N1独立挑战第9次数值。
n2_challenge_monster_02_wave_09,N2,challenge_monster_02,树人,9,9000,2,90,1,1,1,N2临时数据，复制N1独立挑战第9次数值。
n2_challenge_monster_03_wave_09,N2,challenge_monster_03,红龙,9,9000,2,90,1,1,1,N2临时数据，复制N1独立挑战第9次数值。
n2_challenge_monster_04_wave_09,N2,challenge_monster_04,剑圣,9,9000,2,90,1,1,1,N2临时数据，复制N1独立挑战第9次数值。
n2_challenge_monster_05_wave_09,N2,challenge_monster_05,炼金,9,9000,2,90,1,1,1,N2临时数据，复制N1独立挑战第9次数值。
n2_challenge_monster_01_wave_10,N2,challenge_monster_01,山岭巨人,10,10000,2,100,1,1,1,N2临时数据，复制N1独立挑战第10次数值。
n2_challenge_monster_02_wave_10,N2,challenge_monster_02,树人,10,10000,2,100,1,1,1,N2临时数据，复制N1独立挑战第10次数值。
n2_challenge_monster_03_wave_10,N2,challenge_monster_03,红龙,10,10000,2,100,1,1,1,N2临时数据，复制N1独立挑战第10次数值。
n2_challenge_monster_04_wave_10,N2,challenge_monster_04,剑圣,10,10000,2,100,1,1,1,N2临时数据，复制N1独立挑战第10次数值。
n2_challenge_monster_05_wave_10,N2,challenge_monster_05,炼金,10,10000,2,100,1,1,1,N2临时数据，复制N1独立挑战第10次数值。
n2_challenge_monster_01_wave_11,N2,challenge_monster_01,山岭巨人,11,11000,2,110,1,1,1,N2临时数据，复制N1独立挑战第11次数值。
n2_challenge_monster_02_wave_11,N2,challenge_monster_02,树人,11,11000,2,110,1,1,1,N2临时数据，复制N1独立挑战第11次数值。
n2_challenge_monster_03_wave_11,N2,challenge_monster_03,红龙,11,11000,2,110,1,1,1,N2临时数据，复制N1独立挑战第11次数值。
n2_challenge_monster_04_wave_11,N2,challenge_monster_04,剑圣,11,11000,2,110,1,1,1,N2临时数据，复制N1独立挑战第11次数值。
n2_challenge_monster_05_wave_11,N2,challenge_monster_05,炼金,11,11000,2,110,1,1,1,N2临时数据，复制N1独立挑战第11次数值。
n2_challenge_monster_01_wave_12,N2,challenge_monster_01,山岭巨人,12,12000,2,120,1,1,1,N2临时数据，复制N1独立挑战第12次数值。
n2_challenge_monster_02_wave_12,N2,challenge_monster_02,树人,12,12000,2,120,1,1,1,N2临时数据，复制N1独立挑战第12次数值。
n2_challenge_monster_03_wave_12,N2,challenge_monster_03,红龙,12,12000,2,120,1,1,1,N2临时数据，复制N1独立挑战第12次数值。
n2_challenge_monster_04_wave_12,N2,challenge_monster_04,剑圣,12,12000,2,120,1,1,1,N2临时数据，复制N1独立挑战第12次数值。
n2_challenge_monster_05_wave_12,N2,challenge_monster_05,炼金,12,12000,2,120,1,1,1,N2临时数据，复制N1独立挑战第12次数值。
n2_challenge_monster_01_wave_13,N2,challenge_monster_01,山岭巨人,13,13000,2,130,1,1,1,N2临时数据，复制N1独立挑战第13次数值。
n2_challenge_monster_02_wave_13,N2,challenge_monster_02,树人,13,13000,2,130,1,1,1,N2临时数据，复制N1独立挑战第13次数值。
n2_challenge_monster_03_wave_13,N2,challenge_monster_03,红龙,13,13000,2,130,1,1,1,N2临时数据，复制N1独立挑战第13次数值。
n2_challenge_monster_04_wave_13,N2,challenge_monster_04,剑圣,13,13000,2,130,1,1,1,N2临时数据，复制N1独立挑战第13次数值。
n2_challenge_monster_05_wave_13,N2,challenge_monster_05,炼金,13,13000,2,130,1,1,1,N2临时数据，复制N1独立挑战第13次数值。
n2_challenge_monster_01_wave_14,N2,challenge_monster_01,山岭巨人,14,14000,2,140,1,1,1,N2临时数据，复制N1独立挑战第14次数值。
n2_challenge_monster_02_wave_14,N2,challenge_monster_02,树人,14,14000,2,140,1,1,1,N2临时数据，复制N1独立挑战第14次数值。
n2_challenge_monster_03_wave_14,N2,challenge_monster_03,红龙,14,14000,2,140,1,1,1,N2临时数据，复制N1独立挑战第14次数值。
n2_challenge_monster_04_wave_14,N2,challenge_monster_04,剑圣,14,14000,2,140,1,1,1,N2临时数据，复制N1独立挑战第14次数值。
n2_challenge_monster_05_wave_14,N2,challenge_monster_05,炼金,14,14000,2,140,1,1,1,N2临时数据，复制N1独立挑战第14次数值。
n2_challenge_monster_01_wave_15,N2,challenge_monster_01,山岭巨人,15,15000,2,150,1,1,1,N2临时数据，复制N1独立挑战第15次数值。
n2_challenge_monster_02_wave_15,N2,challenge_monster_02,树人,15,15000,2,150,1,1,1,N2临时数据，复制N1独立挑战第15次数值。
n2_challenge_monster_03_wave_15,N2,challenge_monster_03,红龙,15,15000,2,150,1,1,1,N2临时数据，复制N1独立挑战第15次数值。
n2_challenge_monster_04_wave_15,N2,challenge_monster_04,剑圣,15,15000,2,150,1,1,1,N2临时数据，复制N1独立挑战第15次数值。
n2_challenge_monster_05_wave_15,N2,challenge_monster_05,炼金,15,15000,2,150,1,1,1,N2临时数据，复制N1独立挑战第15次数值。
n2_challenge_monster_01_wave_16,N2,challenge_monster_01,山岭巨人,16,16000,2,160,1,1,1,N2临时数据，复制N1独立挑战第16次数值。
n2_challenge_monster_02_wave_16,N2,challenge_monster_02,树人,16,16000,2,160,1,1,1,N2临时数据，复制N1独立挑战第16次数值。
n2_challenge_monster_03_wave_16,N2,challenge_monster_03,红龙,16,16000,2,160,1,1,1,N2临时数据，复制N1独立挑战第16次数值。
n2_challenge_monster_04_wave_16,N2,challenge_monster_04,剑圣,16,16000,2,160,1,1,1,N2临时数据，复制N1独立挑战第16次数值。
n2_challenge_monster_05_wave_16,N2,challenge_monster_05,炼金,16,16000,2,160,1,1,1,N2临时数据，复制N1独立挑战第16次数值。
n2_challenge_monster_01_wave_17,N2,challenge_monster_01,山岭巨人,17,17000,2,170,1,1,1,N2临时数据，复制N1独立挑战第17次数值。
n2_challenge_monster_02_wave_17,N2,challenge_monster_02,树人,17,17000,2,170,1,1,1,N2临时数据，复制N1独立挑战第17次数值。
n2_challenge_monster_03_wave_17,N2,challenge_monster_03,红龙,17,17000,2,170,1,1,1,N2临时数据，复制N1独立挑战第17次数值。
n2_challenge_monster_04_wave_17,N2,challenge_monster_04,剑圣,17,17000,2,170,1,1,1,N2临时数据，复制N1独立挑战第17次数值。
n2_challenge_monster_05_wave_17,N2,challenge_monster_05,炼金,17,17000,2,170,1,1,1,N2临时数据，复制N1独立挑战第17次数值。
n2_challenge_monster_01_wave_18,N2,challenge_monster_01,山岭巨人,18,18000,2,180,1,1,1,N2临时数据，复制N1独立挑战第18次数值。
n2_challenge_monster_02_wave_18,N2,challenge_monster_02,树人,18,18000,2,180,1,1,1,N2临时数据，复制N1独立挑战第18次数值。
n2_challenge_monster_03_wave_18,N2,challenge_monster_03,红龙,18,18000,2,180,1,1,1,N2临时数据，复制N1独立挑战第18次数值。
n2_challenge_monster_04_wave_18,N2,challenge_monster_04,剑圣,18,18000,2,180,1,1,1,N2临时数据，复制N1独立挑战第18次数值。
n2_challenge_monster_05_wave_18,N2,challenge_monster_05,炼金,18,18000,2,180,1,1,1,N2临时数据，复制N1独立挑战第18次数值。
n2_challenge_monster_01_wave_19,N2,challenge_monster_01,山岭巨人,19,19000,2,190,1,1,1,N2临时数据，复制N1独立挑战第19次数值。
n2_challenge_monster_02_wave_19,N2,challenge_monster_02,树人,19,19000,2,190,1,1,1,N2临时数据，复制N1独立挑战第19次数值。
