effect_id,reward_profile_id,sort_order,effect_type,value,value_secondary,value_text,target,stack_mode,server_handler,client_field,enabled,notes
effect_0019,reward_rebirth_03,40,add_attack_all_attribute_gain,3,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0020,reward_rebirth_03,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
effect_0021,reward_rebirth_04,10,set_rebirth_level,4,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0022,reward_rebirth_04,20,grant_random_skill_or_upgrade,1,,公共技能三选一,player_hero,custom,hero_skill_reward_adapter,skill_reward,1,只展示未拥有的公共技能；选择后从本局技能池移除。
effect_0023,reward_rebirth_04,30,add_all_attributes,10000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0024,reward_rebirth_04,40,add_attack_all_attribute_gain,4,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0025,reward_rebirth_04,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
effect_0026,reward_rebirth_05,10,set_rebirth_level,5,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0027,reward_rebirth_05,20,grant_random_skill_or_upgrade,1,,公共技能三选一,player_hero,custom,hero_skill_reward_adapter,skill_reward,1,只展示未拥有的公共技能；选择后从本局技能池移除。
effect_0028,reward_rebirth_05,30,add_all_attributes,20000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0029,reward_rebirth_05,40,add_attack_all_attribute_gain,6,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0030,reward_rebirth_05,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
effect_0031,reward_rebirth_06,10,set_rebirth_level,6,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0032,reward_rebirth_06,20,grant_skill_points,1,,公共技能点+1,player_hero,add,hero_skill_reward_adapter,skill_points,1,只能升级已拥有的公共技能池技能，不能升级专属技能。
effect_0033,reward_rebirth_06,30,add_all_attributes,30000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0034,reward_rebirth_06,40,add_attack_all_attribute_gain,7,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0035,reward_rebirth_06,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
effect_0036,reward_rebirth_07,10,set_rebirth_level,7,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0037,reward_rebirth_07,20,grant_skill_points,1,,公共技能点+1,player_hero,add,hero_skill_reward_adapter,skill_points,1,只能升级已拥有的公共技能池技能，不能升级专属技能。
effect_0038,reward_rebirth_07,30,add_all_attributes,50000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0039,reward_rebirth_07,40,add_attack_all_attribute_gain,8,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0040,reward_rebirth_07,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
effect_0041,reward_rebirth_08,10,set_rebirth_level,8,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0042,reward_rebirth_08,20,grant_skill_points,1,,公共技能点+1,player_hero,add,hero_skill_reward_adapter,skill_points,1,只能升级已拥有的公共技能池技能，不能升级专属技能。
effect_0043,reward_rebirth_08,30,add_all_attributes,70000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0044,reward_rebirth_08,40,add_attack_all_attribute_gain,9,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0045,reward_rebirth_08,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
effect_0046,reward_rebirth_09,10,set_rebirth_level,9,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0047,reward_rebirth_09,20,grant_skill_points,1,,公共技能点+1,player_hero,add,hero_skill_reward_adapter,skill_points,1,只能升级已拥有的公共技能池技能，不能升级专属技能。
effect_0048,reward_rebirth_09,30,add_all_attributes,100000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0049,reward_rebirth_09,40,add_attack_all_attribute_gain,10,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0050,reward_rebirth_09,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
effect_0051,reward_rebirth_10,10,set_rebirth_level,10,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0052,reward_rebirth_10,20,grant_skill_points,1,,公共技能点+1,player_hero,add,hero_skill_reward_adapter,skill_points,1,只能升级已拥有的公共技能池技能，不能升级专属技能。
effect_0053,reward_rebirth_10,30,add_all_attributes,200000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0054,reward_rebirth_10,40,add_attack_all_attribute_gain,12,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0055,reward_rebirth_10,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
