profile_id,difficulty_id,member_id,health,attack,war3_armor,evidence_status,source,notes,enabled
N1_challenge_08_boss,N1,challenge_08_boss,10209920,200000,300,面板确认,特殊目标对照,火焰巨魔,1
N2_challenge_08_boss,N2,challenge_08_boss,12762400,220000,600,规律推定,特殊目标对照,火焰巨魔,1
N3_challenge_08_boss,N3,challenge_08_boss,15314880,240000,600,规律推定,特殊目标对照,火焰巨魔,1
N4_challenge_08_boss,N4,challenge_08_boss,7867360,260000,600,面板确认,特殊目标对照,火焰巨魔,1
N5_challenge_08_boss,N5,challenge_08_boss,25624800,280000,750,面板确认,特殊目标对照,火焰巨魔,1
N1_challenge_09_boss,N1,challenge_09_boss,8209920,600000,400,面板确认,特殊目标对照,冰烬挽歌,1
N2_challenge_09_boss,N2,challenge_09_boss,22762400,660000,800,面板确认,特殊目标对照,冰烬挽歌,1
N3_challenge_09_boss,N3,challenge_09_boss,27314880,720000,800,规律推定,特殊目标对照,冰烬挽歌,1
N4_challenge_09_boss,N4,challenge_09_boss,31867360,780000,800,面板确认,特殊目标对照,冰烬挽歌,1
N5_challenge_09_boss,N5,challenge_09_boss,45524800,840000,1000,面板确认,特殊目标对照,冰烬挽歌,1
N1_seven_sins_minion,N1,seven_sins_minion,18209920,1200000,400,用户批准沿用现值,monster_archetypes.csv,工作簿N1未记录；用户明确沿用当前七宗罪小怪属性,1
N2_seven_sins_minion,N2,seven_sins_minion,22762400,1100000,800,面板确认,特殊目标对照,概率掉落精华,1
N3_seven_sins_minion,N3,seven_sins_minion,27314880,1200000,800,面板确认,特殊目标对照,概率掉落精华,1
N4_seven_sins_minion,N4,seven_sins_minion,31867360,1300000,800,规律推定,特殊目标对照,概率掉落精华,1
N5_seven_sins_minion,N5,seven_sins_minion,45524800,1400000,1000,面板确认,特殊目标对照,概率掉落精华,1
