record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,upgrade_gold,upgrade_wood,population_delta,skill_ids,enabled,notes,model_name,active_skill_ids,upgrade_description
ice_spire_lv05,ice_spire,ice_spire_lv05,寒冰尖塔LV5,R,5,5,108101,20000,100000,0,frost_attack_lv05|ice_blizzard_lv05,1,,models/heroes/crystal_maiden/crystal_maiden.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +108101　💰 20000　🌲 100000
polar_obelisk_lv01,polar_obelisk,polar_obelisk_lv01,极地方尖碑LV1,SR,1,10,308101,30000,200000,2,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,由上一阶段转职；技能均为被动技能。,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +308101　💰 30000　🌲 200000
polar_obelisk_lv02,polar_obelisk,polar_obelisk_lv02,极地方尖碑LV2,SR,2,10,508101,60000,200000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +508101　💰 60000　🌲 200000
polar_obelisk_lv03,polar_obelisk,polar_obelisk_lv03,极地方尖碑LV3,SR,3,10,808101,90000,200000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +808101　💰 90000　🌲 200000
polar_obelisk_lv04,polar_obelisk,polar_obelisk_lv04,极地方尖碑LV4,SR,4,10,1008101,120000,200000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +1008101　💰 120000　🌲 200000
polar_obelisk_lv05,polar_obelisk,polar_obelisk_lv05,极地方尖碑LV5,SR,5,10,1508101,150000,200000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +1508101　💰 150000　🌲 200000
polar_obelisk_lv06,polar_obelisk,polar_obelisk_lv06,极地方尖碑LV6,SSR,6,10,2008101,200000,400000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +2008101　💰 200000　🌲 400000
polar_obelisk_lv07,polar_obelisk,polar_obelisk_lv07,极地方尖碑LV7,SSR,7,10,3008101,250000,500000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +3008101　💰 250000　🌲 500000
polar_obelisk_lv08,polar_obelisk,polar_obelisk_lv08,极地方尖碑LV8,SSR,8,10,4008101,300000,600000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +4008101　💰 300000　🌲 600000
polar_obelisk_lv09,polar_obelisk,polar_obelisk_lv09,极地方尖碑LV9,SSR,9,10,5008101,350000,700000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +5008101　💰 350000　🌲 700000
polar_obelisk_lv10,polar_obelisk,polar_obelisk_lv10,极地方尖碑LV10,SSR,10,10,6008101,400000,800000,0,frost_attack_lv05|ice_blizzard_lv05|polar_obelisk_lv01,1,,models/heroes/ancient_apparition/ancient_apparition.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +6008101　💰 400000　🌲 800000
