record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,upgrade_gold,upgrade_wood,population_delta,skill_ids,enabled,notes,model_name,active_skill_ids,upgrade_description
piercing_ballista_lv05,piercing_ballista,piercing_ballista_lv05,穿透弩炮LV5,R,5,5,108101,20000,100000,0,multi_attack_lv05|piercing_ballista_lv05,1,,models/heroes/windrunner/windrunner.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +108101　💰 20000　🌲 100000
burning_great_arrow_lv01,burning_great_arrow,burning_great_arrow_lv01,炙热巨箭塔LV1,SR,1,10,308101,30000,200000,2,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,由上一阶段转职；技能均为被动技能。,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +308101　💰 30000　🌲 200000
burning_great_arrow_lv02,burning_great_arrow,burning_great_arrow_lv02,炙热巨箭塔LV2,SR,2,10,508101,60000,200000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +508101　💰 60000　🌲 200000
burning_great_arrow_lv03,burning_great_arrow,burning_great_arrow_lv03,炙热巨箭塔LV3,SR,3,10,808101,90000,200000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +808101　💰 90000　🌲 200000
burning_great_arrow_lv04,burning_great_arrow,burning_great_arrow_lv04,炙热巨箭塔LV4,SR,4,10,1008101,120000,200000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +1008101　💰 120000　🌲 200000
burning_great_arrow_lv05,burning_great_arrow,burning_great_arrow_lv05,炙热巨箭塔LV5,SR,5,10,1508101,150000,200000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +1508101　💰 150000　🌲 200000
burning_great_arrow_lv06,burning_great_arrow,burning_great_arrow_lv06,炙热巨箭塔LV6,SSR,6,10,2008101,200000,400000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +2008101　💰 200000　🌲 400000
burning_great_arrow_lv07,burning_great_arrow,burning_great_arrow_lv07,炙热巨箭塔LV7,SSR,7,10,3008101,250000,500000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +3008101　💰 250000　🌲 500000
burning_great_arrow_lv08,burning_great_arrow,burning_great_arrow_lv08,炙热巨箭塔LV8,SSR,8,10,4008101,300000,600000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +4008101　💰 300000　🌲 600000
burning_great_arrow_lv09,burning_great_arrow,burning_great_arrow_lv09,炙热巨箭塔LV9,SSR,9,10,5008101,350000,700000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +5008101　💰 350000　🌲 700000
burning_great_arrow_lv10,burning_great_arrow,burning_great_arrow_lv10,炙热巨箭塔LV10,SSR,10,10,6008101,400000,800000,0,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,models/heroes/clinkz/clinkz.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +6008101　💰 400000　🌲 800000
